dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,9.949020
cuda,beit_base_patch16_224,64,5.541974
cuda,botnet26t_256,128,3.152478
cuda,cait_m36_384,2,52.661038
cuda,coat_lite_mini,128,4.022709
cuda,convmixer_768_32,32,8.325747
cuda,convnext_base,32,12.799059
cuda,crossvit_9_240,64,9.030161
cuda,cspdarknet53,64,7.368756
cuda,deit_base_distilled_patch16_224,64,3.848961
cuda,dla102,64,12.613904
cuda,dm_nfnet_f0,128,7.538482
cuda,dpn107,32,16.026514
cuda,eca_botnext26ts_256,64,3.223083
cuda,eca_halonext26ts,64,3.375161
cuda,ese_vovnet19b_dw,128,2.472712
cuda,fbnetc_100,128,7.055540
cuda,fbnetv3_b,128,15.343883
cuda,gernet_l,128,5.990657
cuda,ghostnet_100,128,10.742020
cuda,gluon_inception_v3,128,10.188546
cuda,gluon_xception65,32,18.097706
cuda,gmixer_24_224,64,10.069949
cuda,gmlp_s16_224,64,10.405056
cuda,hrnet_w18,2,108.140292
cuda,inception_v3,128,10.009084
cuda,jx_nest_base,32,10.953556
cuda,lcnet_050,128,2.614442
cuda,mixer_b16_224,64,3.449041
cuda,mixnet_l,64,14.776223
cuda,mnasnet_100,128,5.307697
cuda,mobilenetv2_100,128,5.316346
cuda,mobilenetv3_large_100,128,5.338911
cuda,mobilevit_s,32,7.306978
cuda,nfnet_l0,64,7.102190
cuda,pit_b_224,64,4.816315
cuda,pnasnet5large,16,67.016365
cuda,regnety_002,128,6.058475
cuda,repvgg_a2,128,5.785991
cuda,res2net101_26w_4s,64,29.140189
cuda,res2net50_14w_8s,2,22.961097
cuda,res2next50,2,9.063373
cuda,resnest101e,32,30.595056
cuda,rexnet_100,128,7.613228
cuda,sebotnet33ts_256,64,4.696024
cuda,selecsls42b,128,3.085397
cuda,spnasnet_100,128,6.753204
cuda,swin_base_patch4_window7_224,64,14.405978
cuda,swsl_resnext101_32x16d,32,12.216994
cuda,tf_efficientnet_b0,128,6.921387
cuda,tf_mixnet_l,64,15.344939
cuda,tinynet_a,128,8.973154
cuda,tnt_s_patch16_224,64,13.790797
cuda,twins_pcpvt_base,32,28.387341
cuda,visformer_small,128,2.980864
cuda,vit_base_patch16_224,64,3.737633
cuda,volo_d1_224,64,7.829536
