dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.2801,431.2125,0.8829
cuda,beit_base_patch16_224,64,1.2862,91.1698,1.0097
cuda,botnet26t_256,128,0.7229,588.0481,0.6616
cuda,cait_m36_384,2,2.0541,306.2536,0.8081
cuda,coat_lite_mini,128,1.5316,636.5705,0.8328
cuda,convit_base,32,1.3992,182.1969,1.0309
cuda,convmixer_768_32,32,0.8866,89.8166,0.9508
cuda,convnext_base,32,0.8371,447.0484,0.9564
cuda,crossvit_9_240,64,1.5867,281.7218,0.7933
cuda,cspdarknet53,64,0.8892,516.8901,0.8130
cuda,deit_base_distilled_patch16_224,64,1.2892,84.6066,0.8911
cuda,dla102,64,1.0242,540.0435,0.9970
cuda,dm_nfnet_f0,128,1.3260,133.3581,1.0616
cuda,dpn107,32,0.9342,1352.9515,0.8701
cuda,eca_botnext26ts_256,64,0.6749,839.8298,0.8532
cuda,eca_halonext26ts,64,0.7050,524.7978,1.0887
cuda,ese_vovnet19b_dw,128,0.6419,388.7989,0.8269
cuda,fbnetc_100,128,0.8982,638.7629,0.7104
cuda,fbnetv3_b,128,1.0325,772.9081,0.8645
cuda,gernet_l,128,0.8112,292.4524,0.7238
cuda,ghostnet_100,128,1.8112,882.6970,0.8330
cuda,gluon_inception_v3,128,1.2254,276.2485,0.8829
cuda,gluon_xception65,32,0.5872,347.3151,0.8713
cuda,gmixer_24_224,64,1.6807,141.2526,1.2577
cuda,gmlp_s16_224,64,1.3904,151.1543,1.2405
cuda,hrnet_w18,2,4.9403,1399.7866,0.5746
cuda,inception_v3,128,1.2078,223.4377,0.8829
cuda,jx_nest_base,32,1.4634,320.1488,0.8000
cuda,lcnet_050,128,1.5519,244.1516,0.7050
cuda,mixer_b16_224,64,1.3168,96.6917,0.9225
cuda,mixnet_l,64,1.1780,835.1720,0.8601
cuda,mnasnet_100,128,0.8396,460.7911,0.7730
cuda,mobilenetv2_100,128,0.7434,392.8332,0.8963
cuda,mobilenetv3_large_100,128,0.8349,397.9304,0.8886
cuda,mobilevit_s,32,1.2009,879.8939,1.0078
cuda,nfnet_l0,64,1.5833,399.3298,0.9130
cuda,pit_b_224,64,1.3644,182.0427,0.9856
cuda,pnasnet5large,16,1.0520,1340.2779,1.1265
cuda,poolformer_m36,64,1.2090,303.6845,0.9797
cuda,regnety_002,128,1.5049,392.0666,0.6975
cuda,repvgg_a2,128,0.9011,138.1295,0.5572
cuda,res2net101_26w_4s,64,0.8124,442.9257,0.7834
cuda,res2net50_14w_8s,2,5.5892,987.9243,0.5927
cuda,res2next50,2,4.6780,508.6052,0.6012
cuda,resmlp_12_224,128,1.4644,100.1161,0.8450
cuda,resnest101e,32,1.4787,700.9297,0.9292
cuda,rexnet_100,128,0.6448,1069.0229,1.0009
cuda,sebotnet33ts_256,64,0.7340,648.9216,0.7449
cuda,selecsls42b,128,0.8981,280.0613,0.8659
cuda,spnasnet_100,128,0.7948,274.2042,0.8599
cuda,swin_base_patch4_window7_224,64,1.5723,431.9341,0.7676
cuda,swsl_resnext101_32x16d,32,0.6057,221.0566,0.8523
cuda,tf_efficientnet_b0,128,0.7245,453.8244,0.9189
cuda,tf_mixnet_l,64,1.1177,565.3166,0.9291
cuda,tinynet_a,128,0.8775,743.7648,1.1632
cuda,tnt_s_patch16_224,64,2.0203,166.9154,1.0587
cuda,twins_pcpvt_base,32,2.5448,843.4319,0.9553
cuda,visformer_small,128,1.0997,381.6193,0.9342
cuda,vit_base_patch16_224,64,1.1978,71.5226,0.8916
cuda,volo_d1_224,64,1.6678,211.2936,1.0378
cuda,xcit_large_24_p8_224,5,2.0556,352.6873,0.8489
