dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.673517,14.746760,1.362961,38.060358,2.858470,1.016186,0.144714,8.857775,33.633591
cuda,AlbertForQuestionAnswering,2,1.645932,13.919327,1.341252,30.874758,2.813958,1.036713,0.145219,0.636878,19.033645
cuda,BartForCausalLM,2,10.535334,21.221652,1.633487,43.687245,2.825009,1.229586,0.253237,8.526113,32.737889
cuda,BartForConditionalGeneration,1,27.956828,46.301163,2.720562,85.592168,8.193408,2.675547,0.989242,1.088193,43.390793
cuda,BertForMaskedLM,64,5.579461,26.922998,1.743134,41.325567,3.224030,1.338146,0.283887,11.037649,27.303183
cuda,BertForQuestionAnswering,64,5.544814,28.954278,1.733545,42.374954,3.148942,1.308642,0.277924,0.515702,15.790501
cuda,BigBird,1,12.908147,10.165268,1.110912,22.526495,2.363974,1.180230,0.212919,10.277032,23.877973
cuda,BlenderbotSmallForCausalLM,64,5.066549,14.662913,0.983660,35.490523,2.261166,0.890181,0.156581,12.795329,34.684460
cuda,BlenderbotSmallForConditionalGeneration,32,13.277072,31.824554,2.277185,67.273122,5.951855,2.209543,0.569902,18.545928,56.467723
cuda,CamemBert,1,5.666097,27.566422,1.286758,42.998536,2.882406,1.168895,0.266001,3.089497,19.928150
cuda,DebertaForMaskedLM,4,8.357882,21.029605,2.428700,37.888477,4.678428,2.073452,0.334366,20.847774,40.399351
cuda,DebertaForQuestionAnswering,4,8.364577,19.823461,2.397219,33.895545,4.585496,2.081412,0.335616,19.285165,36.012919
cuda,DistilBertForMaskedLM,16,1.994236,17.620844,0.899012,31.702744,1.933438,0.715559,0.119521,9.599627,24.642137
cuda,DistilBertForQuestionAnswering,32,1.959085,19.456674,0.870612,34.789780,1.653639,0.704287,0.118170,13.976724,30.241962
cuda,DistillGPT2,1,1.662582,17.328742,0.811381,30.679774,1.339802,0.598463,0.098405,18.523238,32.742354
cuda,ElectraForCausalLM,1,5.697804,28.744140,1.582734,47.793778,2.927895,1.183951,0.268002,3.490896,24.242342
cuda,ElectraForQuestionAnswering,64,5.632020,34.835179,1.499430,53.597145,3.205102,1.346765,0.286365,10.598733,30.982019
cuda,GPT2ForSequenceClassification,4,4.189308,33.692632,1.680986,49.231009,2.910448,1.265511,0.230322,6.392811,23.714183
cuda,LayoutLMForMaskedLM,16,5.996662,30.643278,1.771937,47.965870,3.269220,1.353422,0.290636,9.788064,29.006307
cuda,LayoutLMForSequenceClassification,16,6.001581,29.449066,1.798910,49.140143,3.910588,2.016931,0.288357,22.308423,43.918222
cuda,M2M100ForConditionalGeneration,2,27.684443,47.994775,3.163914,104.307837,6.905397,3.020652,0.695575,41.094961,100.821328
cuda,MBartForCausalLM,16,10.459641,22.914194,1.504869,47.118029,3.084934,1.741929,0.278128,7.856280,33.680399
cuda,MBartForConditionalGeneration,8,28.387480,44.526324,3.398374,90.503668,9.332649,3.169040,1.079602,13.728794,63.401317
cuda,MT5ForConditionalGeneration,2,7.739500,54.513420,2.849230,110.300826,5.485432,2.614628,0.430215,37.501101,96.334937
cuda,MegatronBertForCausalLM,2,17.830802,56.299062,3.532537,75.695013,7.349707,2.689090,0.767338,6.082529,29.249460
cuda,MegatronBertForQuestionAnswering,8,17.418522,55.607402,3.262877,73.582452,7.538283,2.496310,0.736529,12.149838,33.628348
cuda,MobileBertForMaskedLM,16,140.733779,34.509944,4.715333,64.926180,11.063854,4.432843,2.529010,18.396352,53.935087
cuda,MobileBertForQuestionAnswering,32,143.191812,38.669132,4.774161,70.344189,11.125572,4.472721,2.497077,10.340177,47.201633
cuda,OPTForCausalLM,4,5.205422,23.690819,1.431020,46.080314,3.409096,1.365963,0.255930,18.245539,42.170473
cuda,PLBartForCausalLM,16,3.244546,17.544990,0.840569,37.645517,1.822499,0.697111,0.112928,8.359837,29.359951
cuda,PLBartForConditionalGeneration,8,7.904477,29.108045,2.186109,62.562346,4.337983,1.714902,0.383135,29.686685,65.478300
cuda,PegasusForCausalLM,8,10.462583,21.892037,1.398863,44.356969,2.926057,1.259390,0.261764,12.670919,36.654861
cuda,PegasusForConditionalGeneration,4,27.881216,31.980364,3.481254,71.468972,7.986523,3.400877,0.809949,19.240668,62.506513
cuda,RobertaForCausalLM,4,5.649323,28.143774,1.867270,41.788061,3.294251,1.353657,0.281024,19.296221,34.928064
cuda,RobertaForQuestionAnswering,64,5.521888,28.373169,1.732835,40.717177,3.162318,1.320083,0.281230,0.504449,14.700226
cuda,Speech2Text2ForCausalLM,64,3.189898,15.714791,0.692712,32.384591,1.406864,0.663723,0.111921,9.349877,26.766983
cuda,T5ForConditionalGeneration,4,4.538574,63.310113,1.679566,154.168638,4.377044,1.515691,0.279415,18.211830,110.887863
cuda,T5Small,1,4.540673,59.977640,1.333020,87.001004,3.745376,1.211630,0.255337,17.385513,45.876065
cuda,TrOCRForCausalLM,8,10.518340,20.914982,1.618988,41.666125,2.828120,1.203182,0.253599,0.366754,22.847026
cuda,XGLMForCausalLM,1,16.371493,40.388026,2.299475,80.321036,6.309953,2.759079,0.647767,27.488184,70.434890
cuda,XLNetLMHeadModel,4,20.027053,145.876402,3.729882,169.025797,9.293743,3.176849,0.829257,27.223436
cuda,YituTechConvBert,1,9.910224,43.647501,2.272630,71.239159,5.449863,1.784275,0.446133,34.942021,64.982143
