dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,9.678011,101.669267,3.279058,198.999695,10.672326,4.266566,0.634856,82.403163,183.212344
cuda,beit_base_patch16_224,64,4.991713,22.812730,1.377070,43.478664,3.749995,1.392715,0.236902,9.907368,32.063419
cuda,botnet26t_256,128,2.802369,99.349447,2.252857,213.037969,6.787244,2.677083,0.161206,147.208654,263.232258
cuda,cait_m36_384,2,50.526050,43.692475,4.362827,93.066118,12.808082,5.278542,1.807395,68.954137,123.067132
cuda,coat_lite_mini,128,3.530845,97.026619,2.436784,222.043651,5.754367,2.108867,0.198581,217.057591,344.614463
cuda,convit_base,32,4.429678,34.769943,1.797807,76.622511,4.338074,1.744809,0.272995,52.302854,96.075414
cuda,convmixer_768_32,32,8.013482,17.984309,1.379135,37.961583,3.913842,2.131372,0.306730,10.405618,31.903329
cuda,convnext_base,32,12.488076,65.682899,2.815209,157.305651,8.782425,3.150796,0.498479,97.070584,191.686397
cuda,crossvit_9_240,64,8.168291,47.247405,2.515384,113.325667,5.806476,2.536504,0.377450,108.747814,177.511107
cuda,cspdarknet53,64,7.038067,115.665607,2.225860,215.975231,5.988306,2.412970,0.407842,93.063575,195.751871
cuda,deit_base_distilled_patch16_224,64,3.336755,19.813861,1.282996,44.812800,3.942310,1.333087,0.208573,13.699792,40.079890
cuda,dla102,64,12.014924,132.065722,2.526586,247.228238,8.978634,3.449073,0.623645,68.512879,186.423465
cuda,dm_nfnet_f0,128,7.292758,38.300365,2.518667,86.613661,6.413489,2.534862,0.272121,6.259982,57.296088
cuda,dpn107,32,15.332864,266.163504,3.053441,371.931813,10.416489,3.848394,0.627245,15.077278,124.174089
cuda,eca_botnext26ts_256,64,2.950241,106.003321,2.331251,229.887579,6.844349,2.722826,0.172716,241.790414,368.097199
cuda,eca_halonext26ts,64,3.067159,81.964638,2.814138,177.854383,11.446720,3.729629,0.183693,198.314352,297.116652
cuda,ese_vovnet19b_dw,128,2.211262,82.286334,0.972798,162.783162,4.263836,1.610546,0.137633,63.629349,145.160146
cuda,fbnetc_100,128,6.587520,106.815846,1.846928,237.514287,6.577740,2.430622,0.351205,193.863936,326.544973
cuda,fbnetv3_b,128,14.232671,119.703050,3.055797,288.705122,10.110030,3.598038,0.773340,209.726739,382.023465
cuda,gernet_l,128,5.607613,51.357621,1.381622,131.301425,3.791568,2.067445,0.268247,58.873973,140.320482
cuda,ghostnet_100,128,10.461084,172.658598,2.579467,327.912182,10.491575,3.995021,0.541950,132.261293,290.277595
cuda,gluon_inception_v3,128,9.714075,75.722136,3.319004,151.636513,10.196562,4.145559,0.632778,1.417569,80.849768
cuda,gluon_xception65,32,17.153813,81.925407,2.701132,171.869732,8.629058,3.131136,0.810244,37.009411,129.911355
cuda,gmixer_24_224,64,9.009640,29.690476,1.470778,57.219979,5.620689,2.097564,0.370332,26.437108,55.578952
cuda,gmlp_s16_224,64,9.596746,30.288943,2.035444,54.478003,8.188863,2.693454,0.367512,29.757864,56.158798
cuda,hrnet_w18,2,109.936136,135.270968,6.591571,307.706342,22.629366,6.641489,2.913395,377.903099,557.604983
cuda,inception_v3,128,9.711349,75.779870,3.258169,158.536836,10.571043,4.246895,0.644580,1.456034,87.668140
cuda,jx_nest_base,32,10.555937,68.479574,3.229106,156.145463,11.577065,3.882077,0.540451,79.557910,171.039905
cuda,lcnet_050,128,2.214680,64.815964,1.096667,116.500063,3.537099,1.345503,0.149850,42.584792,95.436352
cuda,mixer_b16_224,64,2.946308,28.153517,1.073356,50.312289,3.107101,1.409171,0.142227,12.201615,35.527186
cuda,mixnet_l,64,14.608007,166.212003,2.269020,301.616875,7.969487,3.374120,0.599778,69.760665,207.620703
cuda,mnasnet_100,128,4.729810,78.147469,1.491695,170.512673,5.442962,1.988996,0.249126,123.365598,217.326484
cuda,mobilenetv2_100,128,4.823294,89.227265,1.581715,178.134749,5.325319,2.375321,0.273385,81.733907,172.337363
cuda,mobilenetv3_large_100,128,5.164182,97.172228,1.685004,198.984373,6.180218,2.209935,0.293263,55.867093,159.476155
cuda,mobilevit_s,32,6.601510,154.674515,4.200497,325.739446,18.851305,7.661435,0.352884,250.838132,426.243545
cuda,nfnet_l0,64,6.633694,81.623835,1.483746,168.001887,4.746642,1.684653,0.266845,80.169943,168.433804
cuda,pit_b_224,64,3.915672,39.604819,1.696573,87.095424,3.529505,1.419353,0.226114,0.286992,49.584599
cuda,pnasnet5large,16,66.777648,251.956238,6.086972,499.369549,23.830114,9.099490,2.513038,233.335952,487.314895
cuda,poolformer_m36,64,13.704268,90.764221,4.089654,167.901244,14.939449,4.837790,0.688956,14.175494,95.671514
cuda,regnety_002,128,5.475057,70.113293,1.387626,169.315438,4.403965,2.145822,0.269446,93.333456,194.035838
cuda,repvgg_a2,128,5.461018,41.454650,1.255022,83.087107,3.707500,1.278553,0.217156,10.324091,53.317836
cuda,res2net101_26w_4s,64,29.790044,88.911391,4.367404,230.826861,14.889390,5.560765,1.662934,51.766013,198.414319
cuda,res2net50_14w_8s,2,22.475048,80.203848,3.745314,240.784905,11.531931,3.978586,0.896877,389.190089,553.833682
cuda,res2next50,2,8.424595,58.211816,1.872191,146.555177,6.688327,2.558957,0.411190,133.229209,223.626129
cuda,resmlp_12_224,128,2.887382,19.879765,0.741081,56.367315,2.024912,0.955506,0.124070,11.441921,48.734601
cuda,resnest101e,32,30.197991,108.164588,4.292198,262.422799,13.260347,5.028708,1.209284,142.682813,301.581713
cuda,rexnet_100,128,7.457417,221.091175,2.462274,435.512975,8.225635,2.873305,0.335888,213.006321,430.043644
cuda,sebotnet33ts_256,64,4.499274,115.492644,2.782676,240.480094,9.322239,3.162013,0.241995,122.194959,250.083087
cuda,selecsls42b,128,2.836277,87.180771,1.288151,159.211206,5.250582,2.370470,0.195167,15.443350,89.038010
cuda,spnasnet_100,128,6.304245,62.839103,1.800349,140.062131,6.431813,2.362718,0.327079,29.231122,108.387849
cuda,swin_base_patch4_window7_224,64,13.163572,89.227522,4.142835,198.789877,13.878664,4.986090,0.599043,98.423227,212.372555
cuda,swsl_resnext101_32x16d,32,11.830651,52.944468,2.224546,128.038666,7.229211,2.712083,0.528155,15.249998,92.782827
cuda,tf_efficientnet_b0,128,6.707752,115.002106,2.098236,238.619248,6.853578,2.540463,0.330091,36.475113,162.327660
cuda,tf_mixnet_l,64,14.876452,145.532073,2.318501,287.531699,8.494858,3.677083,0.595495,52.557227,197.381945
cuda,tinynet_a,128,8.455435,107.324145,2.441237,265.292313,7.469276,2.732495,0.415238,264.925451,425.498630
cuda,tnt_s_patch16_224,64,12.889260,43.486712,3.065168,95.400508,7.928309,2.744066,0.625837,29.503199,84.704383
cuda,twins_pcpvt_base,32,29.341674,110.991880,4.323762,242.000022,13.275423,4.566463,1.179972,274.064801,410.199126
cuda,visformer_small,128,2.748959,111.081544,1.560674,199.740891,3.689578,1.500021,0.205311,60.125105,150.453007
cuda,vit_base_patch16_224,64,3.238069,15.971702,1.269415,39.748172,3.013464,1.572875,0.201860,8.742352,33.883188
cuda,volo_d1_224,64,7.423425,51.753384,3.064761,103.199533,6.897323,3.039999,0.405380,40.277533,94.962618
cuda,xcit_large_24_p8_224,5,40.282156,63.996407,5.759428,131.638243,15.785638,5.369251,1.562218,89.701821,163.513034
