dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,2,1.6458,45.7043,0.8515
cuda,AlbertForQuestionAnswering,2,1.6586,45.5348,0.8636
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,1.4663,64.1101,0.9545
cuda,BartForConditionalGeneration,1,1.7886,140.5452,0.8810
cuda,BertForMaskedLM,64,1.3337,61.9757,0.9811
cuda,BertForQuestionAnswering,64,1.4415,61.5710,0.9256
cuda,BigBird,1,1.1505,61.6895,0.8349
cuda,BlenderbotSmallForCausalLM,64,1.3030,52.4237,0.9269
cuda,BlenderbotSmallForConditionalGeneration,32,1.7928,96.1492,0.9557
cuda,CamemBert,1,3.4717,59.8460,0.7482
cuda,DebertaForMaskedLM,4,1.3922,120.3766,0.4498
cuda,DebertaForQuestionAnswering,4,1.4752,130.8288,0.3761
cuda,DistilBertForMaskedLM,16,1.8745,39.5652,0.9448
cuda,DistilBertForQuestionAnswering,32,1.7631,39.5651,0.8334
cuda,DistillGPT2,1,2.6240,41.7968,0.8120
cuda,ElectraForCausalLM,1,6.3238,64.8722,0.9410
cuda,ElectraForQuestionAnswering,64,1.9725,67.2964,1.0237
cuda,GPT2ForSequenceClassification,4,2.1444,60.4961,1.0700
cuda,LayoutLMForMaskedLM,0,0.0000
cuda,LayoutLMForSequenceClassification,16,1.7266,65.1504,0.9712
cuda,M2M100ForConditionalGeneration,2,3.7545,178.9848,0.6568
cuda,MBartForCausalLM,16,1.4018,68.2201,0.8565
cuda,MBartForConditionalGeneration,8,2.4031,151.3125,0.7699
cuda,MT5ForConditionalGeneration,2,5.4336,140.3639,0.6019
cuda,MegatronBertForCausalLM,2,4.2160,118.0195,0.6697
cuda,MegatronBertForQuestionAnswering,8,3.1214,117.8187,0.7107
cuda,MobileBertForMaskedLM,16,6.2119,256.3088,0.7803
cuda,MobileBertForQuestionAnswering,32,5.0662,244.0373,0.6265
cuda,OPTForCausalLM,4,3.9855,71.8761,0.7473
cuda,PLBartForCausalLM,16,1.5454,48.1822,0.9395
cuda,PLBartForConditionalGeneration,8,3.2557,94.0930,0.8251
cuda,PegasusForCausalLM,8,1.8467,62.4789,0.7324
cuda,PegasusForConditionalGeneration,4,3.8129,136.7294,0.6769
cuda,RobertaForCausalLM,4,3.9209,58.2581,0.7309
cuda,RobertaForQuestionAnswering,64,1.4464,63.5298,0.9254
cuda,Speech2Text2ForCausalLM,64,2.0987,38.2580,0.9452
cuda,T5ForConditionalGeneration,4,1.6896,154.8311,0.9525
cuda,T5Small,1,1.8796,91.9498,0.9876
cuda,TrOCRForCausalLM,8,1.9162,65.3169,0.7566
cuda,XGLMForCausalLM,1,3.6427,144.8421,0.7214
cuda,XLNetLMHeadModel,4,1.5933,137.2853,1.0109
cuda,YituTechConvBert,1,4.7280,101.3281,0.7407
