dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,8.327765
cuda,beit_base_patch16_224,64,4.584292
cuda,botnet26t_256,128,2.383020
cuda,cait_m36_384,2,46.666826
cuda,coat_lite_mini,128,3.199686
cuda,convit_base,32,4.067550
cuda,convmixer_768_32,32,7.228568
cuda,convnext_base,32,11.696221
cuda,crossvit_9_240,64,7.406225
cuda,cspdarknet53,64,6.180147
cuda,deit_base_distilled_patch16_224,64,3.095495
cuda,dla102,64,10.632936
cuda,dm_nfnet_f0,128,6.618886
cuda,dpn107,32,13.529608
cuda,eca_botnext26ts_256,64,2.507851
cuda,eca_halonext26ts,64,2.631868
cuda,ese_vovnet19b_dw,128,1.991143
cuda,fbnetc_100,128,5.538985
cuda,fbnetv3_b,128,13.365964
cuda,gernet_l,128,4.780420
cuda,ghostnet_100,128,8.920059
cuda,gluon_inception_v3,128,8.338577
cuda,gluon_xception65,32,15.938417
cuda,gmixer_24_224,64,8.541298
cuda,gmlp_s16_224,64,9.260449
cuda,hrnet_w18,2,98.603277
cuda,inception_v3,128,8.531838
cuda,jx_nest_base,32,9.764334
cuda,lcnet_050,128,2.006481
cuda,mixer_b16_224,64,2.774416
cuda,mixnet_l,64,13.621563
cuda,mnasnet_100,128,4.070392
cuda,mobilenetv2_100,128,4.201375
cuda,mobilenetv3_large_100,128,4.415456
cuda,mobilevit_s,32,5.914124
cuda,nfnet_l0,64,5.862465
cuda,pit_b_224,64,3.780979
cuda,pnasnet5large,16,59.312907
cuda,poolformer_m36,64,13.189204
cuda,regnety_002,128,4.910054
cuda,repvgg_a2,128,4.647732
cuda,res2net101_26w_4s,64,25.107803
cuda,res2net50_14w_8s,2,19.685209
cuda,res2next50,2,7.230185
cuda,resmlp_12_224,128,2.873727
cuda,resnest101e,32,26.299758
cuda,rexnet_100,128,6.396639
cuda,sebotnet33ts_256,64,3.803649
cuda,selecsls42b,128,2.420493
cuda,spnasnet_100,128,5.479883
cuda,swin_base_patch4_window7_224,64,12.364393
cuda,swsl_resnext101_32x16d,32,10.179665
cuda,tf_efficientnet_b0,128,5.778235
cuda,tf_mixnet_l,64,13.657520
cuda,tinynet_a,128,7.544119
cuda,tnt_s_patch16_224,64,12.144881
cuda,twins_pcpvt_base,32,25.581492
cuda,visformer_small,128,2.381242
cuda,vit_base_patch16_224,64,3.020630
cuda,volo_d1_224,64,6.869456
cuda,xcit_large_24_p8_224,5,37.252225
