dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.1948,99.0938,0.8538
cuda,beit_base_patch16_224,64,1.0434,18.6805,0.9298
cuda,botnet26t_256,128,1.3468,50.2327,0.7708
cuda,cait_m36_384,2,1.3838,61.2635,0.9030
cuda,coat_lite_mini,128,1.2187,33.2129,0.6593
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0532,18.6081,0.9714
cuda,convnext_base,32,1.2137,35.8670,0.7521
cuda,crossvit_9_240,64,1.1212,36.5965,0.8854
cuda,cspdarknet53,64,0.9014,41.6697,0.7908
cuda,deit_base_distilled_patch16_224,64,1.0625,14.4419,0.8794
cuda,dla102,64,1.3805,87.9253,0.9751
cuda,dm_nfnet_f0,128,1.1778,38.4893,0.9443
cuda,dpn107,32,0.9919,102.7943,0.8814
cuda,eca_botnext26ts_256,64,1.1083,63.5595,0.7788
cuda,eca_halonext26ts,64,1.0966,67.2819,0.7792
cuda,ese_vovnet19b_dw,128,1.2477,39.1374,0.9146
cuda,fbnetc_100,128,1.3751,61.6258,0.7352
cuda,fbnetv3_b,128,1.2549,101.1606,0.7900
cuda,gernet_l,128,1.1424,45.0430,0.8158
cuda,ghostnet_100,128,1.5476,91.6956,0.9026
cuda,gluon_inception_v3,128,1.1948,99.4546,0.8538
cuda,gluon_xception65,32,1.0644,64.7030,0.8854
cuda,gmixer_24_224,64,1.0029,27.6026,0.8991
cuda,gmlp_s16_224,64,1.0389,22.3145,0.9200
cuda,hrnet_w18,2,1.3783,370.9935,0.8355
cuda,inception_v3,128,1.1947,99.4931,0.8538
cuda,jx_nest_base,32,1.2246,50.5117,0.8600
cuda,lcnet_050,128,1.5598,39.1844,0.7559
cuda,mixer_b16_224,64,0.9569,16.1639,0.7726
cuda,mixnet_l,64,1.0862,81.6749,0.7742
cuda,mnasnet_100,128,1.3691,52.1130,0.8252
cuda,mobilenetv2_100,128,0.8619,41.6747,0.9129
cuda,mobilenetv3_large_100,128,1.3737,84.2177,0.8641
cuda,mobilevit_s,32,1.2119,58.1758,0.7870
cuda,nfnet_l0,64,1.1376,34.6809,0.8207
cuda,pit_b_224,64,1.0618,24.7865,0.8179
cuda,pnasnet5large,16,1.1815,194.3739,1.1722
cuda,poolformer_m36,0,0.0000
cuda,regnety_002,128,1.3798,56.8403,0.7515
cuda,repvgg_a2,128,1.1307,63.7094,0.6789
cuda,res2net101_26w_4s,64,1.4297,122.3856,0.8524
cuda,res2net50_14w_8s,2,1.3928,104.6199,0.8169
cuda,res2next50,2,1.3683,59.6704,0.8198
cuda,resmlp_12_224,0,0.0000
cuda,resnest101e,32,1.4177,101.1366,0.9532
cuda,rexnet_100,128,1.0373,117.4054,0.8648
cuda,sebotnet33ts_256,64,1.1165,68.6287,0.7354
cuda,selecsls42b,128,1.3583,51.9674,0.8772
cuda,spnasnet_100,128,1.3169,57.8461,0.8371
cuda,swin_base_patch4_window7_224,64,1.0453,72.1749,0.8451
cuda,swsl_resnext101_32x16d,32,1.0760,53.9575,0.8487
cuda,tf_efficientnet_b0,128,1.0911,78.7914,0.8392
cuda,tf_mixnet_l,64,1.0668,81.2500,0.8366
cuda,tinynet_a,128,1.1514,80.8993,0.7887
cuda,tnt_s_patch16_224,64,1.8886,38.6371,0.9431
cuda,twins_pcpvt_base,32,1.2699,72.4687,0.8007
cuda,visformer_small,128,1.0833,31.0174,0.8884
cuda,vit_base_patch16_224,64,0.9929,14.1213,0.8801
cuda,volo_d1_224,64,1.1413,39.6369,0.8587
cuda,xcit_large_24_p8_224,0,0.0000
