dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,3.2081,177.9434,0.9721
cuda,Background_Matting,4,1.2249,98.0044,0.9245
cuda,LearningToPaint,96,1.8496,67.9579,0.7295
cuda,Super_SloMo,6,1.2901,110.8918,1.0536
cuda,alexnet,128,1.2095,28.0079,0.7974
cuda,attention_is_all_you_need_pytorch,256,1.6540,266.2822,0.9829
cuda,dcgan,32,2.6830,20.5771,0.8283
cuda,demucs,4,0.9990,0.2593,0.9872
cuda,densenet121,4,6.0578,366.3220,0.8753
cuda,dlrm,0,0.0000
cuda,drq,1,2.9519,25.5532,0.7520
cuda,fastNLP_Bert,6,1.4658,149.2335,0.8661
cuda,functorch_dp_cifar10,64,4.8757,86.9469,0.4478
cuda,hf_Albert,8,2.3793,85.9413,1.1576
cuda,hf_Bart,4,1.7327,147.5629,0.8137
cuda,hf_Bert,4,2.2348,78.0438,0.9017
cuda,hf_BigBird,2,1.1520,69.7388,0.8098
cuda,hf_DistilBert,8,1.5318,54.7220,0.8387
cuda,hf_GPT2,4,1.8585,138.5882,0.9648
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1582,78.5392,0.3629
cuda,hf_T5,8,1.8407,157.1346,0.9309
cuda,hf_T5_large,2,2.4185,593.4358,0.8541
cuda,lennard_jones,1000,2.0222,8.2622,0.5640
cuda,mnasnet1_0,32,2.8887,166.2427,0.7541
cuda,mobilenet_v2,96,1.5593,149.8098,1.0074
cuda,mobilenet_v3_large,32,3.0025,176.0954,0.7918
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9887,16.3507,0.5596
cuda,pytorch_CycleGAN_and_pix2pix,1,2.0914,42.8301,0.8861
cuda,pytorch_stargan,16,1.3391,148.0754,0.7783
cuda,pytorch_struct,200,1.9967,127.1456,0.4235
cuda,pytorch_unet,1,1.3436,70.4316,0.8678
cuda,resnet18,16,3.1562,88.3143,0.6102
cuda,resnet50,32,1.7360,90.5664,0.8652
cuda,resnext50_32x4d,8,3.4650,115.9700,0.7644
cuda,shufflenet_v2_x1_0,128,1.7108,111.0196,0.8560
cuda,soft_actor_critic,256,1.4778,12.9604,0.7295
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,2.4129,46.4889,0.8611
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,4.6029,897.6359,1.0226
cuda,timm_efficientnet,32,2.1117,207.0271,1.2758
cuda,timm_nfnet,128,1.4948,110.1183,1.0337
cuda,timm_regnet,32,1.4191,123.1854,0.9249
cuda,timm_resnest,32,1.9188,233.3464,0.8756
cuda,timm_vision_transformer,8,3.0948,204.3233,0.7151
cuda,timm_vision_transformer_large,8,1.1610,189.3326,0.8790
cuda,timm_vovnet,32,1.2719,127.3594,0.8352
cuda,tts_angular,64,1.0307,4.2834,0.9895
cuda,vgg16,64,1.2699,35.4152,0.7491
cuda,yolov3,16,1.1030,906.3816,0.9059
