dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.459152,2.761438,1.868199,6.044913,2.190130,0.942915,0.138235,5.232444
cuda,AlbertForQuestionAnswering,2,1.490166,2.715111,1.798787,5.904453,2.157547,0.961862,0.132434,5.068034
cuda,BartForCausalLM,2,1.582798,5.041506,1.785301,6.914833,2.625680,1.357215,0.210671,3.741203
cuda,BartForConditionalGeneration,1,4.450880,12.504384,3.836567,15.756891,6.993082,2.174253,0.725388,7.301880
cuda,BertForMaskedLM,64,1.994919,7.000864,1.887820,8.751019,3.843863,1.192938,0.247861,3.726473
cuda,BertForQuestionAnswering,64,2.153635,4.844541,1.846934,6.359688,3.773139,1.168507,0.242425,3.448476
cuda,BigBird,1,9.479523,4.293382,1.363233,7.009105,2.112099,0.926983,0.179099,4.177372
cuda,BlenderbotSmallForCausalLM,64,1.072510,3.117058,1.251992,4.494607,1.946421,0.782199,0.137704,2.685517
cuda,BlenderbotSmallForConditionalGeneration,32,2.759809,7.184142,2.807296,10.573552,5.066157,1.912630,0.459788,6.341830
cuda,CamemBert,1,2.126575,6.486067,1.591573,8.095400,3.448607,1.010671,0.227942,3.287212
cuda,DebertaForMaskedLM,4,5.543140,10.205679,2.881123,13.093663,4.229721,2.137624,0.300457,5.970066
cuda,DebertaForQuestionAnswering,4,5.682365,8.210877,2.820438,10.084341,4.170141,1.793527,0.300077,4.889548
cuda,DistilBertForMaskedLM,16,0.798826,3.166350,1.270734,4.085672,1.681241,0.624347,0.107022,2.237764
cuda,DistilBertForQuestionAnswering,32,0.815251,3.103482,1.214805,4.113530,1.659892,0.610220,0.103636,2.273524
cuda,DistillGPT2,1,0.947517,4.257152,0.747897,5.409497,1.457606,0.538165,0.086904,1.940698
cuda,ElectraForCausalLM,1,2.122091,6.653460,1.617357,8.333400,3.456480,1.017859,0.226912,3.384272
cuda,ElectraForQuestionAnswering,64,2.009890,6.937428,1.863032,8.688110,3.798048,1.193909,0.253423,3.701042
cuda,GPT2ForSequenceClassification,4,1.866232,6.566753,1.696203,8.031637,3.070940,1.144177,0.192730,3.238400
cuda,GoogleFnet,1,1.075507,3.659523,1.121701,5.520685,1.460044,0.699951,0.111952,3.042365
cuda,LayoutLMForMaskedLM,16,2.185813,6.882972,2.501770,8.025549,3.283258,1.200302,0.252110,3.738295
cuda,LayoutLMForSequenceClassification,16,2.037412,4.860219,1.888168,7.556249,4.417241,1.389729,0.247405,4.672004
cuda,M2M100ForConditionalGeneration,2,4.297993,11.932234,3.505072,17.820975,6.566650,2.715652,0.587938,9.591167
cuda,MBartForCausalLM,16,1.604257,6.506308,1.880794,8.516691,2.813112,1.480412,0.227734,3.972321
cuda,MBartForConditionalGeneration,8,4.341759,12.022769,4.538550,16.043315,7.583553,2.630135,0.829160,8.780699
cuda,MT5ForConditionalGeneration,2,4.277905,9.780746,3.265195,12.617540,4.610076,1.657482,0.398633,6.272480
cuda,MegatronBertForCausalLM,2,4.241811,14.795378,4.310061,16.677972,7.281342,2.315053,0.669007,6.760004
cuda,MegatronBertForQuestionAnswering,8,4.219368,14.303606,3.491822,16.497711,7.560761,2.103693,0.580874,6.235746
cuda,MobileBertForMaskedLM,16,10.046306,9.012070,3.897925,18.551260,7.384485,4.227715,1.703488,13.761186
cuda,MobileBertForQuestionAnswering,32,10.099121,8.938780,4.623837,17.269439,7.190481,3.528094,1.720205,13.270438
cuda,OPTForCausalLM,4,1.601785,3.848063,1.536349,5.884207,2.549794,1.164673,0.218432,3.918905
cuda,PLBartForCausalLM,16,0.827247,3.591790,1.251059,4.856956,1.671032,0.630345,0.100429,2.563648
cuda,PLBartForConditionalGeneration,8,2.151747,7.546917,2.441813,10.565229,4.325914,1.572843,0.332775,5.572487
cuda,PegasusForCausalLM,8,1.773921,5.200636,1.751001,7.002350,2.957594,1.065233,0.207634,3.640910
cuda,PegasusForConditionalGeneration,4,4.193304,10.187998,4.156950,14.214787,6.629276,2.845899,0.625593,8.407968
cuda,RobertaForCausalLM,4,2.188435,7.078938,2.026391,8.353205,3.558976,1.203986,0.252348,3.390902
cuda,RobertaForQuestionAnswering,64,2.182117,5.075414,1.837978,6.477962,3.784977,1.173915,0.244645,3.327747
cuda,Speech2Text2ForCausalLM,64,0.912614,3.394760,0.777235,5.127520,1.144149,0.749362,0.096806,2.552923
cuda,T5ForConditionalGeneration,4,2.933448,7.125486,1.902528,11.968908,3.682560,1.237846,0.257839,6.860656
cuda,T5Small,1,2.885407,6.516079,1.534971,8.821543,2.765306,1.395804,0.238290,3.953660
cuda,TrOCRForCausalLM,8,1.574435,4.972456,1.757300,6.453573,2.675149,1.337304,0.208580,3.322543
cuda,XGLMForCausalLM,1,3.488805,11.974715,3.337693,14.908905,5.701487,1.864929,0.527206,6.442010
cuda,XLNetLMHeadModel,4,4.996936,175.250867,5.321412,178.344226,9.569012,140.696606,0.753513,8.700518
cuda,YituTechConvBert,1,3.195395,7.762871,3.392421,9.908392,4.153806,1.513309,0.376042,5.675934
