dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.043472,21.973338,2.176370,24.005133,4.263757,1.668064,0.244850,4.315874
cuda,Background_Matting,4,1.578305,4.555185,1.557478,7.608922,4.119554,1.764941,0.179242,4.682502
cuda,LearningToPaint,96,0.634088,2.022021,0.659959,3.046657,1.152472,0.441455,0.066592,1.716104
cuda,Super_SloMo,6,1.590267,6.778063,1.862097,7.703399,3.984151,1.711380,0.087205,2.845815
cuda,alexnet,128,0.095135,1.083822,0.151186,1.631766,0.367699,0.163798,0.010870,0.704682
cuda,attention_is_all_you_need_pytorch,256,1.685678,9.078681,2.260508,11.797301,4.218421,1.476449,0.299809,5.086057
cuda,dcgan,32,0.143071,0.947413,0.135685,1.417932,0.141838,0.065884,0.010184,0.613358
cuda,demucs,4,0.211623
cuda,densenet121,4,3.696935,13.177179,5.817203,18.804963,10.968748,3.714617,0.579885,11.667230
cuda,drq,1,0.183697,1.298729,0.096178,2.086899,0.099034,0.048998,0.011675,0.891972
cuda,fastNLP_Bert,6,2.016366,19.882617,1.885051,22.474987,4.107637,1.341092,0.235236,4.574754
cuda,functorch_dp_cifar10,64,0.460608,2.488990,1.044704,4.936504,1.966055,0.577048,0.072078,3.533669
cuda,hf_Albert,8,1.433651,3.113699,1.568765,5.986405,2.905377,0.951012,0.133187,4.530799
cuda,hf_Bart,4,2.173898,8.925890,2.412390,11.684695,3.643148,1.572406,0.335408,5.577759
cuda,hf_Bert,4,1.991271,7.033312,1.926358,8.673334,3.869585,1.190987,0.246921,3.657105
cuda,hf_BigBird,2,9.593540,4.395572,1.486228,7.154129,1.987531,0.930472,0.178256,4.342276
cuda,hf_DistilBert,8,0.776176,3.096467,1.039688,4.174379,1.619075,0.618936,0.105470,2.163258
cuda,hf_GPT2,4,1.907988,12.510697,1.852406,13.748887,2.805175,1.154126,0.198126,3.175706
cuda,hf_GPT2_large,4,6.581764,54.771482,4.932427,58.880624,12.126409,3.241078,0.895880,9.271585
cuda,hf_Reformer,4,2.861846,6.420884,0.665739,6.941948,1.054834,0.546098,0.055231,1.232273
cuda,hf_T5,8,2.838293,7.304999,1.819110,10.711968,2.848451,1.218400,0.262695,6.002555
cuda,hf_T5_large,2,15.633368,38.035917,7.512821,46.937462,16.106786,4.605504,1.967146,16.866878
cuda,lennard_jones,1000,0.064281,0.559766,0.056310,0.990723,0.041895,0.029118,0.005539,0.491162
cuda,mnasnet1_0,32,1.426300,4.705521,1.561217,6.687767,3.156528,1.253206,0.182521,3.618266
cuda,mobilenet_v2,96,1.502743,5.287284,1.719279,6.883169,3.565453,1.358197,0.216727,3.393576
cuda,mobilenet_v3_large,32,1.493644,4.838134,1.766480,6.999846,3.553134,1.334881,0.213545,4.009494
cuda,nvidia_deeprecommender,256,0.126816,0.662411,0.105726,1.505213,0.088452,0.043945,0.008090,0.954002
cuda,pytorch_CycleGAN_and_pix2pix,1,0.530727,2.113072,0.700851,3.764962,1.466163,0.868738,0.064347,2.392782
cuda,pytorch_stargan,16,0.581995,1.491547,0.552058,2.753532,0.890308,0.285340,0.047686,1.849199
cuda,pytorch_struct,200,0.197193,0.948503,0.145086,2.048368,0.157383,0.092985,0.018205,1.257324
cuda,pytorch_unet,1,0.717156,2.427149,0.740792,3.565682,1.507715,0.612303,0.061807,2.117750
cuda,resnet18,16,0.598603,2.501123,0.851443,3.375172,1.313717,0.553089,0.062769,1.883498
cuda,resnet50,32,1.504835,3.839912,1.583283,5.336850,2.895220,1.094055,0.185382,3.156991
cuda,resnext50_32x4d,8,1.505523,3.418221,1.455142,5.344804,2.530116,1.095325,0.167697,3.458802
cuda,shufflenet_v2_x1_0,128,1.666153,4.848238,2.385453,6.812269,3.289011,1.849318,0.261019,4.437720
cuda,soft_actor_critic,256,0.113132,1.017692,0.057853,1.745157,0.048647,0.029635,0.005716,0.789414
cuda,squeezenet1_1,32,0.235150,1.444570,0.336805,1.974505,0.585133,0.304823,0.028925,0.879819
cuda,timm_efficientdet,1,22.140999,18.351492,8.111227,27.686341,15.233450,5.640122,1.318690,17.818530
cuda,timm_efficientnet,32,2.423823,5.261313,2.615793,7.285800,3.627891,1.592626,0.277511,4.745864
cuda,timm_nfnet,128,2.577262,9.129803,4.457962,9.958783,5.735692,1.719491,0.265636,5.432330
cuda,timm_regnet,32,3.244712,4.727159,2.026376,6.835930,3.671939,1.320406,0.321659,4.250252
cuda,timm_resnest,32,0.824737,4.031137,1.231582,6.405468,2.819516,1.143205,0.090396,3.647994
cuda,timm_vision_transformer,8,1.023940,3.825257,1.502302,5.564305,2.427089,1.040700,0.164279,3.313566
cuda,timm_vision_transformer_large,8,3.454011,9.368271,4.788522,13.579780,7.517064,3.165688,0.885279,9.223284
cuda,timm_vovnet,32,1.864443,4.248839,1.330262,6.797857,3.699513,1.437480,0.146811,3.941436
cuda,tts_angular,64,0.120871,0.639358,0.044493,0.913676,0.026633,0.014106,0.001383,0.320704
cuda,vgg16,64,0.150495,1.104373,0.307965,1.765473,0.530758,0.220544,0.017537,0.979033
cuda,yolov3,16,3.840989,42.774320,3.465497,364.359494,14.567097,5.381219,0.333482,325.437156
