dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,2.091962,4.298453,1.908410,8.775048,2.873256,1.066310,0.145061,5.765321,8.427669,12.244178
cuda,AlbertForQuestionAnswering,4,2.113933,4.446892,1.868322,8.758602,2.881528,1.069449,0.141751,4.518941,7.176597,10.791167
cuda,BartForCausalLM,4,2.151382,5.904972,2.241889,8.305413,2.838049,1.287139,0.258089,5.869656,7.644410,10.881532
cuda,BartForConditionalGeneration,2,5.872072,13.089662,5.539669,19.315188,8.335738,3.303708,1.006980,9.275955,12.588464,21.323654
cuda,BertForMaskedLM,64,2.720246,6.963295,2.415337,9.303791,3.619993,1.447901,0.284591,11.534154,16.076404,16.404040
cuda,BertForQuestionAnswering,128,2.678955,6.820089,2.335252,9.209378,3.493422,1.417460,0.280491,5.829701,8.208213,10.666642
cuda,BigBird,1,10.611312,7.059018,1.599636,10.100909,2.602408,1.270104,0.212079,10.562114,15.329368,1.461730
cuda,BlenderbotSmallForCausalLM,64,1.503516,3.814612,1.848258,5.975467,2.033453,0.957260,0.160384,12.762237,16.846094,12.435701
cuda,BlenderbotSmallForConditionalGeneration,64,4.009292,8.252584,3.900666,12.968516,5.634672,2.376222,0.573926,12.659811,14.049596,21.463692
cuda,CamemBert,1,2.754319,6.444831,2.075283,8.613301,3.209226,1.251508,0.260207,3.110456,7.468212,2.673089
cuda,DebertaForMaskedLM,4,6.764585,93.076002,3.638131,96.736703,4.657147,2.201645,0.339146,21.552258,27.967115,29.104714
cuda,DebertaForQuestionAnswering,8,7.111090,88.726906,3.607293,92.345846,4.641312,2.203943,0.342101,27.065054,25.362835,34.549367
cuda,DistilBertForMaskedLM,64,1.135112,3.794231,1.365909,5.420711,1.739353,0.766557,0.121403,10.905595,15.842781,13.957480
cuda,DistilBertForQuestionAnswering,64,1.159299,3.768482,1.307672,5.314252,1.686904,0.746130,0.118087,9.695901,14.489774,12.612017
cuda,DistillGPT2,1,1.215163,3.530869,1.108625,5.206512,1.362164,0.637536,0.100124,14.268791,17.103974,13.960613
cuda,ElectraForCausalLM,32,2.613663,7.098506,2.472774,9.441939,3.712631,1.482520,0.288665,17.618592,23.134478,22.548740
cuda,ElectraForQuestionAnswering,64,2.566253,6.876359,2.370291,9.083897,3.540996,1.451373,0.289827,10.954590,13.677099,15.645105
cuda,GPT2ForSequenceClassification,4,2.385861,6.641477,2.138282,8.990124,3.224447,1.329351,0.228709,6.697378,13.113085,11.280639
cuda,LayoutLMForMaskedLM,16,3.129246,6.981294,2.473312,9.351135,3.634012,1.450241,0.292662,11.187855,14.993656,16.147070
cuda,LayoutLMForSequenceClassification,16,3.109572,6.913719,2.397375,10.942791,4.245269,2.088068,0.288532,29.821868,33.613028,36.362450
cuda,M2M100ForConditionalGeneration,8,5.831987,12.439127,4.351754,19.924261,7.723039,3.264971,0.750477,27.330997,91.265079,39.419819
cuda,MBartForCausalLM,32,2.208513,6.217031,2.440609,9.784936,3.131907,1.812948,0.277749,4.870099,6.071306,10.990099
cuda,MBartForConditionalGeneration,16,6.351043,12.628320,6.092558,19.889100,9.078043,3.628482,1.130715,9.944124,11.189828,23.584415
cuda,MT5ForConditionalGeneration,8,4.983208,11.722863,3.635912,17.383014,5.933078,2.668164,0.435598,39.038794,58.216441,48.527739
cuda,MegatronBertForCausalLM,16,5.409575,13.975541,5.294827,18.875609,7.955448,2.860122,0.778557,14.938282,24.638573,25.364471
cuda,MegatronBertForQuestionAnswering,16,5.433750,13.992681,5.237234,18.869646,7.335353,2.832101,0.784154,12.688999,22.198685,23.034557
cuda,MobileBertForMaskedLM,32,12.905757,13.912589,5.404454,26.396145,12.083364,4.820525,2.585086,11.657750,31.500277,29.937069
cuda,MobileBertForQuestionAnswering,64,12.859184,13.844356,5.283448,26.266886,12.071179,4.811068,2.563673,7.907224,21.745365,26.013843
cuda,OPTForCausalLM,32,2.253363,5.113413,1.888357,8.195681,3.510095,1.473374,0.266545,6.258140,11.326154,5.908159
cuda,PLBartForCausalLM,32,1.174662,4.220909,1.307340,6.336547,1.625859,0.749167,0.116252,5.731640,7.792536,9.211623
cuda,PLBartForConditionalGeneration,16,2.991338,7.190008,3.231830,11.236737,4.464258,1.873995,0.394327,20.514136,23.232122,27.938452
cuda,PegasusForCausalLM,32,2.254367,6.388437,2.391186,10.005700,3.053971,1.426347,0.273704,6.144406,7.785634,12.263423
cuda,PegasusForConditionalGeneration,16,5.627291,12.140575,5.424154,19.310675,8.105183,3.595272,0.777673,11.998842,13.667863,25.133590
cuda,RobertaForCausalLM,64,2.780379,7.093070,2.437123,9.377996,3.665354,1.459234,0.294945,6.272981,11.428140,11.109177
cuda,RobertaForQuestionAnswering,128,2.674450,6.797245,2.341415,9.028900,3.480941,1.405684,0.285869,2.674866,4.987488,7.359614
cuda,Speech2Text2ForCausalLM,128,1.201957,4.926168,0.915617,7.446937,1.444229,0.708837,0.112474,6.224145,7.854259,9.718643
cuda,T5ForConditionalGeneration,4,3.438072,9.084602,2.762386,11.842144,3.911132,1.521535,0.281730,17.533041,34.775420,23.186550
cuda,T5Small,1,3.553033,8.441022,2.009187,11.425288,3.815003,1.281464,0.257482,17.102916,33.215906,22.224081
cuda,TrOCRForCausalLM,32,2.199821,5.929977,2.284101,8.606056,2.934408,1.371655,0.268809,5.250519,6.889327,10.583721
cuda,XGLMForCausalLM,8,4.649536,10.996847,5.497145,17.243566,7.249195,2.816986,0.726714,12.717649,144.814333,24.699450
cuda,YituTechConvBert,1,3.941339,8.407744,3.518769,12.458182,5.086627,1.878021,0.438529,35.591337,103.227986,43.334525
