dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,1.614027,3.580094,1.945092,7.361184,2.432253,0.967394,0.135646,6.842273,5.810003
cuda,AlbertForQuestionAnswering,4,1.585270,3.582539,1.848973,7.303541,2.380638,0.967241,0.131546,5.593100,5.655173
cuda,BartForCausalLM,4,1.689794,5.980730,1.843914,8.501138,2.844616,1.420208,0.209465,5.344361,4.452835
cuda,BartForConditionalGeneration,2,4.480532,13.638272,4.598042,18.545916,7.943479,2.713252,0.780041,11.434428,9.728827
cuda,BertForMaskedLM,64,2.181619,7.653383,1.957680,9.792226,3.997060,1.229150,0.238350,11.609020,4.187107
cuda,BertForQuestionAnswering,128,2.217287,7.521954,2.580779,9.249171,3.406615,1.247838,0.240962,7.018631,4.399626
cuda,BigBird,1,9.869472,5.816677,1.225473,9.657555,2.533101,0.932170,0.183672,5.161479,1.178618
cuda,BlenderbotSmallForCausalLM,64,1.165138,3.556830,1.296925,5.682446,2.037041,0.812721,0.136423,3.479137,10.254648
cuda,BlenderbotSmallForConditionalGeneration,64,3.048738,7.816646,2.794850,12.143815,5.345963,1.969773,0.463082,13.244993,7.268270
cuda,CamemBert,1,2.225779,6.992466,1.632910,8.969756,3.605853,1.038583,0.213649,3.697427,2.224787
cuda,DebertaForMaskedLM,4,6.103495,62.109962,2.817213,66.364439,3.946088,2.206155,0.304960,22.549843,7.279167
cuda,DebertaForQuestionAnswering,8,6.153433,76.879171,3.009118,80.523588,4.687694,2.087380,0.308869,20.331214,6.859856
cuda,DistilBertForMaskedLM,64,0.860644,3.842815,1.276139,5.245258,1.786812,0.640182,0.105615,11.995999,2.728197
cuda,DistilBertForQuestionAnswering,64,0.884623,3.956553,1.240042,5.362536,1.761188,0.627025,0.107664,11.349042,2.695095
cuda,DistillGPT2,1,1.020177,4.989363,0.773901,6.658187,1.554959,0.556036,0.088174,21.333000,2.485614
cuda,ElectraForCausalLM,32,2.293602,7.786902,2.295005,9.622350,3.751238,1.262787,0.247340,19.613578,4.222634
cuda,ElectraForQuestionAnswering,64,2.034560,7.599895,1.902919,9.691831,3.948234,1.228373,0.246924,11.729662,4.084666
cuda,GPT2ForSequenceClassification,4,1.967774,7.278731,1.748440,9.348608,3.293998,1.175975,0.203104,12.672928,3.897984
cuda,GoogleFnet,1,1.160399,5.108015,0.949967,8.464496,1.828837,0.701422,0.112703,4.363674,2.454906
cuda,LayoutLMForMaskedLM,16,2.582106,7.750026,2.765018,9.196498,3.449485,1.230097,0.242624,11.525660,4.310871
cuda,LayoutLMForSequenceClassification,16,2.508716,7.433118,2.505126,10.267576,4.038557,1.412389,0.235811,38.849043,5.433247
cuda,M2M100ForConditionalGeneration,8,4.433720,13.765183,4.738174,20.127799,6.364625,2.582297,0.585066,80.770516,11.304126
cuda,MBartForCausalLM,32,1.672601,7.382014,1.888779,10.127342,3.258869,1.162927,0.217758,4.726536,4.717438
cuda,MBartForConditionalGeneration,16,4.631360,12.820180,4.781924,18.212593,7.670144,3.521987,0.858834,9.720926,10.392827
cuda,MT5ForConditionalGeneration,8,4.805295,10.178904,3.272598,13.947302,4.639706,1.630972,0.406699,57.306470,7.207363
cuda,MegatronBertForCausalLM,16,4.390615,15.268658,4.285686,17.847396,7.647213,2.432503,0.612310,20.628707,7.423804
cuda,MegatronBertForQuestionAnswering,16,4.301935,15.070441,3.628038,18.068962,8.020082,2.333087,0.592950,19.650028,7.182673
cuda,MobileBertForMaskedLM,32,10.322803,9.675696,3.841627,19.165236,7.346261,4.244907,1.717961,31.775027,13.661546
cuda,MobileBertForQuestionAnswering,64,10.244339,9.494478,3.794479,19.010013,8.063341,3.547041,1.710845,18.225865,13.627505
cuda,OPTForCausalLM,32,1.688990,4.720997,1.611149,7.453911,3.129346,1.228135,0.220606,4.422004,4.270595
cuda,PLBartForCausalLM,32,0.889933,4.441828,1.280376,6.409080,1.751276,0.650920,0.100945,6.372911,3.295493
cuda,PLBartForConditionalGeneration,16,2.242208,7.936831,2.422118,11.817949,4.503767,1.617623,0.334000,21.493022,6.421764
cuda,PegasusForCausalLM,32,1.907383,6.382567,1.830924,9.152408,2.849855,1.170314,0.216523,6.249761,4.687819
cuda,PegasusForConditionalGeneration,16,4.385389,11.154524,4.720008,16.210302,6.419872,2.924309,0.629031,13.433781,9.990926
cuda,RobertaForCausalLM,64,2.175293,7.694378,2.253695,9.486006,3.739545,1.244238,0.239531,7.419623,4.136822
cuda,RobertaForQuestionAnswering,128,2.244307,7.620533,1.921574,9.710943,3.943081,1.200088,0.242821,3.720004,4.101573
cuda,Speech2Text2ForCausalLM,128,0.972747,4.784823,0.818394,7.362413,1.241865,0.804330,0.095699,6.173661,3.438626
cuda,T5ForConditionalGeneration,4,3.114278,7.860268,1.937149,13.004002,3.727569,1.250293,0.269151,31.364633,7.196144
cuda,T5Small,1,3.095163,7.207921,1.545481,10.111845,3.214730,1.006113,0.239932,30.712838,4.563995
cuda,TrOCRForCausalLM,32,1.698654,5.824662,1.900079,8.791837,2.892471,1.655255,0.217901,5.489599,4.967688
cuda,XGLMForCausalLM,8,3.798261,44.608925,4.235535,48.701962,7.068922,2.315495,0.607168,130.576257,9.065798
cuda,YituTechConvBert,1,3.226816,8.524311,3.123747,11.587633,4.785319,1.550431,0.386947,92.025926,6.323895
