dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,4,1.164681
cuda,AlbertForQuestionAnswering,4,1.177024
cuda,AllenaiLongformerBase,1,6.022099
cuda,BartForCausalLM,4,1.077019
cuda,BartForConditionalGeneration,2,2.870516
cuda,BertForMaskedLM,64,1.456363
cuda,BertForQuestionAnswering,128,1.450426
cuda,BigBird,1,7.326940
cuda,BlenderbotSmallForCausalLM,64,0.727213
cuda,BlenderbotSmallForConditionalGeneration,64,1.901489
cuda,CamemBert,1,1.432897
cuda,DebertaForMaskedLM,4,4.572540
cuda,DebertaForQuestionAnswering,8,4.692560
cuda,DistilBertForMaskedLM,64,0.543171
cuda,DistilBertForQuestionAnswering,64,0.536769
cuda,DistillGPT2,1,0.676716
cuda,ElectraForCausalLM,32,1.479721
cuda,ElectraForQuestionAnswering,64,1.460869
cuda,GPT2ForSequenceClassification,4,1.429835
cuda,GoogleFnet,1,0.792353
cuda,LayoutLMForMaskedLM,16,1.793600
cuda,LayoutLMForSequenceClassification,16,1.802106
cuda,M2M100ForConditionalGeneration,8,2.906865
cuda,MBartForCausalLM,32,1.070677
cuda,MBartForConditionalGeneration,16,2.927474
cuda,MT5ForConditionalGeneration,8,3.667084
cuda,MegatronBertForCausalLM,16,3.072587
cuda,MegatronBertForQuestionAnswering,16,3.070993
cuda,MobileBertForMaskedLM,32,8.097110
cuda,MobileBertForQuestionAnswering,64,8.045475
cuda,OPTForCausalLM,32,1.128761
cuda,PLBartForCausalLM,32,0.577756
cuda,PLBartForConditionalGeneration,16,1.465281
cuda,PegasusForCausalLM,32,1.124160
cuda,PegasusForConditionalGeneration,16,2.762541
cuda,RobertaForCausalLM,64,1.486111
cuda,RobertaForQuestionAnswering,128,1.480998
cuda,Speech2Text2ForCausalLM,128,0.623954
cuda,T5ForConditionalGeneration,4,2.446647
cuda,T5Small,1,2.329799
cuda,TrOCRForCausalLM,32,1.104491
cuda,XGLMForCausalLM,8,2.385301
cuda,YituTechConvBert,1,2.142406
