dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,Background_Matting,4,1.433406,4.775801,1.640968,7.778555,4.015866,1.740671,0.174229,4.711972
cuda,LearningToPaint,96,0.603234,2.499624,0.722048,3.547169,0.932209,0.711444,0.065340,1.802482
cuda,Super_SloMo,6,1.688996,7.499075,2.014495,8.227471,4.148450,1.531391,0.088651,2.808043
cuda,alexnet,128,0.097866,1.475444,0.157312,2.182298,0.359890,0.161033,0.010937,0.869488
cuda,attention_is_all_you_need_pytorch,256,1.757400,21.149275,1.971614,23.570730,3.774211,1.385269,0.287672,19.891413,4.503504
cuda,dcgan,32,0.115232,1.227051,0.141835,1.829680,0.136792,0.063383,0.010152,0.750972
cuda,demucs,4,0.221663
cuda,densenet121,4,3.445729,13.646708,6.059949,19.576259,10.596701,3.596336,0.572885,12.211213
cuda,dlrm,2048,0.376143,1.242135,0.284172,2.045629,0.338320,0.106831,0.014126,1.094900
cuda,fastNLP_Bert,6,2.100620,8.284338,1.794478,11.529302,3.382670,1.290200,0.237664,5.439667,5.132755
cuda,functorch_dp_cifar10,64,0.453876,2.919345,1.093822,5.503861,1.816821,0.756286,0.058098,3.721175,6.538171
cuda,hf_Albert,8,1.585363,3.113628,1.559146,6.400633,2.646963,1.256660,0.134748,4.922421,6.077082
cuda,hf_Bart,4,2.301080,8.021094,2.666010,11.267736,3.779142,1.598828,0.334108,4.442448,6.032093
cuda,hf_Bert,4,2.065957,6.350080,1.885356,8.437512,2.941498,1.170485,0.232543,4.060777,0.524270
cuda,hf_BigBird,2,10.068587,5.513432,1.451787,9.593193,2.574778,0.928479,0.180920,5.631153,0.428156
cuda,hf_DistilBert,8,0.842400,3.363634,1.051839,4.969243,1.398922,0.629009,0.104120,2.701724,3.288827
cuda,hf_GPT2,4,2.025622,4.268476,1.822636,6.625997,2.702458,1.114584,0.202291,4.261671,3.589013
cuda,hf_GPT2_large,4,7.154543,10.334920,4.858176,15.785665,7.673712,3.969724,0.972685,11.185183,2.316377
cuda,hf_Reformer,4,2.931838,8.304251,0.650713,9.442693,1.436759,0.543105,0.055594,6.105849,1.834071
cuda,hf_T5,8,3.047784,6.131500,1.775400,8.819085,2.662061,1.222452,0.277051,6.055168,4.968517
cuda,hf_T5_large,2,16.651922,19.869904,6.405488,29.774655,15.129772,4.707188,2.176933,33.645247,17.981359
cuda,lennard_jones,1000,0.072277,0.919633,0.054821,1.441759,0.041385,0.028019,0.005520,0.580900
cuda,mnasnet1_0,32,1.320068,5.469180,1.899809,7.089393,2.853539,1.243593,0.189403,3.595317,5.867026
cuda,mobilenet_v2,96,1.427107,6.122462,1.912125,7.965461,3.829964,1.373204,0.211199,3.842274
cuda,mobilenet_v2_quantized_qat,96,2.351859,8.348747,3.505430,12.063225,5.743077,2.714394,0.495156,7.367005
cuda,mobilenet_v3_large,32,1.442579,5.645947,1.951446,8.098353,3.519890,1.348824,0.213084,4.483681,11.778951
cuda,nvidia_deeprecommender,256,0.145338,1.026496,0.099825,2.079135,0.086847,0.043586,0.008186,1.158528,0.553680
cuda,pytorch_CycleGAN_and_pix2pix,1,0.512794,2.291134,0.744389,4.039017,1.451217,0.702500,0.064264,2.714760
cuda,pytorch_stargan,16,0.547667,1.949529,0.573413,3.283964,0.721256,0.289259,0.047052,1.942056,41.631254
cuda,pytorch_struct,200,0.204919,1.143391,0.134656,2.415692,0.153461,0.091491,0.017981,1.417176,33.436202
cuda,pytorch_unet,1,0.679845,3.064140,0.773644,4.141870,1.490889,0.598500,0.062632,1.884820
cuda,resnet18,16,0.556391,3.055267,0.866256,4.475261,1.452486,0.554251,0.063120,2.317093,5.919958
cuda,resnet50,32,1.408650,4.637497,1.729321,6.548425,2.847252,1.090350,0.182791,3.717471,6.252799
cuda,resnet50_quantized_qat,32,2.226509,6.730972,3.694305,9.962289,4.634136,1.959142,0.449950,7.071491,5.842302
cuda,resnext50_32x4d,8,1.405108,4.013122,1.599982,6.050156,2.253058,1.343559,0.169839,3.713056,5.424626
cuda,shufflenet_v2_x1_0,128,1.566046,5.476512,2.329147,7.595411,3.198168,1.810775,0.258002,4.533553
cuda,soft_actor_critic,256,0.116714,1.467557,0.057489,2.412538,0.048441,0.029675,0.005645,1.006891
cuda,speech_transformer,32,2.547695,10.397717,2.319703,14.204686,3.458293,1.562215,0.271771,6.235235
cuda,squeezenet1_1,32,0.239221,1.876610,0.396120,2.447269,0.533934,0.298619,0.028654,0.980204
cuda,tacotron2,64,18.148625,17.451747,2.844403,26.077479,6.452790,3.364330,0.542858,7.636762,11.689962
cuda,timm_nfnet,128,2.710632,9.700199,4.740254,10.454693,5.732852,1.729576,0.269647,5.639559,0.873241
cuda,timm_resnest,32,0.772650,4.923815,1.089234,7.592149,3.059449,1.135664,0.089142,56.124182,3.799680
cuda,timm_vision_transformer,8,1.065412,4.416374,1.491222,7.238567,2.707009,1.064534,0.169434,36.390572,4.382760
cuda,timm_vision_transformer_large,8,3.679331,10.681798,4.800885,16.116051,7.970660,3.833425,0.975971,22.723033,10.462853
cuda,tts_angular,64,0.124313,0.934789,0.044374,1.443500,0.026543,0.014351,0.001601,0.555014
cuda,vgg16,64,0.157351,1.569826,0.347562,2.419585,0.524376,0.221180,0.018327,1.206558
cuda,yolov3,16,3.691106,23.627990,3.555911,351.424926,12.931915,4.929022,0.330477,331.472063
