dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,Background_Matting,4,1.562949
cuda,LearningToPaint,96,0.728514
cuda,Super_SloMo,6,1.766348
cuda,alexnet,128,0.199357
cuda,dcgan,32,0.209339
cuda,demucs,4,0.312789
cuda,densenet121,4,3.567236
cuda,drq,1,0.188956
cuda,fastNLP_Bert,6,2.163649
cuda,functorch_dp_cifar10,64,0.527741
cuda,hf_Albert,8,1.581807
cuda,hf_Bert,4,2.021882
cuda,hf_BigBird,2,9.840628
cuda,hf_DistilBert,8,0.844491
cuda,hf_GPT2,4,2.013300
cuda,hf_Longformer,2,7.903588
cuda,hf_Reformer,4,3.105135
cuda,lennard_jones,1000,0.160348
cuda,mnasnet1_0,32,1.426778
cuda,mobilenet_v2,96,1.500702
cuda,mobilenet_v3_large,32,1.535485
cuda,nvidia_deeprecommender,256,0.254910
cuda,pytorch_CycleGAN_and_pix2pix,1,0.608639
cuda,pytorch_stargan,16,0.648892
cuda,pytorch_struct,200,0.315771
cuda,pytorch_unet,1,0.762919
cuda,resnet18,16,0.659381
cuda,resnet50,32,1.503470
cuda,resnext50_32x4d,8,1.514640
cuda,shufflenet_v2_x1_0,128,1.661238
cuda,soft_actor_critic,256,0.227343
cuda,speech_transformer,32,4.480768
cuda,squeezenet1_1,32,0.333696
cuda,timm_resnest,32,0.908060
cuda,timm_vision_transformer,8,1.196728
cuda,tts_angular,64,0.214227
cuda,vgg16,64,0.249529
cuda,yolov3,16,3.837356
