dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,4,1.594987
cuda,AlbertForQuestionAnswering,4,1.657904
cuda,AllenaiLongformerBase,1,7.789831
cuda,BartForCausalLM,4,1.626510
cuda,BartForConditionalGeneration,2,4.549526
cuda,BertForMaskedLM,64,2.046780
cuda,BertForQuestionAnswering,128,2.052170
cuda,BigBird,1,9.863677
cuda,BlenderbotSmallForCausalLM,64,1.118590
cuda,BlenderbotSmallForConditionalGeneration,64,2.899870
cuda,CamemBert,1,2.090997
cuda,DebertaForMaskedLM,4,6.002089
cuda,DebertaForQuestionAnswering,8,6.055947
cuda,DistilBertForMaskedLM,64,0.838882
cuda,DistilBertForQuestionAnswering,64,0.872708
cuda,DistillGPT2,1,0.998411
cuda,ElectraForCausalLM,32,2.094737
cuda,ElectraForQuestionAnswering,64,2.208678
cuda,GPT2ForSequenceClassification,4,2.125916
cuda,GoogleFnet,1,1.126894
cuda,LayoutLMForMaskedLM,16,2.410390
cuda,LayoutLMForSequenceClassification,16,2.430344
cuda,M2M100ForConditionalGeneration,8,4.542944
cuda,MBartForCausalLM,32,1.653980
cuda,MBartForConditionalGeneration,16,4.525937
cuda,MT5ForConditionalGeneration,8,4.536887
cuda,MegatronBertForCausalLM,16,4.375207
cuda,MegatronBertForQuestionAnswering,16,4.369807
cuda,MobileBertForMaskedLM,32,10.636869
cuda,MobileBertForQuestionAnswering,64,10.708515
cuda,OPTForCausalLM,32,1.701909
cuda,PLBartForCausalLM,32,0.875082
cuda,PLBartForConditionalGeneration,16,2.262460
cuda,PegasusForCausalLM,32,1.704700
cuda,PegasusForConditionalGeneration,16,4.216953
cuda,RobertaForCausalLM,64,2.091269
cuda,RobertaForQuestionAnswering,128,2.137356
cuda,Speech2Text2ForCausalLM,128,0.922121
cuda,T5ForConditionalGeneration,4,3.225179
cuda,T5Small,1,3.325123
cuda,TrOCRForCausalLM,32,1.687505
cuda,XGLMForCausalLM,8,3.579103
cuda,YituTechConvBert,1,3.060575
