dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,Background_Matting,4,0.887516
cuda,LearningToPaint,96,0.424694
cuda,Super_SloMo,6,1.045881
cuda,alexnet,128,0.161162
cuda,attention_is_all_you_need_pytorch,256,1.194716
cuda,dcgan,32,0.165435
cuda,demucs,4,0.309806
cuda,densenet121,4,2.072304
cuda,drq,1,0.139101
cuda,fastNLP_Bert,6,1.532103
cuda,functorch_dp_cifar10,64,0.346087
cuda,hf_Albert,8,1.164105
cuda,hf_Bart,4,1.497647
cuda,hf_Bert,4,1.427292
cuda,hf_BigBird,2,7.393283
cuda,hf_DistilBert,8,0.534252
cuda,hf_GPT2,4,1.402432
cuda,hf_GPT2_large,4,5.211654
cuda,hf_Longformer,2,6.024634
cuda,hf_Reformer,4,2.350789
cuda,hf_T5,8,2.337473
cuda,hf_T5_large,2,14.036756
cuda,lennard_jones,1000,0.134806
cuda,mnasnet1_0,32,0.804834
cuda,mobilenet_v2,96,0.848124
cuda,mobilenet_v2_quantized_qat,96,1.348509
cuda,mobilenet_v3_large,32,0.876011
cuda,nvidia_deeprecommender,256,0.205038
cuda,pytorch_CycleGAN_and_pix2pix,1,0.386162
cuda,pytorch_stargan,16,0.398500
cuda,pytorch_struct,200,0.236919
cuda,pytorch_unet,1,0.457537
cuda,resnet18,16,0.406992
cuda,resnet50,32,0.871753
cuda,resnet50_quantized_qat,32,1.211745
cuda,resnext50_32x4d,8,0.874297
cuda,shufflenet_v2_x1_0,128,0.951788
cuda,soft_actor_critic,256,0.197959
cuda,speech_transformer,32,1.603640
cuda,squeezenet1_1,32,0.243477
cuda,tacotron2,64,17.070161
cuda,timm_nfnet,128,1.997675
cuda,timm_resnest,32,0.583616
cuda,timm_vision_transformer,8,0.778600
cuda,timm_vision_transformer_large,8,2.382268
cuda,tts_angular,64,0.207638
cuda,vgg16,64,0.188276
cuda,yolov3,16,2.858305
