dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.0000,1.4685,0.9998
cuda,AlbertForQuestionAnswering,4,0.9999,1.4323,1.0000
cuda,AllenaiLongformerBase,1,0.9448,6.9574,0.9977
cuda,BartForCausalLM,4,1.0005,1.2954,1.0000
cuda,BartForConditionalGeneration,2,1.0058,3.4760,1.0000
cuda,BertForMaskedLM,64,0.9996,1.5728,0.9996
cuda,BertForQuestionAnswering,128,1.0001,1.6553,1.0008
cuda,BigBird,1,0.9886,8.5459,1.0008
cuda,BlenderbotSmallForCausalLM,64,1.0016,0.8162,0.9996
cuda,BlenderbotSmallForConditionalGeneration,64,1.0076,2.1629,0.9999
cuda,CamemBert,1,1.0421,1.7039,0.9989
cuda,DebertaForMaskedLM,4,0.9288,5.0193,0.9982
cuda,DebertaForQuestionAnswering,8,0.9931,5.0106,0.9754
cuda,DistilBertForMaskedLM,64,1.0001,0.6270,1.0000
cuda,DistilBertForQuestionAnswering,64,1.0010,0.6121,1.0004
cuda,DistillGPT2,1,1.0307,0.7674,0.9963
cuda,ElectraForCausalLM,32,1.0002,1.7312,0.9974
cuda,ElectraForQuestionAnswering,64,1.0006,1.7064,1.0016
cuda,GPT2ForSequenceClassification,4,1.0008,1.5266,0.9675
cuda,LayoutLMForMaskedLM,16,1.0003,2.1008,0.9999
cuda,LayoutLMForSequenceClassification,16,1.0004,2.0479,1.0040
cuda,M2M100ForConditionalGeneration,8,1.0116,3.6096,0.9818
cuda,MBartForCausalLM,32,1.0022,1.2474,1.0000
cuda,MBartForConditionalGeneration,16,1.0137,3.5675,1.0000
cuda,MT5ForConditionalGeneration,8,1.0212,3.6662,0.9190
cuda,MegatronBertForCausalLM,16,1.0322,3.3972,0.9998
cuda,MegatronBertForQuestionAnswering,16,1.0346,3.5910,1.0000
cuda,MobileBertForMaskedLM,32,1.0183,9.2447,0.9998
cuda,MobileBertForQuestionAnswering,64,1.0169,9.3271,1.0153
cuda,OPTForCausalLM,32,1.0091,1.2930,0.9996
cuda,PLBartForCausalLM,32,1.0072,0.6607,1.0003
cuda,PLBartForConditionalGeneration,16,1.0108,1.7568,0.9983
cuda,PegasusForCausalLM,32,1.0016,1.2937,0.9749
cuda,PegasusForConditionalGeneration,16,1.0107,3.3584,0.9985
cuda,RobertaForCausalLM,64,0.9998,1.5889,0.9990
cuda,RobertaForQuestionAnswering,128,1.0000,1.6248,1.0008
cuda,Speech2Text2ForCausalLM,128,1.0040,0.6714,0.9676
cuda,T5ForConditionalGeneration,4,1.0069,2.4315,0.9996
cuda,T5Small,1,1.0269,2.4065,1.0000
cuda,TrOCRForCausalLM,32,1.0019,1.2809,1.0000
cuda,XGLMForCausalLM,8,1.0108,2.8386,0.9918
cuda,YituTechConvBert,1,1.0221,2.5274,0.9718
