dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.6455,18.1707,1.5169
cuda,AlbertForQuestionAnswering,4,1.6546,17.4479,1.5590
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.4433,22.7998,1.1144
cuda,BartForConditionalGeneration,2,1.4238,49.5775,1.1976
cuda,BertForMaskedLM,64,1.3349,22.4665,0.9793
cuda,BertForQuestionAnswering,128,1.4670,20.4151,1.0722
cuda,BigBird,1,1.0292,28.8193,1.0873
cuda,BlenderbotSmallForCausalLM,64,1.2735,19.0014,0.9426
cuda,BlenderbotSmallForConditionalGeneration,64,1.4404,35.1947,1.1105
cuda,CamemBert,1,1.7685,19.9558,0.9309
cuda,DebertaForMaskedLM,4,1.1647,37.1033,1.0674
cuda,DebertaForQuestionAnswering,8,1.2362,39.8099,1.1931
cuda,DistilBertForMaskedLM,64,1.2673,13.6807,0.9480
cuda,DistilBertForQuestionAnswering,64,1.4477,12.9348,1.0655
cuda,DistillGPT2,1,1.9833,16.9032,1.0160
cuda,ElectraForCausalLM,32,1.8311,26.5282,0.9308
cuda,ElectraForQuestionAnswering,64,2.0624,21.9198,1.0704
cuda,GPT2ForSequenceClassification,4,2.2783,19.9004,1.1632
cuda,LayoutLMForMaskedLM,16,1.6269,22.6423,0.9848
cuda,LayoutLMForSequenceClassification,16,1.7994,32.7534,1.0277
cuda,M2M100ForConditionalGeneration,8,1.8822,69.3460,1.0353
cuda,MBartForCausalLM,32,1.1955,23.9492,1.0114
cuda,MBartForConditionalGeneration,16,1.6076,49.4499,1.0986
cuda,MT5ForConditionalGeneration,8,2.4704,39.6593,0.9190
cuda,MegatronBertForCausalLM,16,1.7762,40.4960,1.0276
cuda,MegatronBertForQuestionAnswering,16,1.7733,39.5391,1.0179
cuda,MobileBertForMaskedLM,32,1.7903,66.9361,0.9454
cuda,MobileBertForQuestionAnswering,64,1.7770,65.2175,0.8221
cuda,OPTForCausalLM,32,1.5229,22.2867,1.0061
cuda,PLBartForCausalLM,32,1.2729,15.9174,0.9361
cuda,PLBartForConditionalGeneration,16,1.8516,31.2405,1.0294
cuda,PegasusForCausalLM,32,1.1837,24.3264,1.0363
cuda,PegasusForConditionalGeneration,16,1.5327,49.8043,1.0993
cuda,RobertaForCausalLM,64,1.4291,20.9208,0.9789
cuda,RobertaForQuestionAnswering,128,1.4822,18.8167,1.0722
cuda,Speech2Text2ForCausalLM,128,1.5734,15.7860,0.9801
cuda,T5ForConditionalGeneration,4,1.5824,31.0492,1.1856
cuda,T5Small,1,1.3889,35.2934,1.1277
cuda,TrOCRForCausalLM,32,1.1904,23.0001,0.9877
cuda,XGLMForCausalLM,8,1.5708,101.2483,0.9902
cuda,YituTechConvBert,1,1.6121,52.5258,0.9276
