dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.6553,19.4997,1.0992
cuda,AlbertForQuestionAnswering,4,1.6673,18.9033,1.1305
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.4435,23.9422,1.0568
cuda,BartForConditionalGeneration,2,1.4617,51.0516,0.9837
cuda,BertForMaskedLM,64,1.3571,23.5486,0.9293
cuda,BertForQuestionAnswering,128,1.4959,21.2673,1.0109
cuda,BigBird,1,1.1504,44.1037,0.8178
cuda,BlenderbotSmallForCausalLM,64,1.2705,19.2447,0.8460
cuda,BlenderbotSmallForConditionalGeneration,64,1.4431,36.4872,0.9593
cuda,CamemBert,1,3.6211,20.4039,0.8061
cuda,DebertaForMaskedLM,4,1.4985,99.1277,0.4090
cuda,DebertaForQuestionAnswering,8,1.1447,100.5832,0.3071
cuda,DistilBertForMaskedLM,64,1.2663,14.0913,0.8803
cuda,DistilBertForQuestionAnswering,64,1.4991,13.4076,0.9267
cuda,DistillGPT2,1,3.1566,16.7913,0.7997
cuda,ElectraForCausalLM,32,1.8286,29.1629,0.8560
cuda,ElectraForQuestionAnswering,64,2.1278,22.9687,1.0170
cuda,GPT2ForSequenceClassification,4,2.3273,20.6516,1.0775
cuda,LayoutLMForMaskedLM,16,1.6522,24.3638,0.9481
cuda,LayoutLMForSequenceClassification,16,1.8596,32.7621,1.0044
cuda,M2M100ForConditionalGeneration,8,2.2936,82.5414,0.7520
cuda,MBartForCausalLM,32,1.2531,25.1285,0.9417
cuda,MBartForConditionalGeneration,16,1.7109,50.7604,0.9218
cuda,MT5ForConditionalGeneration,8,3.9333,40.7219,0.8751
cuda,MegatronBertForCausalLM,16,1.8431,41.4969,0.8919
cuda,MegatronBertForQuestionAnswering,16,2.3586,40.4733,0.8930
cuda,MobileBertForMaskedLM,32,4.5957,68.9158,0.6698
cuda,MobileBertForQuestionAnswering,64,3.7504,67.1142,0.6085
cuda,OPTForCausalLM,32,1.5537,23.6150,0.9250
cuda,PLBartForCausalLM,32,1.2840,16.6319,0.8549
cuda,PLBartForConditionalGeneration,16,2.3474,32.1922,0.8843
cuda,PegasusForCausalLM,32,1.1832,26.7318,0.9708
cuda,PegasusForConditionalGeneration,16,1.8403,54.1491,0.9159
cuda,RobertaForCausalLM,64,1.4470,21.8595,0.9289
cuda,RobertaForQuestionAnswering,128,1.5065,19.8156,1.0109
cuda,Speech2Text2ForCausalLM,128,1.5431,17.4390,0.8691
cuda,T5ForConditionalGeneration,4,1.6158,32.2953,0.9662
cuda,T5Small,1,1.8830,36.9071,0.9567
cuda,TrOCRForCausalLM,32,1.1932,23.9729,0.9210
cuda,XGLMForCausalLM,8,1.7822,103.8703,0.8055
cuda,YituTechConvBert,1,5.4064,52.6095,0.7883
