dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AllenaiLongformerBase,1,8.155695
cuda,BertForMaskedLM,64,2.052490
cuda,BigBird,1,10.129494
cuda,BlenderbotSmallForCausalLM,64,1.117570
cuda,CamemBert,1,2.033038
cuda,DebertaForMaskedLM,4,6.155258
cuda,DebertaForQuestionAnswering,8,6.176442
cuda,DistilBertForMaskedLM,64,0.838581
cuda,DistilBertForQuestionAnswering,64,0.857421
cuda,DistillGPT2,1,0.983681
cuda,GoogleFnet,1,1.279453
cuda,LayoutLMForSequenceClassification,16,2.441820
cuda,M2M100ForConditionalGeneration,8,4.247629
cuda,MegatronBertForCausalLM,16,4.472963
cuda,MegatronBertForQuestionAnswering,16,4.287674
cuda,PLBartForCausalLM,32,0.872653
cuda,PegasusForCausalLM,32,1.695825
cuda,PegasusForConditionalGeneration,16,4.191344
cuda,RobertaForCausalLM,64,2.051599
cuda,Speech2Text2ForCausalLM,128,0.912024
cuda,XGLMForCausalLM,8,3.526692
