dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,2.1419,32.2526,1.0815
cuda,Background_Matting,4,1.1082,15.6730,1.0384
cuda,LearningToPaint,96,1.1741,6.3440,0.9371
cuda,Super_SloMo,6,1.1661,15.8332,1.4002
cuda,alexnet,128,1.1639,2.7358,0.8335
cuda,attention_is_all_you_need_pytorch,256,1.0508,53.5025,0.6781
cuda,dcgan,32,1.0622,2.3694,0.8875
cuda,demucs,4,1.0002,0.2188,0.9884
cuda,densenet121,4,1.3730,41.7760,1.0060
cuda,dlrm,2048,1.1025,2.8140,0.7307
cuda,drq,1,1.0790,3.0802,0.8778
cuda,fastNLP_Bert,6,1.3945,25.5923,1.1229
cuda,functorch_dp_cifar10,64,1.3458,15.7101,0.4214
cuda,hf_Albert,8,1.6404,19.0816,1.2215
cuda,hf_Bart,4,1.2052,29.3870,1.1284
cuda,hf_Bert,4,1.1948,18.2045,1.0016
cuda,hf_BigBird,2,1.0090,25.3367,1.0392
cuda,hf_DistilBert,8,1.1835,12.9556,0.9466
cuda,hf_GPT2,4,1.5050,17.5537,1.1374
cuda,hf_GPT2_large,4,1.4749,42.3005,1.1258
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1288,21.7639,0.9882
cuda,hf_T5,8,1.5743,27.6564,1.1507
cuda,hf_T5_large,2,1.6733,111.4109,0.9220
cuda,lennard_jones,1000,0.9424,1.7076,0.9989
cuda,mnasnet1_0,32,1.2974,19.2914,0.8671
cuda,mobilenet_v2,96,1.4098,15.8314,1.2826
cuda,mobilenet_v2_quantized_qat,96,1.4285,26.4828,1.5828
cuda,mobilenet_v3_large,32,1.4176,26.2181,0.8974
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9633,3.1195,0.5598
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3468,7.7226,1.0148
cuda,pytorch_stargan,16,1.2457,48.6911,1.0694
cuda,pytorch_struct,200,1.1601,43.9808,0.4335
cuda,pytorch_unet,1,1.1862,7.5752,1.1050
cuda,resnet18,16,1.2547,13.6800,0.7049
cuda,resnet50,32,1.1682,19.5820,0.9335
cuda,resnet50_quantized_qat,32,1.3853,29.6701,1.4864
cuda,resnext50_32x4d,8,1.2995,19.8719,0.8346
cuda,shufflenet_v2_x1_0,128,1.4004,16.5141,1.0425
cuda,soft_actor_critic,256,0.9229,2.8479,0.9991
cuda,speech_transformer,32,1.5697,24.9664,1.0448
cuda,squeezenet1_1,32,1.3032,3.6511,1.1897
cuda,tacotron2,64,0.9014,68.7967,1.1621
cuda,timm_efficientdet,1,1.6611,166.2529,1.1439
cuda,timm_efficientnet,32,1.1688,24.8804,1.3958
cuda,timm_nfnet,128,1.4245,27.0122,1.0960
cuda,timm_regnet,32,1.0917,24.7257,1.0799
cuda,timm_resnest,32,1.4527,65.6198,0.9967
cuda,timm_vision_transformer,8,1.3956,48.9407,0.8214
cuda,timm_vision_transformer_large,8,1.0341,59.6169,1.0310
cuda,timm_vovnet,32,1.0159,19.1387,0.9501
cuda,tts_angular,64,1.0085,1.7585,0.9884
cuda,vgg16,64,1.1659,3.0892,0.9553
cuda,yolov3,16,1.0788,372.0506,1.0980
