dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.4715,35.4308,1.0255
cuda,beit_base_patch16_224,64,1.2654,20.9479,1.0447
cuda,botnet26t_256,128,1.2934,39.4864,0.9434
cuda,cait_m36_384,4,1.4153,66.7497,0.9775
cuda,coat_lite_mini,128,1.5310,51.4946,1.0344
cuda,convit_base,64,1.3373,29.8589,1.1534
cuda,convmixer_768_32,32,1.0506,22.8918,0.9792
cuda,convnext_base,64,1.4581,68.0831,0.9864
cuda,crossvit_9_240,128,1.4171,39.1454,1.0976
cuda,cspdarknet53,64,1.3453,24.5698,1.0102
cuda,deit_base_distilled_patch16_224,64,1.2644,23.2602,0.8962
cuda,dla102,128,1.5518,33.0414,1.0311
cuda,dm_nfnet_f0,128,1.4305,30.2873,1.1292
cuda,dpn107,32,1.1521,40.9218,0.9960
cuda,eca_botnext26ts_256,128,1.2725,41.4194,1.2643
cuda,eca_halonext26ts,0,0.0000
cuda,ese_vovnet19b_dw,128,1.3793,13.2544,1.0681
cuda,fbnetc_100,128,1.3769,23.0541,0.9865
cuda,fbnetv3_b,128,1.4066,38.8006,1.0430
cuda,gernet_l,128,1.0732,19.6134,0.9861
cuda,ghostnet_100,128,1.9294,34.6878,1.0705
cuda,gluon_inception_v3,128,1.4722,34.6390,1.0255
cuda,gluon_xception65,32,1.1257,38.4650,0.9753
cuda,gmixer_24_224,128,1.5097,32.6876,1.3732
cuda,gmlp_s16_224,128,1.5259,41.5146,1.2997
cuda,hrnet_w18,128,1.4612,112.2745,1.0033
cuda,inception_v3,128,1.4680,34.6516,1.0257
cuda,jx_nest_base,32,1.3543,56.4404,0.8618
cuda,lcnet_050,128,1.7161,13.8065,0.9433
cuda,mixer_b16_224,128,1.2651,23.4136,0.9799
cuda,mixnet_l,128,1.1539,33.3753,1.0089
cuda,mnasnet_100,128,1.4589,19.2390,0.9800
cuda,mobilenetv2_100,128,1.4323,19.6917,1.1524
cuda,mobilenetv3_large_100,128,1.4709,21.9031,1.0259
cuda,mobilevit_s,64,1.3619,69.9929,1.3099
cuda,nfnet_l0,128,1.4589,22.3053,1.1803
cuda,pit_b_224,64,1.3139,20.2604,1.2281
cuda,pnasnet5large,16,1.2329,80.0751,1.2896
cuda,poolformer_m36,64,1.2963,45.4084,1.1171
cuda,regnety_002,128,1.5332,19.5505,1.0081
cuda,repvgg_a2,128,1.1573,18.6540,0.9914
cuda,res2net101_26w_4s,64,1.2335,57.8445,0.9734
cuda,res2net50_14w_8s,128,1.4056,51.8946,0.9737
cuda,res2next50,128,1.3472,29.4527,0.9666
cuda,resmlp_12_224,128,1.1395,22.5395,0.8011
cuda,resnest101e,64,1.4330,66.1693,1.1461
cuda,rexnet_100,128,1.2711,28.6398,1.3177
cuda,sebotnet33ts_256,64,1.2029,50.0898,0.8294
cuda,selecsls42b,128,1.4123,17.2732,0.9903
cuda,spnasnet_100,128,1.4006,22.5070,0.9821
cuda,swin_base_patch4_window7_224,64,1.4748,75.3785,0.9257
cuda,swsl_resnext101_32x16d,32,1.0704,32.2967,0.9794
cuda,tf_efficientnet_b0,128,1.3566,24.3008,1.3559
cuda,tf_mixnet_l,128,1.1707,34.1135,1.0873
cuda,tinynet_a,128,1.2399,27.6025,1.5056
cuda,tnt_s_patch16_224,128,2.0910,37.3575,1.1492
cuda,twins_pcpvt_base,64,1.7166,96.5675,1.0803
cuda,visformer_small,128,1.1788,22.5798,1.0514
cuda,vit_base_patch16_224,64,1.1839,22.4128,0.8968
cuda,volo_d1_224,64,1.5641,37.6314,1.1389
cuda,xcit_large_24_p8_224,5,1.7504,75.3646,0.9931
