dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.0002,1.5122,0.9900
cuda,beit_base_patch16_224,64,0.9998,1.1577,0.9966
cuda,botnet26t_256,128,0.9860,1.3378,0.9915
cuda,cait_m36_384,4,1.0000,2.8008,0.9994
cuda,coat_lite_mini,128,1.0001,1.0791,1.0049
cuda,convit_base,64,0.9998,1.0461,0.9977
cuda,convmixer_768_32,32,0.9999,1.1120,0.9986
cuda,convnext_base,64,1.0000,1.2461,0.9975
cuda,crossvit_9_240,128,0.9996,1.3786,0.9884
cuda,cspdarknet53,64,0.9572,2.2072,0.9954
cuda,deit_base_distilled_patch16_224,64,1.0001,0.8498,0.9964
cuda,dla102,128,1.0000,1.6913,0.9828
cuda,dm_nfnet_f0,128,0.9997,2.0773,0.9357
cuda,dpn107,32,0.9570,3.8383,0.9986
cuda,eca_botnext26ts_256,128,0.9873,1.3717,0.9938
cuda,eca_halonext26ts,128,0.9876,1.4390,0.9937
cuda,ese_vovnet19b_dw,128,0.9796,0.9850,0.9923
cuda,fbnetc_100,128,0.9665,1.9584,0.9890
cuda,fbnetv3_b,128,0.9648,3.0262,0.9930
cuda,gernet_l,128,0.9747,1.9039,0.9884
cuda,ghostnet_100,128,0.9994,2.7960,0.9866
cuda,gluon_inception_v3,128,1.0000,1.4979,0.9900
cuda,gluon_xception65,32,1.0000,1.7744,0.9975
cuda,gmixer_24_224,128,0.9999,1.0388,0.9951
cuda,gmlp_s16_224,128,0.9999,0.9565,0.9959
cuda,hrnet_w18,128,1.0000,5.5888,0.9955
cuda,inception_v3,128,0.9999,1.4834,0.9900
cuda,jx_nest_base,32,0.9994,1.6276,1.0002
cuda,lcnet_050,128,0.9563,0.9941,0.9672
cuda,mixer_b16_224,128,1.0004,0.6622,0.9952
cuda,mixnet_l,128,0.9849,5.3248,0.9950
cuda,mnasnet_100,128,0.9651,1.5617,0.9877
cuda,mobilenetv2_100,128,0.9663,1.5693,0.9923
cuda,mobilenetv3_large_100,128,0.9661,1.5272,0.9874
cuda,mobilevit_s,64,0.9789,1.6383,0.9964
cuda,nfnet_l0,128,0.9997,1.7752,0.9930
cuda,pit_b_224,64,0.9998,0.9866,0.9968
cuda,pnasnet5large,16,0.9997,4.3753,1.0657
cuda,poolformer_m36,64,1.0000,1.8069,0.9983
cuda,regnety_002,128,0.9534,1.5674,0.9718
cuda,repvgg_a2,128,0.9656,1.9200,0.9867
cuda,res2net101_26w_4s,64,0.9999,2.8810,0.9967
cuda,res2net50_14w_8s,128,0.9998,2.6048,0.9950
cuda,res2next50,128,1.0000,1.5884,0.9955
cuda,resmlp_12_224,128,0.9998,0.6210,0.9893
cuda,resnest101e,64,0.9998,2.9184,0.9971
cuda,rexnet_100,128,0.9730,1.8070,0.9938
cuda,sebotnet33ts_256,64,0.9755,1.5807,0.9952
cuda,selecsls42b,128,0.9999,0.8021,0.9885
cuda,spnasnet_100,128,0.9622,1.9007,0.9885
cuda,swin_base_patch4_window7_224,64,0.9999,2.5169,0.9976
cuda,swsl_resnext101_32x16d,32,0.9999,1.7439,0.9992
cuda,tf_efficientnet_b0,128,0.9758,1.7664,0.9936
cuda,tf_mixnet_l,128,0.9855,5.6246,0.9955
cuda,tinynet_a,128,0.9662,1.9749,0.9943
cuda,tnt_s_patch16_224,128,0.9999,1.5405,0.9960
cuda,twins_pcpvt_base,64,0.9999,2.1192,0.9976
cuda,visformer_small,128,0.9996,0.9209,0.9944
cuda,vit_base_patch16_224,64,0.9999,0.8149,0.9963
cuda,volo_d1_224,64,1.0000,1.2919,0.9960
cuda,xcit_large_24_p8_224,5,1.0002,2.6873,0.9981
