dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.110648,6.347177,2.072718,8.188881,3.429828,1.233835,0.250222,8.248560,4.014746
cuda,Background_Matting,4,1.461983,4.895988,1.746453,7.839437,4.016134,1.751777,0.175754,4.755881
cuda,LearningToPaint,96,0.585535,2.437408,0.757610,3.199866,0.929369,0.443813,0.065159,1.550391
cuda,Super_SloMo,6,1.658429,7.326930,2.161103,8.044039,3.894734,1.693914,0.088421,2.937181
cuda,alexnet,128,0.097572,1.408130,0.167224,2.082725,0.357717,0.159122,0.010783,0.846595
cuda,attention_is_all_you_need_pytorch,256,1.727434,20.809382,1.949684,22.962589,3.339837,1.620553,0.284989,12.367617,4.416097
cuda,dcgan,32,0.118289,1.165430,0.150961,1.755212,0.136593,0.063155,0.010321,0.746889
cuda,demucs,4,0.217386
cuda,densenet121,4,3.521363,13.577189,5.339435,19.755916,11.659426,3.610636,0.567725,11.722843
cuda,dlrm,2048,0.366055,0.978811,0.147820,1.932854,0.337306,0.105031,0.013629,1.109102
cuda,drq,1,0.183624,1.565500,0.107969,2.467823,0.094631,0.048411,0.011347,1.016706
cuda,fastNLP_Bert,6,2.081643,8.030967,1.780818,11.285936,2.703428,1.574802,0.237758,4.251597,5.136679
cuda,functorch_dp_cifar10,64,0.440962,2.758287,1.378551,5.173969,1.771294,0.558006,0.057889,3.832349,3.209582
cuda,hf_Albert,8,1.595979,2.857097,1.845428,5.841687,2.371606,0.958201,0.133770,4.906648,2.844318
cuda,hf_Bart,4,2.297460,8.849727,2.696343,12.383069,4.056184,1.586798,0.333406,2.831973,6.342721
cuda,hf_Bert,4,2.023483,6.081594,1.834753,8.437125,2.815918,1.169072,0.231731,4.278386,0.380346
cuda,hf_BigBird,2,10.176168,5.114697,1.425035,9.161915,2.160495,1.066601,0.180912,5.562471,0.334701
cuda,hf_DistilBert,8,0.835468,2.987762,1.349557,4.597471,1.389003,0.645929,0.108514,3.007017,1.841210
cuda,hf_GPT2,4,1.993069,4.059735,1.550183,6.373753,2.550894,1.109556,0.204432,3.940435,1.951878
cuda,hf_GPT2_large,4,7.110863,9.912638,4.733726,15.681370,8.442322,3.169946,0.977894,10.729760,1.259852
cuda,hf_Reformer,4,2.262088,7.454240,0.641201,8.217324,1.037438,0.507087,0.047815,3.533497,1.446745
cuda,hf_T5,8,3.060789,6.330400,1.790447,10.848742,3.559962,1.193182,0.269639,5.115640,6.414091
cuda,hf_T5_large,2,16.448385,20.039574,7.893345,30.315583,15.876727,4.583744,2.137255,22.548645,18.596650
cuda,lennard_jones,1000,0.066716,0.856605,0.054790,1.377605,0.042300,0.028010,0.005532,0.579329
cuda,mnasnet1_0,32,1.335467,5.118047,2.260055,6.738128,2.639113,1.251935,0.185284,3.953584,2.857683
cuda,mobilenet_v2,96,1.379665,5.949866,1.972833,7.364860,3.477063,1.349666,0.209237,3.634777
cuda,mobilenet_v2_quantized_qat,96,2.312348,8.255537,3.705676,11.688318,5.875746,2.282949,0.489409,7.658316
cuda,mobilenet_v3_large,32,1.419970,5.720449,2.242715,7.924415,3.485113,1.339369,0.213507,4.524376,5.852697
cuda,nvidia_deeprecommender,256,0.160989,0.985669,0.100126,2.005303,0.086057,0.044287,0.008082,1.125077,0.382525
