dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.3243,32.6247,0.9138
cuda,beit_base_patch16_224,64,1.1131,19.3673,1.0038
cuda,botnet26t_256,128,1.2534,35.3580,0.8605
cuda,cait_m36_384,4,1.1805,59.3990,1.1185
cuda,coat_lite_mini,128,1.2773,47.7771,0.8210
cuda,convit_base,64,1.2047,26.8184,0.7463
cuda,convmixer_768_32,32,1.0777,20.8864,0.9847
cuda,convnext_base,64,1.4689,59.2713,0.9126
cuda,crossvit_9_240,128,1.3263,35.7154,0.6584
cuda,cspdarknet53,64,1.2268,21.7161,0.9148
cuda,deit_base_distilled_patch16_224,64,1.0966,18.5081,0.9925
cuda,dla102,128,1.3825,29.4475,0.9625
cuda,dm_nfnet_f0,128,1.4717,28.4559,1.0221
cuda,dpn107,32,1.1889,36.5966,0.9047
cuda,eca_botnext26ts_256,128,1.2681,38.4344,1.1377
cuda,eca_halonext26ts,128,1.2593,46.6293,1.1375
cuda,ese_vovnet19b_dw,128,1.2428,12.1823,0.9510
cuda,fbnetc_100,128,1.2484,21.1351,0.9049
cuda,fbnetv3_b,128,1.2845,34.4180,0.9932
cuda,gernet_l,128,1.0768,16.9565,0.7928
cuda,ghostnet_100,128,1.8674,31.1622,0.9842
cuda,gluon_inception_v3,128,1.3275,31.6030,0.9140
cuda,gluon_xception65,32,1.0867,34.0630,0.9412
cuda,gmixer_24_224,128,1.2577,29.1547,1.5552
cuda,gmlp_s16_224,128,1.2029,38.0285,0.9766
cuda,hrnet_w18,128,1.4171,97.9463,0.9382
cuda,inception_v3,128,1.3277,31.5690,0.9140
cuda,jx_nest_base,32,1.2758,52.6264,0.9348
cuda,lcnet_050,128,1.6653,12.6321,0.9154
cuda,mixer_b16_224,128,1.0671,20.8883,0.9827
cuda,mixnet_l,128,1.1510,29.7912,0.9069
cuda,mnasnet_100,128,1.2655,17.5569,0.9325
cuda,mobilenetv2_100,128,1.3283,18.7423,1.1747
cuda,mobilenetv3_large_100,128,1.3357,19.3870,0.9410
cuda,mobilevit_s,64,1.1707,71.8587,1.1799
cuda,nfnet_l0,128,1.3767,20.4908,1.2906
cuda,pit_b_224,64,1.1864,17.5858,0.8563
cuda,pnasnet5large,16,1.2108,70.5716,1.1724
cuda,poolformer_m36,64,1.1668,43.8297,1.0522
cuda,regnety_002,128,1.3034,17.4950,0.8619
cuda,repvgg_a2,128,1.1697,17.6888,0.7684
cuda,res2net101_26w_4s,64,1.2292,51.1051,0.9301
cuda,res2net50_14w_8s,128,1.3566,46.7425,0.8821
cuda,res2next50,128,1.3111,27.1242,0.9075
cuda,resmlp_12_224,128,0.8129,21.2473,0.7899
cuda,resnest101e,64,1.3176,55.3440,1.0033
cuda,rexnet_100,128,1.2133,25.3587,1.2631
cuda,sebotnet33ts_256,64,1.2653,46.6735,0.8410
cuda,selecsls42b,128,1.2653,15.7906,0.8987
cuda,spnasnet_100,128,1.2169,20.7479,0.9379
cuda,swin_base_patch4_window7_224,64,1.1460,74.6863,0.9068
cuda,swsl_resnext101_32x16d,32,1.1098,28.9308,0.8912
cuda,tf_efficientnet_b0,128,1.2622,21.5803,1.2060
cuda,tf_mixnet_l,128,1.1699,30.7412,0.9767
cuda,tinynet_a,128,1.1903,24.7680,1.3515
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,64,1.2030,61.8783,0.9923
cuda,visformer_small,128,1.0477,20.8505,0.9029
cuda,vit_base_patch16_224,64,1.0888,18.1878,0.9970
cuda,volo_d1_224,64,1.3861,34.0205,0.9837
cuda,xcit_large_24_p8_224,5,1.3518,70.9424,0.9633
