dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.687811
cuda,Background_Matting,4,1.779004
cuda,LearningToPaint,96,0.773909
cuda,Super_SloMo,6,1.933825
cuda,alexnet,128,0.232024
cuda,attention_is_all_you_need_pytorch,256,2.225599
cuda,dcgan,32,0.230776
cuda,demucs,4,0.362187
cuda,densenet121,4,4.029974
cuda,dlrm,2048,0.522000
cuda,drq,1,0.371994
cuda,fastNLP_Bert,6,2.671155
cuda,functorch_dp_cifar10,64,0.608989
cuda,hf_Albert,8,2.238952
cuda,hf_Bart,4,3.272154
cuda,hf_Bert,4,2.682705
cuda,hf_BigBird,2,11.247357
cuda,hf_DistilBert,8,1.267461
cuda,hf_GPT2,4,2.668150
cuda,hf_GPT2_large,4,8.683478
cuda,hf_Longformer,2,8.421289
cuda,hf_Reformer,4,2.375465
cuda,hf_T5,8,3.494385
cuda,hf_T5_large,2,17.415808
cuda,lennard_jones,1000,0.194607
cuda,mnasnet1_0,32,1.613065
cuda,mobilenet_v2,96,1.688859
cuda,mobilenet_v3_large,32,1.761933
cuda,nvidia_deeprecommender,256,0.297478
cuda,pytorch_CycleGAN_and_pix2pix,1,0.710715
cuda,pytorch_stargan,16,0.712222
cuda,pytorch_struct,200,0.382428
cuda,pytorch_unet,1,0.848658
cuda,resnet18,16,0.730135
cuda,resnet50,32,1.716477
cuda,resnext50_32x4d,8,1.704023
cuda,shufflenet_v2_x1_0,128,1.865944
cuda,soft_actor_critic,256,0.241775
cuda,speech_transformer,32,3.274159
cuda,squeezenet1_1,32,0.394703
cuda,tacotron2,64,20.502851
cuda,timm_efficientdet,1,22.855086
cuda,timm_efficientnet,32,2.776748
cuda,timm_nfnet,128,2.975658
cuda,timm_regnet,32,3.617815
cuda,timm_resnest,32,1.029046
cuda,timm_vision_transformer,8,1.572884
cuda,timm_vision_transformer_large,8,5.138473
cuda,timm_vovnet,32,2.118376
cuda,tts_angular,64,0.237880
cuda,vgg16,64,0.304612
cuda,yolov3,16,4.066303
