dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.124748,3.401364,1.880556,8.254852,2.851035,1.066191,0.145206,1.298316,8.121947,0.804106
cuda,AlbertForQuestionAnswering,4,2.144224,3.452498,1.814391,8.204038,2.804714,1.051651,0.140126,0.927454,7.581651,0.414541
cuda,BartForCausalLM,4,2.178364,6.163780,2.218610,9.213513,3.393961,1.288877,0.253940,1.577581,1.713561,6.951865
cuda,BartForConditionalGeneration,2,6.022617,13.114816,5.174310,19.511992,8.780624,3.371579,1.055721,0.962280,1.208143,12.809499
cuda,BertForMaskedLM,64,2.743149,5.218446,2.616100,7.800960,3.416269,1.432853,0.291879,1.788204,7.099228,1.478460
cuda,BertForQuestionAnswering,128,2.794572,5.085865,2.610061,7.722209,3.043755,1.760883,0.288335,1.088166,6.445829,0.780518
cuda,BigBird,1,10.891883,6.729648,1.545076,9.806723,2.484178,1.249681,0.214892,8.516346,13.262440,0.437796
cuda,BlenderbotSmallForCausalLM,64,1.493411,3.709677,1.555472,6.263571,2.272258,0.956532,0.159575,2.915325,7.095512,2.599925
cuda,BlenderbotSmallForConditionalGeneration,64,3.987455,8.374511,3.452999,12.972753,5.856830,2.366611,0.578410,1.988854,1.962037,10.218725
cuda,CamemBert,1,2.750750,4.881440,2.274660,7.274257,2.788581,1.643476,0.277242,0.974428,5.752577,0.653491
cuda,DebertaForMaskedLM,4,6.951648,14.300219,3.622933,17.660577,4.575435,2.180439,0.337461,21.098623,0.946068,28.337365
cuda,DebertaForQuestionAnswering,8,7.352367,14.528691,3.573814,17.760545,4.548841,2.165635,0.337268,21.774379,1.815840,28.836650
cuda,DistilBertForMaskedLM,64,1.211730,3.169081,1.328532,4.887719,1.652800,0.759457,0.121769,1.726717,4.832370,1.451034
cuda,DistilBertForQuestionAnswering,64,1.165782,3.298268,1.260815,4.747813,1.609170,0.748485,0.116807,1.317717,4.265945,1.057492
cuda,DistillGPT2,1,1.214285,3.078162,0.890009,5.027038,1.502240,0.660307,0.109456,3.816316,6.703710,3.575230
cuda,ElectraForCausalLM,32,3.039489,6.988587,2.631509,10.152841,3.209295,1.494986,0.290143,3.606530,2.904312,9.520530
cuda,ElectraForQuestionAnswering,64,2.832437,5.147719,2.532434,7.634296,3.374230,1.432368,0.287610,1.658708,6.789531,1.337612
cuda,GPT2ForSequenceClassification,4,2.423691,4.818928,2.064462,7.586293,3.040448,1.331433,0.239362,1.735196,6.663602,1.408717
cuda,LayoutLMForMaskedLM,16,3.450549,5.278507,2.392720,8.146747,3.812156,1.452386,0.292639,1.694815,7.071149,1.335320
cuda,LayoutLMForSequenceClassification,16,3.133303,5.178837,2.592834,9.125380,4.170447,1.676813,0.290898,6.507094,13.164378,6.032000
cuda,M2M100ForConditionalGeneration,8,5.707769,12.192426,4.121421,20.192096,6.901249,4.185227,0.744170,4.505604,15.542511,16.874424
cuda,MBartForCausalLM,32,2.222575,6.579078,2.377168,10.208863,3.684994,1.446690,0.285824,1.555872,1.663194,7.670008
cuda,MBartForConditionalGeneration,16,6.010437,12.066346,5.461803,19.813519,9.410318,3.647989,1.186761,0.961362,0.580730,14.448417
cuda,MT5ForConditionalGeneration,8,5.066329,7.688695,3.845479,13.510054,5.611826,2.391350,0.462090,4.587488,14.437562,3.907389
cuda,MegatronBertForCausalLM,16,5.542228,9.508125,4.755547,14.859237,7.053091,2.879477,0.844611,1.966905,12.312018,1.227208
