dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9989,6.8370,0.8617
cuda,beit_base_patch16_224,64,0.9823,4.2197,0.9545
cuda,botnet26t_256,128,0.9814,3.6816,0.8434
cuda,cait_m36_384,4,1.0266,14.2511,0.9340
cuda,coat_lite_mini,128,0.9834,4.1486,0.8526
cuda,convit_base,64,0.9981,4.7688,0.8838
cuda,convmixer_768_32,32,0.9998,4.9011,0.9854
cuda,convnext_base,64,0.9984,5.1544,0.9169
cuda,crossvit_9_240,128,0.9982,6.3515,0.8656
cuda,cspdarknet53,64,0.9523,6.3219,0.8528
cuda,deit_base_distilled_patch16_224,64,0.9984,3.4963,0.9441
cuda,dla102,128,1.0006,7.6465,0.9169
cuda,dm_nfnet_f0,128,0.9997,6.6058,0.8935
cuda,dpn107,32,0.9506,11.4990,0.9272
cuda,eca_botnext26ts_256,128,0.7712,4.4601,0.7674
cuda,eca_halonext26ts,128,0.7786,4.5311,0.7687
cuda,ese_vovnet19b_dw,128,0.9776,2.5260,0.8877
cuda,fbnetc_100,128,0.9628,5.5139,0.8518
cuda,fbnetv3_b,128,0.9607,9.2712,0.7828
cuda,gernet_l,128,0.9725,5.0447,0.7892
cuda,ghostnet_100,128,0.9731,7.9379,0.8768
cuda,gluon_inception_v3,128,0.9984,6.8730,0.8617
cuda,gluon_xception65,32,0.9970,8.7117,0.9365
cuda,gmixer_24_224,128,0.8097,5.7894,0.9185
cuda,gmlp_s16_224,128,0.9493,5.1687,0.9487
cuda,hrnet_w18,128,0.9983,24.2259,0.9252
cuda,inception_v3,128,0.9960,7.0072,0.8617
cuda,jx_nest_base,32,0.9955,7.4274,0.8968
cuda,lcnet_050,128,0.9489,2.8222,0.7521
cuda,mixer_b16_224,128,0.9778,2.6879,0.9400
cuda,mixnet_l,128,0.8855,10.8869,0.8450
cuda,mnasnet_100,128,0.9637,4.4024,0.9019
cuda,mobilenetv2_100,128,0.9637,4.5132,0.7621
cuda,mobilenetv3_large_100,128,0.9618,4.5798,0.8589
cuda,mobilevit_s,64,0.7621,5.9554,0.7668
cuda,nfnet_l0,128,0.7890,6.1974,0.8274
cuda,pit_b_224,64,0.9992,3.9159,0.7947
cuda,pnasnet5large,16,0.9982,18.1950,1.0110
cuda,poolformer_m36,64,0.9983,7.0827,0.9511
cuda,regnety_002,128,1.0017,4.5384,0.8104
cuda,repvgg_a2,128,0.9623,5.2869,0.8054
cuda,res2net101_26w_4s,64,0.9971,13.2332,0.9277
cuda,res2net50_14w_8s,128,0.9992,12.0241,0.9049
cuda,res2next50,128,1.0007,6.7033,0.9153
cuda,resmlp_12_224,128,0.8547,2.4407,0.6396
cuda,resnest101e,64,1.0030,12.8703,0.9519
cuda,rexnet_100,128,0.8157,6.1602,0.7843
cuda,sebotnet33ts_256,64,0.8030,5.4185,0.7085
cuda,selecsls42b,128,0.9988,2.9711,0.8896
cuda,spnasnet_100,128,0.9576,5.3530,0.9109
cuda,swin_base_patch4_window7_224,64,0.9779,11.1487,0.9288
cuda,swsl_resnext101_32x16d,32,0.9995,7.4820,0.8973
cuda,tf_efficientnet_b0,128,0.7831,5.6416,0.7688
cuda,tf_mixnet_l,128,0.8896,11.2945,0.8572
cuda,tinynet_a,128,0.7753,6.5318,0.7796
cuda,tnt_s_patch16_224,128,0.9993,8.1097,0.9769
cuda,twins_pcpvt_base,64,0.9981,10.3305,0.9195
cuda,visformer_small,128,1.0017,3.4075,0.9381
cuda,vit_base_patch16_224,64,0.9981,3.4866,0.9435
cuda,volo_d1_224,64,0.9945,6.0708,0.9213
cuda,xcit_large_24_p8_224,5,0.9839,13.7943,0.8982
