dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.3076,30.2135,1.0635
cuda,beit_base_patch16_224,64,1.1025,18.6469,1.0607
cuda,botnet26t_256,128,1.2606,35.0131,0.9622
cuda,cait_m36_384,4,1.1570,58.4439,1.1751
cuda,coat_lite_mini,128,1.3212,47.0832,1.0246
cuda,convit_base,64,1.2094,26.5050,0.9008
cuda,convmixer_768_32,32,1.0742,19.7444,0.9970
cuda,convnext_base,64,1.0694,58.0018,0.9981
cuda,crossvit_9_240,128,1.3008,34.4028,0.8853
cuda,cspdarknet53,64,1.2375,21.0157,1.0666
cuda,deit_base_distilled_patch16_224,64,1.0821,18.1886,1.0799
cuda,dla102,128,1.3692,28.6222,1.0419
cuda,dm_nfnet_f0,128,1.4239,27.7133,1.0961
cuda,dpn107,32,1.1992,35.6378,0.9905
cuda,eca_botnext26ts_256,128,1.2526,37.7321,1.3608
cuda,eca_halonext26ts,128,1.2440,45.7912,1.3403
cuda,ese_vovnet19b_dw,128,1.2475,11.6486,1.0925
cuda,fbnetc_100,128,1.2646,19.8788,0.9968
cuda,fbnetv3_b,128,1.2981,32.9729,1.0510
cuda,gernet_l,128,1.0708,16.3314,0.9926
cuda,ghostnet_100,128,1.8284,30.1409,1.1265
cuda,gluon_inception_v3,128,1.3084,30.9949,1.0634
cuda,gluon_xception65,32,1.0755,32.1738,0.9938
cuda,gmixer_24_224,128,1.2341,28.4857,1.6267
cuda,gmlp_s16_224,128,1.1894,37.3765,0.9827
cuda,hrnet_w18,128,1.3777,94.4011,1.0122
cuda,inception_v3,128,1.3084,30.8443,1.0634
cuda,jx_nest_base,32,1.2486,50.6647,1.0604
cuda,lcnet_050,128,1.6228,12.0854,0.9655
cuda,mixer_b16_224,128,1.0611,20.1957,1.0538
cuda,mixnet_l,128,1.1485,28.9401,1.0618
cuda,mnasnet_100,128,1.2822,16.7912,0.9919
cuda,mobilenetv2_100,128,1.3540,17.3047,1.2828
cuda,mobilenetv3_large_100,128,1.3431,18.9950,1.0412
cuda,mobilevit_s,64,1.1689,70.5904,1.3591
cuda,nfnet_l0,128,1.3282,19.9757,1.4945
cuda,pit_b_224,64,1.1775,16.6796,1.0752
cuda,pnasnet5large,16,1.1942,66.2853,1.3424
cuda,poolformer_m36,64,1.1468,43.9633,1.0689
cuda,regnety_002,128,1.3259,16.4111,1.0396
cuda,repvgg_a2,128,1.1687,16.9046,0.9902
cuda,res2net101_26w_4s,64,1.1884,48.8257,1.0150
cuda,res2net50_14w_8s,128,1.3244,44.5669,1.0206
cuda,res2next50,128,1.2736,25.8268,1.0156
cuda,resmlp_12_224,128,0.8299,20.9371,0.7979
cuda,resnest101e,64,1.2707,53.9350,1.1036
cuda,rexnet_100,128,1.2191,24.8808,1.4738
cuda,sebotnet33ts_256,64,1.2692,45.5205,0.9709
cuda,selecsls42b,128,1.2531,14.5701,1.0046
cuda,spnasnet_100,128,1.2530,19.5156,0.9930
cuda,swin_base_patch4_window7_224,64,1.1333,73.0858,1.0515
cuda,swsl_resnext101_32x16d,32,1.0713,27.2489,0.9946
cuda,tf_efficientnet_b0,128,1.2683,21.0662,1.3819
cuda,tf_mixnet_l,128,1.1670,29.4208,1.1451
cuda,tinynet_a,128,1.1940,24.1305,1.5843
cuda,tnt_s_patch16_224,128,1.5428,31.7087,0.8622
cuda,twins_pcpvt_base,64,1.1684,61.8269,1.0856
cuda,visformer_small,128,1.0124,20.4765,0.9940
cuda,vit_base_patch16_224,64,1.0709,17.9197,1.0835
cuda,volo_d1_224,64,1.3600,32.6580,1.0658
cuda,xcit_large_24_p8_224,5,1.3257,68.2345,1.0572
