dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9996,4.7109,0.9255
cuda,AlbertForQuestionAnswering,4,1.0014,4.7001,0.9425
cuda,AllenaiLongformerBase,1,0.8500,13.1220,0.9521
cuda,BartForCausalLM,4,0.9664,4.6797,0.9121
cuda,BartForConditionalGeneration,2,0.9876,12.3393,0.8935
cuda,BertForMaskedLM,64,0.9614,5.2977,0.9219
cuda,BertForQuestionAnswering,128,0.9931,5.2476,0.9680
cuda,BigBird,1,0.9281,12.6636,0.9534
cuda,BlenderbotSmallForCausalLM,64,0.9109,3.2726,0.8401
cuda,BlenderbotSmallForConditionalGeneration,64,0.9392,8.3771,0.8975
cuda,CamemBert,1,0.9235,5.4371,0.8252
cuda,DebertaForMaskedLM,4,0.8018,10.2157,0.9851
cuda,DebertaForQuestionAnswering,8,0.9898,10.3188,1.0630
cuda,DistilBertForMaskedLM,64,0.9516,2.5731,0.8899
cuda,DistilBertForQuestionAnswering,64,0.9859,2.5936,0.9373
cuda,DistillGPT2,1,0.9200,2.6323,0.8113
cuda,ElectraForCausalLM,32,0.9324,5.3342,0.8817
cuda,ElectraForQuestionAnswering,64,0.9745,5.4545,0.9524
cuda,GPT2ForSequenceClassification,4,0.9747,5.1097,0.9093
cuda,GoogleFnet,1,0.8082,2.8484,0.9451
cuda,LayoutLMForMaskedLM,16,0.9709,5.7920,0.9409
cuda,LayoutLMForSequenceClassification,16,0.9893,5.7289,0.9348
cuda,M2M100ForConditionalGeneration,8,0.9399,12.0702,0.9611
cuda,MBartForCausalLM,32,0.9526,4.6156,0.8900
cuda,MBartForConditionalGeneration,16,0.9863,12.4530,0.8583
cuda,MT5ForConditionalGeneration,8,0.9225,11.0703,0.8873
cuda,MegatronBertForCausalLM,16,1.0045,10.5543,0.8826
cuda,MegatronBertForQuestionAnswering,16,1.0111,10.5425,0.8671
cuda,MobileBertForMaskedLM,32,0.9279,23.9050,0.9103
cuda,MobileBertForQuestionAnswering,64,0.9384,23.6359,0.9840
cuda,OPTForCausalLM,32,0.9175,4.9045,0.8656
cuda,PLBartForCausalLM,32,0.9353,2.5492,0.8610
cuda,PLBartForConditionalGeneration,16,0.9636,6.6283,0.8959
cuda,PegasusForCausalLM,32,0.9521,4.8397,0.8885
cuda,PegasusForConditionalGeneration,16,0.9818,12.1133,0.9629
cuda,RobertaForCausalLM,64,0.9631,5.4860,0.9206
cuda,RobertaForQuestionAnswering,128,0.9860,5.6677,0.9680
cuda,Speech2Text2ForCausalLM,128,0.9260,2.6487,0.8765
cuda,T5ForConditionalGeneration,4,0.9333,7.8539,0.9597
cuda,T5Small,1,0.9303,7.8398,0.9029
cuda,TrOCRForCausalLM,32,0.9533,4.7812,0.8898
cuda,XGLMForCausalLM,8,0.9459,10.1556,0.9267
cuda,YituTechConvBert,1,0.9001,8.2934,0.8581
