dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,2.3109,31.3874,1.1219
cuda,Background_Matting,4,1.2257,16.8696,1.0432
cuda,LearningToPaint,96,1.3020,7.5586,0.9035
cuda,Super_SloMo,6,1.1967,16.1601,1.3033
cuda,alexnet,128,1.2083,3.0862,1.0079
cuda,attention_is_all_you_need_pytorch,256,1.4678,33.6024,1.1759
cuda,dcgan,32,1.0696,2.6328,0.9695
cuda,demucs,4,0.9988,0.2590,0.9869
cuda,densenet121,4,1.3193,46.6786,1.0051
cuda,dlrm,2048,1.1582,3.2999,0.7306
cuda,drq,1,1.1479,3.7230,0.9256
cuda,fastNLP_Bert,6,1.4692,26.3085,1.0682
cuda,functorch_dp_cifar10,64,1.3847,13.0904,0.4806
cuda,hf_Albert,8,2.3184,18.7336,1.4691
cuda,hf_Bart,4,1.7100,30.5643,0.9873
cuda,hf_Bert,4,1.7975,19.9215,0.9419
cuda,hf_BigBird,2,1.0278,29.4048,1.0963
cuda,hf_DistilBert,8,1.4884,12.8186,0.9051
cuda,hf_GPT2,4,1.9815,19.6399,1.1245
cuda,hf_GPT2_large,4,1.8635,51.6864,1.1354
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1762,16.0934,0.9885
cuda,hf_T5,8,1.8759,28.0584,1.2521
cuda,hf_T5_large,2,2.1233,112.1593,0.8541
cuda,lennard_jones,1000,1.0503,1.9813,0.9991
cuda,mnasnet1_0,32,1.3447,19.8927,0.7741
cuda,mobilenet_v2,96,1.5157,18.1582,1.1512
cuda,mobilenet_v3_large,32,1.4007,25.0993,0.8143
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,1.0307,3.3841,0.5596
cuda,pytorch_CycleGAN_and_pix2pix,1,1.5823,8.6536,1.0517
cuda,pytorch_stargan,16,1.3969,26.7215,0.8859
cuda,pytorch_struct,200,1.2724,23.4428,0.4353
cuda,pytorch_unet,1,1.3296,7.8657,1.0853
cuda,resnet152,32,1.2914,45.4634,0.9392
cuda,resnet18,16,1.2500,11.2029,0.6257
cuda,resnet50,32,1.3578,19.1127,0.8850
cuda,resnext50_32x4d,8,1.2729,18.4830,0.7750
cuda,shufflenet_v2_x1_0,128,1.4109,19.2699,0.9930
cuda,soft_actor_critic,256,1.0293,2.8948,1.0367
cuda,speech_transformer,32,1.6715,25.6195,1.1160
cuda,squeezenet1_1,32,1.3017,4.4427,1.0608
cuda,tacotron2,64,0.8663,64.8910,0.4113
cuda,timm_efficientdet,1,1.5308,133.8119,1.0135
cuda,timm_efficientnet,32,1.2684,25.6423,1.2318
cuda,timm_nfnet,128,1.4320,29.2635,1.1302
cuda,timm_regnet,32,1.2247,25.7560,1.0309
cuda,timm_resnest,32,1.6891,37.9416,0.9953
cuda,timm_vision_transformer,8,1.5294,33.5447,0.7240
cuda,timm_vision_transformer_large,8,1.1371,66.9360,0.9542
cuda,timm_vovnet,32,1.1528,18.7436,0.8875
cuda,tts_angular,64,1.0249,1.7390,1.0002
cuda,vgg16,64,1.2643,3.8305,1.0588
cuda,yolov3,16,1.0652,403.3238,1.0455
