dev,name,batch_size,speedup,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8300,140.1572,1.1037
cuda,Background_Matting,4,1.0573,91.2248,0.9773
cuda,LearningToPaint,96,0.8345,46.4804,0.6701
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.9314,5.0283,0.7750
cuda,attention_is_all_you_need_pytorch,0,0.0000
cuda,dcgan,32,0.7173,5.0272,0.7838
cuda,demucs,4,1.0017,0.3471,0.9869
cuda,densenet121,4,0.7234,232.8928,0.8452
cuda,dlrm,0,0.0000
cuda,drq,1,0.6096,6.0259,0.8309
cuda,fastNLP_Bert,0,0.0000
cuda,functorch_dp_cifar10,0,0.0000
cuda,hf_Albert,0,0.0000
cuda,hf_Bart,0,0.0000
cuda,hf_Bert,0,0.0000
cuda,hf_BigBird,2,0.8289,120.3086,1.2209
cuda,hf_DistilBert,8,0.3680,64.1914,1.0621
cuda,hf_GPT2,4,0.2913,112.1649,1.1180
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.6498,17.7111,0.9861
cuda,hf_T5,8,1.3518,108.5780,1.0140
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,1000,0.4915,3.0588,0.9996
cuda,mnasnet1_0,32,0.7681,89.7441,0.8226
cuda,mobilenet_v2,96,1.0351,114.5950,0.9124
cuda,mobilenet_v3_large,32,0.7691,118.8263,0.7921
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,1.0078,5.8378,0.5596
cuda,pytorch_CycleGAN_and_pix2pix,0,0.0000
cuda,pytorch_stargan,0,0.0000
cuda,pytorch_struct,200,0.6075,7.9045,0.5099
cuda,pytorch_unet,1,1.0848,38.6667,0.8496
cuda,resnet152,0,0.0000
cuda,resnet18,16,0.8022,40.7007,0.7314
cuda,resnet50,32,0.8074,100.0485,0.7814
cuda,resnext50_32x4d,8,0.7400,82.0702,0.8100
cuda,shufflenet_v2_x1_0,128,0.8598,106.8545,0.8489
cuda,soft_actor_critic,256,0.5280,2.7862,0.9302
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.7396,7.1057,0.8714
cuda,tacotron2,64,0.5893,107.9253,0.3829
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,0.6895,152.3246,0.4638
cuda,timm_nfnet,128,0.9195,160.6484,0.4818
cuda,timm_regnet,32,0.7883,142.9489,0.8032
cuda,timm_resnest,32,0.9613,66.7551,0.8451
cuda,timm_vision_transformer,8,0.6200,91.8614,1.0823
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.8047,70.5539,0.7755
cuda,tts_angular,64,0.9580,1.5121,1.0003
cuda,vgg16,64,0.9709,5.7302,0.7341
cuda,yolov3,0,0.0000
