dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.2316,311.0094,116.7989,0.7324
cuda,AlbertForQuestionAnswering,4,1.2337,307.8308,108.5022,0.7394
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,0.9968,123.7473,101.1833,0.9998
cuda,BartForConditionalGeneration,2,0.4452,336.8779,340.5584,0.9759
cuda,BertForMaskedLM,64,0.9724,103.5624,102.5123,0.9904
cuda,BertForQuestionAnswering,128,1.0256,143.6026,101.2261,1.2359
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.9134,70.8245,63.3528,0.9020
cuda,BlenderbotSmallForConditionalGeneration,64,0.9264,128.4823,198.2294,1.0067
cuda,CamemBert,1,0.7410,41.7762,111.1283,0.8613
cuda,DebertaForMaskedLM,4,0.6373,92.8118,81.3628,0.9719
cuda,DebertaForQuestionAnswering,8,0.8671,94.1560,79.4779,1.1591
cuda,DistilBertForMaskedLM,64,0.6347,99.7533,48.8768,0.8880
cuda,DistilBertForQuestionAnswering,64,0.5226,75.9978,47.1429,1.1317
cuda,DistillGPT2,0,0.0000
cuda,ElectraForCausalLM,32,1.0343,102.1777,96.4277,0.8440
cuda,ElectraForQuestionAnswering,64,1.2388,100.7492,101.9133,1.1607
cuda,GPT2ForSequenceClassification,4,0.7088,145.3568,84.3806,1.1727
cuda,GoogleFnet,0,0.0000
cuda,LayoutLMForMaskedLM,16,1.0841,126.0272,101.7411,0.9929
cuda,LayoutLMForSequenceClassification,16,1.1463,98.6608,93.3368,1.1087
cuda,M2M100ForConditionalGeneration,8,0.8155,104.7103,315.1565,0.9852
cuda,MBartForCausalLM,0,0.0000
cuda,MBartForConditionalGeneration,0,0.0000
cuda,MT5ForConditionalGeneration,8,1.0165,74.1723,141.9175,0.9335
cuda,MegatronBertForCausalLM,16,0.9412,84.4840,239.5565,0.9984
cuda,MegatronBertForQuestionAnswering,16,0.8738,84.2401,228.2878,0.9908
cuda,MobileBertForMaskedLM,0,0.0000
cuda,MobileBertForQuestionAnswering,0,0.0000
cuda,OPTForCausalLM,32,0.4574,135.7662,90.8138,0.9159
cuda,PLBartForCausalLM,32,0.9085,45.4471,52.5208,0.9443
cuda,PLBartForConditionalGeneration,16,0.8260,64.0417,139.3419,1.0146
cuda,PegasusForCausalLM,32,0.9400,91.1132,102.3546,0.9963
cuda,PegasusForConditionalGeneration,16,0.8830,116.6300,343.1092,1.0877
cuda,RobertaForCausalLM,64,0.9729,112.0294,108.4405,0.9890
cuda,RobertaForQuestionAnswering,128,1.0284,143.8089,101.1161,1.2359
cuda,Speech2Text2ForCausalLM,128,0.9244,37.9720,43.6320,0.9080
cuda,T5ForConditionalGeneration,4,1.1421,90.9549,93.0038,0.9720
cuda,T5Small,1,0.9883,56.0707,86.4923,0.9118
cuda,TrOCRForCausalLM,32,0.9467,90.6916,99.6040,0.9997
cuda,XGLMForCausalLM,8,0.3212,246.6830,231.0812,0.9742
cuda,YituTechConvBert,1,0.7550,64.8499,129.5594,0.8984
