dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.238304
cuda,Background_Matting,4,1.454525
cuda,LearningToPaint,96,0.703972
cuda,Super_SloMo,6,1.458265
cuda,alexnet,128,0.201509
cuda,attention_is_all_you_need_pytorch,256,1.816649
cuda,dcgan,32,0.213415
cuda,demucs,4,0.313794
cuda,densenet121,4,3.487160
cuda,drq,1,0.344965
cuda,fastNLP_Bert,6,2.155373
cuda,hf_Albert,8,1.772497
cuda,hf_Bart,4,2.418415
cuda,hf_Bert,4,2.213791
cuda,hf_BigBird,2,9.778478
cuda,hf_DistilBert,8,0.992258
cuda,hf_GPT2,4,2.257360
cuda,hf_Reformer,4,2.085439
cuda,hf_T5,8,3.286665
cuda,lennard_jones,1000,0.161534
cuda,mnasnet1_0,32,1.408918
cuda,mobilenet_v2,96,1.492771
cuda,mobilenet_v2_quantized_qat,96,2.410519
cuda,mobilenet_v3_large,32,1.528040
cuda,nvidia_deeprecommender,256,0.248577
cuda,pytorch_CycleGAN_and_pix2pix,1,0.607476
cuda,pytorch_struct,200,0.326916
cuda,pytorch_unet,1,0.638172
cuda,resnet152,32,4.343726
cuda,resnet18,16,0.640220
cuda,resnet50,32,1.482751
cuda,resnet50_quantized_qat,32,2.253624
cuda,resnext50_32x4d,8,1.481268
cuda,shufflenet_v2_x1_0,128,1.770082
cuda,soft_actor_critic,256,0.217710
cuda,speech_transformer,32,2.406007
cuda,squeezenet1_1,32,0.338149
cuda,tacotron2,64,20.268767
cuda,timm_efficientdet,1,22.008480
cuda,timm_efficientnet,32,2.509396
cuda,timm_nfnet,128,2.761585
cuda,timm_regnet,32,3.643760
cuda,timm_resnest,32,0.906164
cuda,timm_vision_transformer,8,1.211337
cuda,timm_vovnet,32,1.993004
cuda,tts_angular,64,0.220118
cuda,vgg16,64,0.250800
cuda,yolov3,16,3.732818
