dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.992905
cuda,beit_base_patch16_224,64,2.163890
cuda,botnet26t_256,128,1.965078
cuda,cait_m36_384,4,6.100316
cuda,coat_lite_mini,128,1.910254
cuda,convit_base,64,2.035648
cuda,convmixer_768_32,32,2.347048
cuda,convnext_base,64,2.416252
cuda,crossvit_9_240,128,2.896878
cuda,cspdarknet53,64,3.461039
cuda,deit_base_distilled_patch16_224,64,1.705357
cuda,dla102,128,3.489577
cuda,dm_nfnet_f0,128,3.056113
cuda,dpn107,32,5.970651
cuda,eca_botnext26ts_256,128,2.089096
cuda,eca_halonext26ts,128,2.002990
cuda,ese_vovnet19b_dw,128,1.499389
cuda,fbnetc_100,128,3.089579
cuda,fbnetv3_b,128,5.056759
cuda,gernet_l,128,2.850022
cuda,ghostnet_100,128,4.210518
cuda,gluon_inception_v3,128,3.015804
cuda,gluon_xception65,32,3.978883
cuda,gmixer_24_224,128,2.715499
cuda,gmlp_s16_224,128,2.460047
cuda,hrnet_w18,128,11.191104
cuda,inception_v3,128,2.990540
cuda,jx_nest_base,32,2.937433
cuda,lcnet_050,128,1.672526
cuda,mixer_b16_224,128,1.408432
cuda,mixnet_l,128,6.729437
cuda,mnasnet_100,128,2.584564
cuda,mobilenetv2_100,128,2.596673
cuda,mobilenetv3_large_100,128,2.480550
cuda,mobilevit_s,64,2.905606
cuda,nfnet_l0,128,2.797006
cuda,pit_b_224,64,1.884609
cuda,pnasnet5large,16,8.466976
cuda,poolformer_m36,64,3.139405
cuda,regnety_002,128,2.514588
cuda,repvgg_a2,128,2.848472
cuda,res2net101_26w_4s,64,5.809562
cuda,res2net50_14w_8s,128,4.988863
cuda,res2next50,128,2.947132
cuda,resmlp_12_224,128,1.226330
cuda,resnest101e,64,5.918036
cuda,rexnet_100,128,3.035838
cuda,sebotnet33ts_256,64,2.501429
cuda,selecsls42b,128,1.472779
cuda,spnasnet_100,128,3.037683
cuda,swin_base_patch4_window7_224,64,4.848127
cuda,swsl_resnext101_32x16d,32,3.333267
cuda,tf_efficientnet_b0,128,2.825532
cuda,tf_mixnet_l,128,7.167833
cuda,tinynet_a,128,3.347162
cuda,tnt_s_patch16_224,128,3.441215
cuda,twins_pcpvt_base,64,4.734382
cuda,visformer_small,128,1.575724
cuda,vit_base_patch16_224,64,1.680333
cuda,volo_d1_224,64,2.508864
