dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BartForCausalLM,4,1.692374,6.246974,2.406530,8.676353,3.192141,1.148255,0.228397,1.321911,1.217710,6.246431
cuda,BartForConditionalGeneration,2,4.571199,16.094658,8.082553,20.700068,9.443154,2.941084,0.880744,2.913120,2.572079,15.839061
cuda,BertForMaskedLM,64,2.230002,6.613535,2.486594,9.067910,3.169675,1.241242,0.251572,2.803350,7.838465,2.091249
cuda,BigBird,1,9.583271,8.975397,1.269651,12.279136,2.068475,0.946069,0.193736,7.877253,12.559141,0.389518
cuda,BlenderbotSmallForCausalLM,64,1.141933,3.391069,1.533246,5.748717,2.022888,0.847641,0.149358,2.477113,6.428288,2.085454
cuda,BlenderbotSmallForConditionalGeneration,64,3.014001,8.959893,4.538556,13.055972,5.599549,2.073471,0.509211,3.243737,2.831613,12.029009
cuda,CamemBert,1,2.186779,6.332464,2.221877,8.127049,2.917611,1.120179,0.248770,1.030468,5.140736,0.579146
cuda,DebertaForMaskedLM,4,6.417614,16.196046,2.968392,19.145991,3.982486,1.856003,0.308197,19.083168,0.854228,25.235348
cuda,DebertaForQuestionAnswering,8,6.434584,16.175372,2.900027,19.151356,3.955565,1.853476,0.304765,20.067759,1.773803,26.176316
cuda,DistilBertForMaskedLM,64,0.859093,3.384007,1.243701,5.434199,1.767865,0.651139,0.114086,2.495030,5.836771,2.105517
cuda,DistilBertForQuestionAnswering,64,0.856317,3.272023,1.176652,5.266526,1.687561,0.633954,0.109924,2.115528,5.333626,1.766570
cuda,DistillGPT2,1,1.049605,2.696978,0.865338,4.402305,1.219142,0.593246,0.095527,3.725626,6.339411,3.488815
cuda,ElectraForQuestionAnswering,64,2.266273,6.555925,2.456065,9.089552,3.148524,1.245286,0.256362,2.725014,7.807931,1.979346
cuda,GPT2ForSequenceClassification,4,1.994565,4.443421,2.229920,6.448529,2.477349,1.167490,0.223107,1.422316,5.740025,1.019371
cuda,GoogleFnet,1,1.206089,8.869682,0.946945,11.459665,1.382820,0.629632,0.106444,4.513492,8.117118,0.616698
cuda,LayoutLMForSequenceClassification,16,2.687308,6.665351,2.514020,10.349479,4.020103,1.500328,0.254234,8.482262,14.774047,7.822093
cuda,M2M100ForConditionalGeneration,8,4.130531,11.293844,4.624625,18.976450,7.242787,2.700829,0.620026,6.197679,15.358011,18.711977
cuda,MBartForCausalLM,32,1.679855,7.785509,2.500881,10.444978,3.326238,1.240196,0.245527,1.297486,1.066047,6.547453
cuda,MBartForConditionalGeneration,16,4.593606,14.742282,7.735726,20.429502,9.629619,3.196823,0.989827,2.788215,1.728120,16.451594
cuda,MT5ForConditionalGeneration,8,4.652505,7.139436,4.917712,11.533123,5.441749,1.775877,0.467549,7.348206,16.830488,6.563836
cuda,MegatronBertForCausalLM,16,4.442651,10.137835,6.342483,13.363218,6.755076,2.448193,0.653978,3.707128,13.462286,2.575578
cuda,MegatronBertForQuestionAnswering,16,4.474744,9.859942,6.177157,13.157355,7.149067,2.406524,0.641649,3.377562,13.042561,2.193653
cuda,MobileBertForMaskedLM,32,10.617234,7.502063,9.028979,17.565045,9.093813,3.681934,1.865376,8.756859,28.196384,7.292826
cuda,MobileBertForQuestionAnswering,64,10.660987,7.543871,8.858817,17.456605,9.115573,3.667321,1.853742,5.699994,24.825632,3.596423
cuda,OPTForCausalLM,32,1.788224,5.690374,2.314517,8.990708,3.220101,1.314157,0.236615,1.162726,1.414294,6.860717
cuda,PLBartForCausalLM,32,0.891474,4.514965,1.266111,6.647997,1.880427,0.689334,0.114865,1.077419,1.337481,4.524895
cuda,PLBartForConditionalGeneration,16,2.289429,7.974149,3.381986,11.847080,4.987078,1.712577,0.366725,3.766352,3.743012,11.380849
cuda,PegasusForCausalLM,32,1.743414,6.755358,2.393716,9.820410,3.215152,1.254845,0.238048,1.798263,1.327081,7.346241
cuda,PegasusForConditionalGeneration,16,4.361793,13.286627,5.978103,19.214925,8.013493,3.137450,0.694276,4.172765,2.444544,16.308707
cuda,RobertaForCausalLM,64,2.277436,6.791159,2.522629,9.091984,3.318846,1.280639,0.254714,1.680785,1.351605,6.598811
cuda,Speech2Text2ForCausalLM,128,0.948731,4.930771,0.941773,7.859853,1.445400,0.935933,0.106163,1.558651,1.305321,5.475944
cuda,T5ForConditionalGeneration,4,3.187001,6.782948,2.708741,12.425066,4.158271,1.343516,0.296634,3.140911,6.495238,11.839342
cuda,T5Small,1,3.157375,6.626694,2.307127,9.389060,2.863330,1.189764,0.290770,4.065945,8.087663,9.249450
cuda,TrOCRForCausalLM,32,1.687623,6.381126,2.507040,9.480184,3.288059,1.237620,0.244127,1.207585,1.200797,6.908752
cuda,XGLMForCausalLM,8,3.665181,17.147156,6.730861,21.730525,8.610472,2.510448,0.652916,4.041602,25.717705,15.562929
cuda,YituTechConvBert,1,3.420380,8.922571,3.771154,14.007798,3.930079,1.739627,0.441036,5.327864,9.591235,14.332515
