dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.807993
cuda,coat_lite_mini,128,1.675012
cuda,crossvit_9_240,128,2.278120
cuda,cspdarknet53,64,3.420708
cuda,deit_base_distilled_patch16_224,64,1.328085
cuda,dla102,128,2.968747
cuda,dm_nfnet_f0,128,3.049053
cuda,dpn107,32,5.472081
cuda,ese_vovnet19b_dw,128,1.428989
cuda,fbnetc_100,128,2.997351
cuda,fbnetv3_b,128,4.778281
cuda,gernet_l,128,2.681689
cuda,ghostnet_100,128,3.791321
cuda,gluon_inception_v3,128,2.805547
cuda,gluon_xception65,32,3.505271
cuda,gmixer_24_224,128,2.001892
cuda,gmlp_s16_224,128,1.834748
cuda,hrnet_w18,128,9.846865
cuda,inception_v3,128,2.643663
cuda,lcnet_050,128,1.457737
cuda,mixer_b16_224,128,1.068501
cuda,mixnet_l,128,6.433475
cuda,mnasnet_100,128,2.381984
cuda,mobilenetv2_100,128,2.564730
cuda,mobilenetv3_large_100,128,2.366861
cuda,nfnet_l0,128,2.590378
cuda,pit_b_224,64,1.495410
cuda,pnasnet5large,16,8.002921
cuda,regnety_002,128,2.305506
cuda,repvgg_a2,128,2.660842
cuda,res2net101_26w_4s,64,5.507925
cuda,res2net50_14w_8s,128,4.735177
cuda,res2next50,128,2.596515
cuda,resmlp_12_224,128,1.096824
cuda,resnest101e,64,5.219091
cuda,rexnet_100,128,2.793393
cuda,selecsls42b,128,1.354721
cuda,spnasnet_100,128,2.769277
cuda,swsl_resnext101_32x16d,32,2.944612
cuda,tf_efficientnet_b0,128,2.586062
cuda,tf_mixnet_l,128,6.851574
cuda,tinynet_a,128,3.022403
cuda,vit_base_patch16_224,64,1.456168
