dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.8517,189.5478,13.7471,0.3342
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,0.8121,128.0110,9.6942,0.3308
cuda,cait_m36_384,0,0.0000
cuda,coat_lite_mini,128,0.8420,138.0034,8.4123,0.3514
cuda,convit_base,64,0.8330,217.7961,9.8892,0.3333
cuda,convmixer_768_32,32,0.9229,321.9984,9.8772,0.3455
cuda,convnext_base,64,0.8014,151.7569,11.6786,0.3509
cuda,crossvit_9_240,128,0.8348,131.3274,13.8339,0.3347
cuda,cspdarknet53,64,0.7567,120.0300,18.9484,0.3241
cuda,deit_base_distilled_patch16_224,64,0.7975,118.2294,7.4345,0.3590
cuda,dla102,128,0.8390,213.3111,15.4080,0.3362
cuda,dm_nfnet_f0,128,0.8810,149.1318,10.9687,0.3556
cuda,dpn107,32,0.7548,143.2149,39.1730,0.3530
cuda,eca_botnext26ts_256,128,0.6694,164.5747,11.1034,0.2672
cuda,eca_halonext26ts,128,0.6795,167.9163,10.8948,0.2670
cuda,ese_vovnet19b_dw,128,0.7674,86.1111,6.6998,0.3273
cuda,fbnetc_100,128,0.7935,105.8808,17.0904,0.3307
cuda,fbnetv3_b,128,0.7895,152.8495,28.9303,0.3151
cuda,gernet_l,128,0.7686,98.7402,15.3227,0.3444
cuda,ghostnet_100,128,0.8848,108.2074,14.2955,0.3370
cuda,gluon_inception_v3,128,0.8538,189.0445,13.3194,0.3342
cuda,gluon_xception65,32,0.7533,130.1001,17.6537,0.3349
cuda,gmixer_24_224,128,0.7216,166.5128,13.4990,0.3052
cuda,gmlp_s16_224,128,0.7870,173.3980,12.0116,0.3562
cuda,hrnet_w18,128,0.8623,346.6951,56.7880,0.3347
cuda,inception_v3,128,0.8533,188.7027,13.3789,0.3342
cuda,jx_nest_base,32,0.8023,148.4673,15.1878,0.3399
cuda,lcnet_050,128,0.8461,38.8231,7.3775,0.3361
cuda,mixer_b16_224,128,0.8018,148.2558,6.2810,0.3472
cuda,mixnet_l,128,0.7920,231.7355,27.1026,0.2716
cuda,mnasnet_100,128,0.7891,85.0226,13.1370,0.3349
cuda,mobilenetv2_100,128,0.7230,89.4174,12.8638,0.3109
cuda,mobilenetv3_large_100,128,0.7829,80.7117,13.2313,0.3303
cuda,mobilevit_s,64,0.6558,133.7060,15.5441,0.2734
cuda,nfnet_l0,128,0.7105,148.7688,10.8799,0.2684
cuda,pit_b_224,64,0.8222,188.5455,8.4197,0.3260
cuda,pnasnet5large,16,0.8504,259.5399,40.9045,0.3632
cuda,poolformer_m36,64,0.8015,185.8008,12.4398,0.3413
cuda,regnety_002,128,1.1330,47.1703,13.3364,0.3403
cuda,repvgg_a2,128,0.7989,94.3232,15.4392,0.3408
cuda,res2net101_26w_4s,64,0.9594,127.0794,27.8099,0.3336
cuda,res2net50_14w_8s,128,0.8099,180.5367,24.3085,0.3232
cuda,res2next50,128,0.8317,166.4971,12.9588,0.3202
cuda,resmlp_12_224,128,0.7824,87.3133,4.8068,0.2624
cuda,resnest101e,64,0.8110,200.0415,27.3915,0.3473
cuda,rexnet_100,128,0.6901,127.5117,17.0046,0.2850
cuda,sebotnet33ts_256,64,0.6805,118.5967,13.2391,0.3212
cuda,selecsls42b,128,0.8418,74.7679,5.8118,0.3529
cuda,spnasnet_100,128,0.7741,93.9757,17.5019,0.3343
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,0.8104,146.1128,14.4910,0.3677
cuda,tf_efficientnet_b0,128,0.6672,131.5146,16.0637,0.2664
cuda,tf_mixnet_l,128,0.7950,240.9530,26.7905,0.2877
cuda,tinynet_a,128,0.6527,110.9989,19.6506,0.2764
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,64,0.9443,138.9156,26.8139,0.3403
cuda,visformer_small,128,0.8372,117.0475,6.5622,0.3468
cuda,vit_base_patch16_224,64,0.8352,144.7481,7.3020,0.3593
cuda,volo_d1_224,64,0.8449,159.2969,12.2682,0.3421
cuda,xcit_large_24_p8_224,0,0.0000
