dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,3.080664
cuda,botnet26t_256,128,2.109515
cuda,coat_lite_mini,128,1.946135
cuda,convit_base,64,2.082552
cuda,convmixer_768_32,32,2.326918
cuda,convnext_base,64,2.512884
cuda,crossvit_9_240,128,3.090449
cuda,cspdarknet53,64,3.563157
cuda,deit_base_distilled_patch16_224,64,1.729818
cuda,dla102,128,3.379200
cuda,dm_nfnet_f0,128,3.087501
cuda,dpn107,32,5.883872
cuda,eca_botnext26ts_256,128,2.129013
cuda,eca_halonext26ts,128,2.152657
cuda,ese_vovnet19b_dw,128,1.512283
cuda,fbnetc_100,128,3.069253
cuda,fbnetv3_b,128,5.391659
cuda,gernet_l,128,2.877745
cuda,ghostnet_100,128,4.217978
cuda,gluon_inception_v3,128,3.002307
cuda,gluon_xception65,32,3.925032
cuda,gmixer_24_224,128,2.718402
cuda,gmlp_s16_224,128,2.380075
cuda,hrnet_w18,128,11.099147
cuda,inception_v3,128,3.011340
cuda,jx_nest_base,32,2.956652
cuda,lcnet_050,128,1.557175
cuda,mixer_b16_224,128,1.466907
cuda,mixnet_l,128,7.084868
cuda,mnasnet_100,128,2.449310
cuda,mobilenetv2_100,128,2.505394
cuda,mobilenetv3_large_100,128,2.478209
cuda,mobilevit_s,64,2.905065
cuda,nfnet_l0,128,2.819170
cuda,pit_b_224,64,1.916799
cuda,pnasnet5large,16,8.301292
cuda,poolformer_m36,64,2.646867
cuda,regnety_002,128,2.508359
cuda,repvgg_a2,128,2.897672
cuda,res2net101_26w_4s,64,5.878086
cuda,res2net50_14w_8s,128,5.009797
cuda,res2next50,128,3.011001
cuda,resmlp_12_224,128,1.218996
cuda,resnest101e,64,5.905466
cuda,rexnet_100,128,3.039742
cuda,sebotnet33ts_256,64,2.437080
cuda,selecsls42b,128,1.467863
cuda,spnasnet_100,128,3.152573
cuda,swsl_resnext101_32x16d,32,3.285768
cuda,tf_efficientnet_b0,128,2.827569
cuda,tf_mixnet_l,128,7.099582
cuda,tinynet_a,128,3.259993
cuda,twins_pcpvt_base,64,4.910756
cuda,visformer_small,128,1.650749
cuda,vit_base_patch16_224,64,1.694679
cuda,volo_d1_224,64,2.373010
