dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8769,75.0640,136.1247,1.1061
cuda,Background_Matting,4,1.0580,126.3844,90.0494,0.9771
cuda,LearningToPaint,96,0.8366,17.7788,46.8568,0.6701
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.9277,10.5708,4.9607,0.7750
cuda,attention_is_all_you_need_pytorch,0,0.0000
cuda,dcgan,32,0.7112,4.4816,5.1060,0.7838
cuda,demucs,4,0.9995,57.0808,0.3554,0.9872
cuda,densenet121,4,0.7568,108.2873,240.6643,0.8452
cuda,dlrm,2048,1.1546,491.3831,4.8303,0.7306
cuda,drq,1,0.6060,6.6531,6.3879,0.8309
cuda,fastNLP_Bert,0,0.0000
cuda,functorch_dp_cifar10,0,0.0000
cuda,hf_Albert,0,0.0000
cuda,hf_Bart,0,0.0000
cuda,hf_Bert,0,0.0000
cuda,hf_BigBird,2,0.8259,232.1067,118.7493,1.2192
cuda,hf_DistilBert,8,0.3672,84.8307,64.9600,1.0625
cuda,hf_GPT2,4,0.2903,170.1472,113.9487,1.1182
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.6445,127.6202,17.9406,0.9861
cuda,hf_T5,8,1.3491,129.2397,106.8780,1.0140
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,1000,0.4702,3.2362,2.9686,0.9996
cuda,mnasnet1_0,32,0.7607,39.2368,90.4439,0.8226
cuda,mobilenet_v2,96,1.0371,47.2468,114.7728,0.9124
cuda,mobilenet_v3_large,32,0.7664,47.5741,119.9712,0.7921
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,1.0076,10.3277,5.7489,0.5596
cuda,pytorch_CycleGAN_and_pix2pix,0,0.0000
cuda,pytorch_stargan,0,0.0000
cuda,pytorch_struct,200,0.5988,7.6996,8.0336,0.5099
cuda,pytorch_unet,1,1.0833,36.9016,38.8051,0.8496
cuda,resnet152,0,0.0000
cuda,resnet18,16,0.7984,17.0311,38.1885,0.7314
cuda,resnet50,32,0.8018,42.2118,96.5518,0.7806
cuda,resnext50_32x4d,8,0.7390,39.8695,83.0174,0.8100
cuda,shufflenet_v2_x1_0,128,0.8516,49.0407,105.3812,0.8489
cuda,soft_actor_critic,256,0.5639,2.8940,2.8431,0.9302
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.7231,21.0218,7.0721,0.8714
cuda,tacotron2,64,0.5961,5002.5454,108.9455,0.3908
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,0.6803,70.0748,148.6479,0.4638
cuda,timm_nfnet,128,0.9189,143.2707,166.4694,0.4815
cuda,timm_regnet,32,0.7862,91.3126,140.3306,0.8027
cuda,timm_resnest,32,0.9601,25.5992,67.2264,0.8451
cuda,timm_vision_transformer,8,0.5969,49.3166,81.4047,1.0881
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.8050,39.7640,70.3932,0.7755
cuda,tts_angular,64,0.9606,6.4800,1.5294,1.0003
cuda,vgg16,64,0.9725,68.1311,5.6154,0.7341
cuda,yolov3,0,0.0000
