dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.321279
cuda,Background_Matting,4,1.483430
cuda,LearningToPaint,96,0.729564
cuda,Super_SloMo,6,1.472674
cuda,alexnet,128,0.226671
cuda,attention_is_all_you_need_pytorch,256,1.913440
cuda,dcgan,32,0.214821
cuda,demucs,4,0.340799
cuda,densenet121,4,3.621373
cuda,drq,1,0.337927
cuda,fastNLP_Bert,6,2.251482
cuda,functorch_dp_cifar10,64,0.425906
cuda,hf_Albert,8,1.815555
cuda,hf_Bart,4,2.521801
cuda,hf_Bert,4,2.259062
cuda,hf_DistilBert,8,1.040816
cuda,hf_GPT2,4,2.176756
cuda,hf_GPT2_large,4,7.240434
cuda,hf_Reformer,4,1.947101
cuda,hf_T5,8,3.493685
cuda,hf_T5_large,2,16.958638
cuda,lennard_jones,1000,0.161893
cuda,mnasnet1_0,32,1.500319
cuda,mobilenet_v2,96,1.544488
cuda,mobilenet_v2_quantized_qat,96,2.480515
cuda,mobilenet_v3_large,32,1.581592
cuda,nvidia_deeprecommender,256,0.248319
cuda,pytorch_CycleGAN_and_pix2pix,1,0.635088
cuda,pytorch_stargan,16,0.679461
cuda,pytorch_struct,200,0.317772
cuda,pytorch_unet,1,0.652415
cuda,resnet152,32,4.401978
cuda,resnet18,16,0.670578
cuda,resnet50,32,1.524757
cuda,resnet50_quantized_qat,32,2.320090
cuda,resnext50_32x4d,8,1.555609
cuda,shufflenet_v2_x1_0,128,1.722624
cuda,soft_actor_critic,256,0.217974
cuda,speech_transformer,32,2.474498
cuda,squeezenet1_1,32,0.339634
cuda,tacotron2,64,7.792525
cuda,timm_efficientdet,1,22.152400
cuda,timm_efficientnet,32,2.587398
cuda,timm_nfnet,128,2.857122
cuda,timm_regnet,32,3.383525
cuda,timm_resnest,32,0.930130
cuda,timm_vision_transformer,8,1.348521
cuda,timm_vision_transformer_large,8,4.129059
cuda,timm_vovnet,32,2.054730
cuda,tts_angular,64,0.185111
cuda,vgg16,64,0.256146
cuda,yolov3,16,3.881924
