dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.9842,46.6350,100.8280,1.1271
cuda,Background_Matting,4,1.0791,173.1194,70.0019,0.9682
cuda,LearningToPaint,96,0.9754,16.1290,39.1771,0.6268
cuda,Super_SloMo,6,0.9923,118.5034,28.4964,0.9891
cuda,alexnet,128,1.0041,12.3792,3.1241,0.7457
cuda,attention_is_all_you_need_pytorch,256,0.9546,75.3266,133.3379,0.9678
cuda,dcgan,32,0.8105,3.3409,4.3914,0.7634
cuda,demucs,4,0.9997,77.7265,0.3036,0.9886
cuda,densenet121,4,0.7850,85.2911,169.9387,0.8558
cuda,dlrm,2048,1.0702,496.0696,2.8698,0.7306
cuda,drq,1,0.7039,4.2357,4.5087,0.8777
cuda,fastNLP_Bert,6,1.1926,49.8335,99.3021,1.2131
cuda,functorch_dp_cifar10,0,0.0000
cuda,hf_Albert,8,1.5591,48.0782,112.4026,1.0620
cuda,hf_Bart,4,0.9019,60.8572,148.1356,1.0863
cuda,hf_Bert,4,0.8975,43.1355,101.1949,1.0014
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.5314,73.2008,48.5706,1.0239
cuda,hf_GPT2,4,0.3884,129.7312,80.0002,1.1243
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,0.7358,112.7877,15.7145,0.9999
cuda,hf_T5,8,1.2243,149.1899,91.6834,0.9326
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,1000,0.6835,1.5727,1.3825,0.9995
cuda,mnasnet1_0,32,0.9256,31.1296,73.5136,0.8259
cuda,mobilenet_v2,96,1.3280,53.7028,101.3573,0.9872
cuda,mobilenet_v2_quantized_qat,96,1.4576,101.2621,185.4102,1.1946
cuda,mobilenet_v3_large,32,0.8647,36.1154,98.0412,0.8098
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9768,8.7456,4.7219,0.5598
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8504,19.6454,32.0496,0.8945
cuda,pytorch_stargan,0,0.0000
cuda,pytorch_struct,200,0.7851,4.7639,4.5450,0.5097
cuda,pytorch_unet,1,1.0902,53.6449,30.6842,0.8497
cuda,resnet152,32,0.9176,98.8343,189.6154,0.8736
cuda,resnet18,16,0.8860,13.8507,30.5023,0.6948
cuda,resnet50,32,0.9807,39.3321,79.6886,0.7968
cuda,resnet50_quantized_qat,32,1.1591,80.4318,171.3155,1.2258
cuda,resnext50_32x4d,8,0.8098,33.3015,65.3404,0.8196
cuda,shufflenet_v2_x1_0,128,0.9066,40.8056,85.8522,0.8683
cuda,soft_actor_critic,256,0.7153,1.5975,1.6298,0.9637
cuda,speech_transformer,32,0.7806,62.8196,149.5276,1.1201
cuda,squeezenet1_1,32,0.8669,14.5135,4.5471,0.9761
cuda,tacotron2,64,0.7527,3521.6425,46.2855,1.0841
cuda,timm_efficientdet,1,0.7563,182.0372,484.5231,1.1337
cuda,timm_efficientnet,32,0.8201,52.2556,110.4914,0.9880
cuda,timm_nfnet,128,1.1334,181.5372,156.5363,0.7594
cuda,timm_regnet,32,1.0953,89.2254,114.6911,0.8784
cuda,timm_resnest,32,1.1662,27.1698,60.2415,0.7926
cuda,timm_vision_transformer,8,0.6515,36.3117,77.4455,1.0652
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.9008,42.7057,56.7385,0.7737
cuda,tts_angular,64,0.9696,9.4748,1.0611,0.9884
cuda,vgg16,64,0.9974,106.5100,3.2381,0.6640
cuda,yolov3,16,1.1522,88.6658,112.0326,0.8549
