dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BartForCausalLM,4,2.370164
cuda,BertForMaskedLM,64,2.889905
cuda,BertForQuestionAnswering,128,2.900207
cuda,BlenderbotSmallForCausalLM,64,1.708540
cuda,BlenderbotSmallForConditionalGeneration,64,4.150339
cuda,CamemBert,1,2.847782
cuda,DebertaForMaskedLM,4,6.149716
cuda,DebertaForQuestionAnswering,8,6.295710
cuda,DistilBertForMaskedLM,64,1.360247
cuda,DistilBertForQuestionAnswering,64,1.353497
cuda,DistillGPT2,1,1.388319
cuda,ElectraForCausalLM,32,2.909194
cuda,ElectraForQuestionAnswering,64,2.871326
cuda,LayoutLMForMaskedLM,16,3.298015
cuda,LayoutLMForSequenceClassification,16,3.241852
cuda,M2M100ForConditionalGeneration,8,6.785854
cuda,MBartForCausalLM,32,2.433891
cuda,MBartForConditionalGeneration,16,6.495821
cuda,MT5ForConditionalGeneration,8,5.290007
cuda,MegatronBertForCausalLM,16,5.919612
cuda,MegatronBertForQuestionAnswering,16,5.931827
cuda,MobileBertForMaskedLM,32,13.798387
cuda,MobileBertForQuestionAnswering,64,13.726717
cuda,OPTForCausalLM,32,2.432047
cuda,PLBartForCausalLM,32,1.315797
cuda,PLBartForConditionalGeneration,16,3.214470
cuda,PegasusForCausalLM,32,2.422928
cuda,PegasusForConditionalGeneration,16,5.962202
cuda,RobertaForCausalLM,64,2.795146
cuda,RobertaForQuestionAnswering,128,2.819642
cuda,Speech2Text2ForCausalLM,128,1.366252
cuda,T5ForConditionalGeneration,4,3.557732
cuda,T5Small,1,3.554552
cuda,TrOCRForCausalLM,32,2.428836
cuda,XGLMForCausalLM,8,4.915564
cuda,YituTechConvBert,1,4.101546
