dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BartForCausalLM,4,2.373552
cuda,BertForMaskedLM,64,2.862493
cuda,BertForQuestionAnswering,128,3.019035
cuda,BlenderbotSmallForCausalLM,64,1.690423
cuda,BlenderbotSmallForConditionalGeneration,64,4.174077
cuda,CamemBert,1,2.847028
cuda,DebertaForMaskedLM,4,6.401204
cuda,DebertaForQuestionAnswering,8,6.543669
cuda,DistilBertForMaskedLM,64,1.319738
cuda,DistilBertForQuestionAnswering,64,1.333859
cuda,DistillGPT2,1,1.433141
cuda,ElectraForCausalLM,32,2.868801
cuda,ElectraForQuestionAnswering,64,2.864358
cuda,LayoutLMForMaskedLM,16,3.216862
cuda,LayoutLMForSequenceClassification,16,3.174199
cuda,M2M100ForConditionalGeneration,8,6.413087
cuda,MBartForCausalLM,32,2.420256
cuda,MBartForConditionalGeneration,16,6.406110
cuda,MT5ForConditionalGeneration,8,5.311119
cuda,MegatronBertForCausalLM,16,5.868109
cuda,MegatronBertForQuestionAnswering,16,5.806408
cuda,MobileBertForMaskedLM,32,13.786908
cuda,MobileBertForQuestionAnswering,64,14.359506
cuda,OPTForCausalLM,32,2.474097
cuda,PLBartForCausalLM,32,1.338963
cuda,PLBartForConditionalGeneration,16,3.230002
cuda,PegasusForCausalLM,32,2.461066
cuda,PegasusForConditionalGeneration,16,5.982922
cuda,RobertaForCausalLM,64,2.848407
cuda,RobertaForQuestionAnswering,128,2.867203
cuda,Speech2Text2ForCausalLM,128,1.374265
cuda,T5ForConditionalGeneration,4,3.608608
cuda,T5Small,1,3.555232
cuda,TrOCRForCausalLM,32,2.401607
cuda,XGLMForCausalLM,8,5.100789
cuda,YituTechConvBert,1,4.281996
