dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,1.861650
cuda,Background_Matting,4,1.075341
cuda,LearningToPaint,96,0.533831
cuda,Super_SloMo,6,1.223687
cuda,alexnet,128,0.182721
cuda,attention_is_all_you_need_pytorch,256,1.522516
cuda,dcgan,32,0.182356
cuda,demucs,4,0.363116
cuda,densenet121,4,2.456579
cuda,dlrm,2048,0.453025
cuda,drq,1,0.321593
cuda,fastNLP_Bert,6,1.910837
cuda,functorch_dp_cifar10,64,0.348599
cuda,hf_Albert,8,1.678488
cuda,hf_Bart,4,2.109949
cuda,hf_Bert,4,1.947444
cuda,hf_BigBird,2,3.952106
cuda,hf_DistilBert,8,0.898581
cuda,hf_GPT2,4,1.798944
cuda,hf_GPT2_large,4,6.448567
cuda,hf_Reformer,4,1.706508
cuda,hf_T5,8,2.685229
cuda,hf_T5_large,2,14.963899
cuda,lennard_jones,1000,0.158513
cuda,mnasnet1_0,32,0.990366
cuda,mobilenet_v2,96,1.104108
cuda,mobilenet_v3_large,32,1.076038
cuda,nvidia_deeprecommender,256,0.236093
cuda,pytorch_CycleGAN_and_pix2pix,1,0.471717
cuda,pytorch_stargan,16,0.476032
cuda,pytorch_struct,200,0.288229
cuda,pytorch_unet,1,0.552820
cuda,resnet152,32,2.818849
cuda,resnet18,16,0.481964
cuda,resnet50,32,1.037264
cuda,resnext50_32x4d,8,1.037158
cuda,shufflenet_v2_x1_0,128,1.239879
cuda,soft_actor_critic,256,0.208943
cuda,speech_transformer,32,2.042075
cuda,squeezenet1_1,32,0.282425
cuda,tacotron2,64,5.163949
cuda,timm_efficientdet,1,20.380325
cuda,timm_efficientnet,32,2.004045
cuda,timm_nfnet,128,2.205002
cuda,timm_regnet,32,2.532768
cuda,timm_resnest,32,0.678314
cuda,timm_vision_transformer,8,1.029873
cuda,timm_vision_transformer_large,8,3.191196
cuda,timm_vovnet,32,1.627674
cuda,tts_angular,64,0.199655
cuda,vgg16,64,0.231645
cuda,yolov3,16,3.121978
