dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.815253
cuda,LearningToPaint,96,0.799595
cuda,alexnet,128,0.236171
cuda,dcgan,32,0.233745
cuda,demucs,4,0.383761
cuda,densenet121,4,4.116209
cuda,dlrm,2048,0.537989
cuda,drq,1,0.381920
cuda,hf_DistilBert,8,1.301640
cuda,hf_GPT2,4,2.582497
cuda,hf_Reformer,4,2.363414
cuda,hf_T5,8,3.720996
cuda,lennard_jones,1000,0.204482
cuda,mnasnet1_0,32,1.685732
cuda,mobilenet_v2,96,1.773316
cuda,mobilenet_v3_large,32,1.839444
cuda,nvidia_deeprecommender,256,0.313980
cuda,pytorch_struct,200,0.399589
cuda,resnet18,16,0.761394
cuda,resnet50,32,1.760056
cuda,resnext50_32x4d,8,1.768887
cuda,shufflenet_v2_x1_0,128,1.976215
cuda,soft_actor_critic,256,0.245875
cuda,speech_transformer,32,3.280649
cuda,squeezenet1_1,32,0.403989
cuda,tacotron2,64,7.959157
cuda,timm_efficientnet,32,2.871267
cuda,timm_nfnet,128,3.069625
cuda,timm_regnet,32,3.777099
cuda,timm_resnest,32,1.057944
cuda,timm_vision_transformer,8,1.647848
cuda,timm_vovnet,32,2.250772
cuda,tts_angular,64,0.204149
cuda,vgg16,64,0.308333
