dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,4,1.698429
cuda,AlbertForQuestionAnswering,4,1.710376
cuda,AllenaiLongformerBase,4,4.836084
cuda,BartForCausalLM,4,1.577873
cuda,BartForConditionalGeneration,2,4.036620
cuda,BertForMaskedLM,16,1.971619
cuda,BertForQuestionAnswering,16,1.992621
cuda,BlenderbotForCausalLM,4,3.073320
cuda,BlenderbotSmallForCausalLM,64,1.123113
cuda,BlenderbotSmallForConditionalGeneration,64,2.696332
cuda,CamemBert,16,1.975789
cuda,DebertaForMaskedLM,4,4.853837
cuda,DebertaForQuestionAnswering,8,4.914151
cuda,DebertaV2ForMaskedLM,1,8.622410
cuda,DebertaV2ForQuestionAnswering,2,8.596801
cuda,DistilBertForMaskedLM,128,0.871735
cuda,DistilBertForQuestionAnswering,256,0.895091
cuda,DistillGPT2,16,0.958295
cuda,ElectraForCausalLM,32,1.990530
cuda,ElectraForQuestionAnswering,64,1.986162
cuda,GPT2ForSequenceClassification,4,1.781121
cuda,LayoutLMForMaskedLM,16,1.990737
cuda,LayoutLMForSequenceClassification,16,1.969008
cuda,M2M100ForConditionalGeneration,16,4.035674
cuda,MBartForCausalLM,4,1.591483
cuda,MBartForConditionalGeneration,2,4.060002
cuda,MT5ForConditionalGeneration,16,4.348307
cuda,MegatronBertForCausalLM,4,4.202665
cuda,MegatronBertForQuestionAnswering,8,4.130810
cuda,MobileBertForMaskedLM,64,10.177472
cuda,MobileBertForQuestionAnswering,128,10.227906
cuda,OPTForCausalLM,2,1.561481
cuda,PLBartForCausalLM,8,0.910574
cuda,PLBartForConditionalGeneration,4,2.117629
cuda,PegasusForCausalLM,32,1.649634
cuda,PegasusForConditionalGeneration,32,3.868323
cuda,Reformer,16,1.663458
cuda,RobertaForCausalLM,16,1.991731
cuda,RobertaForQuestionAnswering,16,1.993864
cuda,Speech2Text2ForCausalLM,256,0.928297
cuda,T5ForConditionalGeneration,4,2.792780
cuda,T5Small,4,2.818824
cuda,TrOCRForCausalLM,32,1.572808
cuda,XGLMForCausalLM,8,3.182158
cuda,XLNetLMHeadModel,8,5.001572
cuda,YituTechConvBert,16,2.873053
