dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,botnet26t_256,128,1.763515
cuda,coat_lite_mini,128,1.568618
cuda,crossvit_9_240,128,2.433604
cuda,cspdarknet53,64,3.366014
cuda,deit_base_distilled_patch16_224,64,1.293808
cuda,dpn107,32,5.587604
cuda,ese_vovnet19b_dw,128,1.319607
cuda,fbnetc_100,128,2.982975
cuda,fbnetv3_b,128,4.844874
cuda,gernet_l,128,2.747159
cuda,ghostnet_100,128,4.021889
cuda,jx_nest_base,32,2.806374
cuda,lcnet_050,128,1.505558
cuda,mnasnet_100,128,2.315942
cuda,mobilenetv2_100,128,2.441192
cuda,mobilenetv3_large_100,128,2.344743
cuda,regnety_002,128,2.336672
cuda,repvgg_a2,128,2.766297
cuda,res2net101_26w_4s,64,5.537986
cuda,resmlp_12_224,128,0.968610
cuda,selecsls42b,128,1.284379
cuda,spnasnet_100,128,2.887754
cuda,tinynet_a,128,3.051627
cuda,twins_pcpvt_base,64,3.699859
cuda,visformer_small,128,1.419116
cuda,vit_base_patch16_224,64,1.293643
cuda,volo_d1_224,64,2.126919
cuda,xcit_large_24_p8_224,5,4.962417
