dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.707669,3.293549,1.623571,7.527835,2.846963,1.327277,0.134117,1.391562,7.326385,0.878597
cuda,AlbertForQuestionAnswering,4,1.732609,3.288653,1.600952,7.413722,2.807526,1.309453,0.132664,1.055220,6.859615,0.522082
cuda,BartForCausalLM,4,1.752993,6.370962,1.980685,8.746933,3.036013,1.177850,0.222498,1.466083,1.494042,5.911341
cuda,BartForConditionalGeneration,2,4.833012,13.423976,4.382381,18.631157,8.084303,2.840773,0.820208,0.993939,1.196381,10.804690
cuda,BertForMaskedLM,16,2.419148,6.490435,1.944690,8.551029,3.173771,1.295323,0.251509,2.011349,6.110843,1.443766
cuda,BertForQuestionAnswering,16,2.497547,6.480807,1.888506,8.546324,3.141951,1.286819,0.245032,1.569429,5.616822,1.005837
cuda,BlenderbotSmallForCausalLM,64,1.174809,3.421981,1.284819,5.536116,1.967878,0.881126,0.149564,2.428481,5.886645,2.083113
cuda,BlenderbotSmallForConditionalGeneration,64,3.168817,8.342041,3.121650,12.098949,5.146674,2.055699,0.481383,2.062748,1.976792,9.087693
cuda,CamemBert,16,2.400754,6.562658,1.955931,8.682507,3.217704,1.306558,0.260228,0.931316,5.100623,0.347183
cuda,DebertaForMaskedLM,4,6.231118,15.535438,2.690378,18.550017,4.307060,2.049038,0.307831,18.587251,0.836487,24.524654
cuda,DebertaForQuestionAnswering,8,6.476403,15.814273,2.696164,18.993965,4.298734,2.071665,0.310743,22.863809,1.781156,28.985547
cuda,DebertaV2ForMaskedLM,1,9.743115,19.477933,3.349889,22.540473,4.782382,2.427173,0.538083,50.326954,1.457150,57.118177
cuda,DebertaV2ForQuestionAnswering,2,9.778671,18.900779,3.799245,22.432155,5.801000,2.892300,0.529476,50.110600,0.486907,57.819461
cuda,DistilBertForMaskedLM,128,0.898314,3.380956,1.015087,4.978420,1.812099,0.711659,0.111793,1.511217,4.171223,1.181414
cuda,DistilBertForQuestionAnswering,256,0.917928,3.311072,0.978663,5.025535,1.784275,0.702315,0.107760,0.928436,3.668669,0.572696
cuda,DistillGPT2,16,1.048520,4.471573,0.900106,6.343719,1.537527,0.704013,0.096451,2.057587,2.673503,4.872121
cuda,ElectraForCausalLM,32,2.433232,8.653734,1.921422,12.075620,3.313984,1.355663,0.251140,3.431755,2.611559,8.871619
cuda,ElectraForQuestionAnswering,64,2.351470,6.394568,1.897830,8.476424,3.163013,1.291754,0.252533,1.886888,5.959569,1.301156
cuda,GPT2ForSequenceClassification,4,2.093002,4.454436,1.940405,6.607596,2.614745,1.222649,0.215385,1.370455,5.546377,1.008583
cuda,GoogleFnet,16,1.255211,9.507121,1.068148,12.509721,1.539195,0.647748,0.105019,4.226913,1.754472,8.371213
cuda,LayoutLMForMaskedLM,16,2.702303,6.549669,1.971981,8.661993,3.275873,1.327155,0.256103,2.012320,6.192489,1.437695
cuda,LayoutLMForSequenceClassification,16,2.690471,6.480365,1.927152,10.182082,3.879839,1.497075,0.249012,7.322093,13.044242,6.833692
cuda,M2M100ForConditionalGeneration,16,4.345586,10.871115,3.374304,17.826131,6.453071,2.851504,0.600257,4.143108,9.436744,14.662648
cuda,MBartForCausalLM,4,1.732712,7.690156,1.971857,10.024243,3.000570,1.208105,0.225071,1.415096,1.308356,5.810462
cuda,MBartForConditionalGeneration,2,4.949233,13.056592,4.470908,18.140591,8.301769,2.923018,0.883986,0.961661,0.481024,10.769067
cuda,MT5ForConditionalGeneration,16,4.822945,8.544037,2.757719,13.689598,5.713137,1.850058,0.471867,4.100732,19.381286,12.167806
cuda,MegatronBertForCausalLM,4,4.679444,9.580032,4.510500,12.920219,6.695606,2.517615,0.665520,1.410363,9.454259,0.390318
cuda,MegatronBertForQuestionAnswering,8,4.705668,8.848343,4.141579,11.966613,6.446512,2.391974,0.646269,1.443812,8.883908,0.570667
cuda,MobileBertForMaskedLM,64,11.122682,6.789358,4.694332,17.307849,8.717267,3.722668,1.958927,3.133687,18.658569,1.687376
cuda,MobileBertForQuestionAnswering,128,11.058002,6.687313,5.118559,19.389730,9.132073,5.105123,2.342429,2.697946,20.829496,1.015882
cuda,OPTForCausalLM,2,1.817109,4.826558,1.911220,7.667082,3.059582,1.346141,0.241084,1.867225,6.705277,1.105330
cuda,PLBartForCausalLM,8,0.916376,4.494758,1.041692,6.565657,1.816665,0.712290,0.110114,1.118812,1.167814,4.277544
cuda,PLBartForConditionalGeneration,4,2.629211,7.639326,2.602567,11.332958,4.685744,1.744752,0.359782,1.695164,1.694506,8.344957
cuda,PegasusForCausalLM,32,1.826659,6.632212,1.957294,9.570922,3.025421,1.273230,0.239984,1.906748,1.600321,6.892118
cuda,PegasusForConditionalGeneration,32,4.646231,11.693535,4.369731,16.333174,6.554621,3.027213,0.666106,2.687416,0.684678,11.925617
cuda,Reformer,16,2.089504,7.957755,0.698447,8.942232,1.096718,0.542529,0.046741,1.280830,1.695438,3.009995
cuda,RobertaForCausalLM,16,2.353650,6.623248,1.950591,8.601424,3.251817,1.343854,0.253553,1.119642,0.725255,5.141812
cuda,RobertaForQuestionAnswering,16,2.389477,6.426008,1.898970,8.420491,3.133238,1.291247,0.253883,0.594491,4.579700
cuda,Speech2Text2ForCausalLM,256,1.005237,4.858187,0.755967,7.632599,1.309959,0.628267,0.101608,1.345649,1.112414,4.920248
cuda,T5ForConditionalGeneration,4,3.277308,6.798567,1.870260,12.226764,3.723359,1.399855,0.303916,2.451956,5.828446,10.105028
cuda,T5Small,4,3.275820,6.752158,1.830061,12.010698,3.657661,1.370699,0.288975,2.441279,5.843091,9.891583
cuda,XGLMForCausalLM,8,4.020057,16.479243,5.073537,20.881806,7.557093,2.537639,0.671590,4.619017,26.939762,14.286574
cuda,XLNetLMHeadModel,8,6.002816,79.793190,4.750542,85.888681,8.479274,63.589785,0.857823,8.040721,11.804860
cuda,YituTechConvBert,16,3.427743,9.455291,2.655666,15.321420,5.770738,2.434673,0.433286,6.304773,8.157259,14.965543
