dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.1297,200.3614,149.8725,0.8721
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,0,0.0000
cuda,cait_m36_384,0,0.0000
cuda,coat_lite_mini,128,1.0935,174.9854,96.3216,0.9856
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,0,0.0000
cuda,convnext_base,0,0.0000
cuda,crossvit_9_240,128,1.0401,94.5777,170.6372,1.1222
cuda,cspdarknet53,64,1.1753,106.2495,121.2672,0.8912
cuda,deit_base_distilled_patch16_224,64,0.9792,122.3402,75.6456,1.2337
cuda,dla102,128,1.2839,209.6874,188.4030,0.9530
cuda,dm_nfnet_f0,128,1.1382,180.8949,153.7786,0.7593
cuda,dpn107,32,1.0273,178.0332,175.4740,0.8940
cuda,eca_botnext26ts_256,0,0.0000
cuda,eca_halonext26ts,0,0.0000
cuda,ese_vovnet19b_dw,128,1.1501,84.7902,52.8025,0.9303
cuda,fbnetc_100,128,1.2464,95.7084,111.8708,0.7446
cuda,fbnetv3_b,128,1.2368,126.7176,247.2532,0.9108
cuda,gernet_l,128,1.0996,146.2431,89.1493,0.7938
cuda,ghostnet_100,128,1.2914,88.6982,161.5354,0.9348
cuda,gluon_inception_v3,128,1.1293,200.6569,151.4115,0.8721
cuda,gluon_xception65,32,1.0806,168.8993,155.6789,0.8929
cuda,gmixer_24_224,128,1.0831,135.0285,134.6312,1.6177
cuda,gmlp_s16_224,128,1.0923,139.0381,155.1597,1.0153
cuda,hrnet_w18,128,1.2718,327.4556,693.2762,0.8647
cuda,inception_v3,128,1.1294,200.5104,151.1763,0.8721
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.3476,27.2099,69.2402,0.8321
cuda,mixer_b16_224,128,0.8930,176.6859,70.2752,1.4726
cuda,mixnet_l,128,1.0990,221.7176,153.4172,0.7911
cuda,mnasnet_100,128,1.2534,76.1373,88.0319,0.8279
cuda,mobilenetv2_100,128,1.2879,73.3339,101.5904,0.9861
cuda,mobilenetv3_large_100,128,1.2860,64.2955,119.7012,0.8112
cuda,mobilevit_s,0,0.0000
cuda,nfnet_l0,128,1.1054,158.9809,131.5811,0.7757
cuda,pit_b_224,64,1.0323,153.2859,94.8251,1.0452
cuda,pnasnet5large,16,1.0895,265.2668,353.2851,1.1917
cuda,poolformer_m36,0,0.0000
cuda,regnety_002,128,0.9666,54.1692,94.3934,0.7597
cuda,repvgg_a2,128,1.1363,108.0181,154.4154,0.6570
cuda,res2net101_26w_4s,64,1.1097,136.8084,253.6876,0.8932
cuda,res2net50_14w_8s,128,1.2518,182.9485,261.3981,0.8609
cuda,res2next50,128,1.1808,175.1777,164.0915,0.8620
cuda,resmlp_12_224,128,1.2124,58.6911,32.7361,1.3763
cuda,resnest101e,64,1.1684,196.6649,267.0270,0.9266
cuda,rexnet_100,128,1.1616,99.8158,146.0056,1.0507
cuda,sebotnet33ts_256,0,0.0000
cuda,selecsls42b,128,1.2154,73.7691,75.4265,0.8951
cuda,spnasnet_100,128,1.2242,83.1704,107.8579,0.8412
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,1.1084,197.2857,131.4880,0.8675
cuda,tf_efficientnet_b0,128,1.1620,112.6635,127.7474,0.9895
cuda,tf_mixnet_l,128,1.0952,231.0925,153.2379,0.8574
cuda,tinynet_a,128,1.1435,92.9910,146.6159,0.9898
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,0,0.0000
cuda,vit_base_patch16_224,64,0.9508,125.1210,72.0475,1.2304
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
