dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.231347,3.778417,2.164902,8.323319,2.755981,1.137139,0.142219,6.797467,0.824921
cuda,AlbertForQuestionAnswering,4,2.266400,3.729867,2.306261,8.056079,2.703192,1.117792,0.140055,6.718893,0.434221
cuda,BartForCausalLM,4,2.276421,6.351789,2.646963,9.180529,3.254719,1.392822,0.263255,2.342830,5.575778
cuda,BartForConditionalGeneration,2,6.244134,13.735078,5.535598,19.993056,8.924247,3.452221,1.035231,1.174890,12.549984
cuda,BertForMaskedLM,16,2.852376,5.288749,2.628079,8.012985,3.613326,1.527850,0.292492,5.742675,1.433086
cuda,BertForQuestionAnswering,16,2.878569,5.275917,2.874477,7.469718,3.222979,1.526407,0.295444,5.175973,1.012441
cuda,BlenderbotForCausalLM,4,4.673360,9.000478,5.713386,15.292507,7.449135,2.965597,0.806921,12.210102,3.710230
cuda,BlenderbotSmallForCausalLM,64,1.554014,4.006799,1.638651,6.604177,2.691143,1.035235,0.168517,4.304089,2.443686
cuda,BlenderbotSmallForConditionalGeneration,64,4.154323,8.425037,3.948341,13.166077,6.071456,2.463760,0.580758,1.909359,8.861569
cuda,CamemBert,16,2.907094,5.722043,2.670812,8.311814,3.606881,1.545638,0.295753,5.366459,0.337015
cuda,DebertaForMaskedLM,4,6.737145,15.248148,3.332215,19.826205,5.429796,2.767535,0.338331,0.919375,8.136370
cuda,DebertaForQuestionAnswering,8,6.632326,15.599922,3.248985,20.191525,6.091229,2.389555,0.332281,1.811900,8.064649
cuda,DebertaV2ForMaskedLM,1,12.753925,17.734766,4.447714,23.691656,6.347706,3.489777,0.588407,1.487708,10.766928
cuda,DebertaV2ForQuestionAnswering,2,12.156238,17.609124,5.083174,23.893342,7.578905,3.929018,0.584093,0.572033,11.736732
cuda,DistilBertForMaskedLM,128,1.209704,3.277961,1.507581,5.152140,1.809121,0.839222,0.122522,3.438561,1.146803
cuda,DistilBertForQuestionAnswering,256,1.220425,3.424475,1.448793,5.224415,1.818583,0.834752,0.118968,3.468167,0.553224
cuda,DistillGPT2,16,1.268821,4.191313,1.073155,6.492718,2.111852,0.804243,0.110511,2.371291,3.420851
cuda,ElectraForCausalLM,32,3.032500,7.447991,2.701127,10.924279,3.771132,1.625687,0.300811,2.557271,6.288017
cuda,ElectraForQuestionAnswering,64,3.005098,5.351092,2.890661,7.593781,3.282099,1.527998,0.290422,5.241138,1.281825
cuda,GPT2ForSequenceClassification,4,2.662891,5.038519,2.062880,8.057735,3.576007,1.421504,0.251648,5.175082,1.400659
cuda,LayoutLMForMaskedLM,16,3.324252,5.600344,2.647759,8.286174,3.635060,1.536674,0.293311,5.441211,1.420234
cuda,LayoutLMForSequenceClassification,16,3.236013,5.384225,2.919324,9.334933,3.953552,2.109288,0.291640,6.976120,5.920609
cuda,M2M100ForConditionalGeneration,16,5.742839,11.991900,4.912739,19.943118,7.532489,3.437117,0.745284,11.537587,13.082432
cuda,MBartForCausalLM,4,2.319068,6.908497,2.754692,9.960328,3.405729,1.450964,0.281379,2.263704,5.907306
cuda,MBartForConditionalGeneration,2,6.357578,12.437381,5.728080,19.730126,9.456916,3.577564,1.113797,0.563308,13.794725
cuda,MT5ForConditionalGeneration,16,5.272754,9.323631,3.699365,15.725155,6.476730,2.188707,0.478305,19.746413,10.283109
cuda,MegatronBertForCausalLM,4,5.689162,10.038703,5.413087,15.082728,7.822190,3.050893,0.857319,10.671693,0.414168
cuda,MegatronBertForQuestionAnswering,8,5.705316,10.051255,5.346267,14.899855,7.700091,2.951966,0.839664,10.410431,0.498052
cuda,MobileBertForMaskedLM,64,13.689317,10.633513,6.898645,24.128157,13.336509,5.027708,2.835665,20.753276,1.701578
cuda,MobileBertForQuestionAnswering,128,13.760121,10.735959,7.425503,25.505316,13.880206,5.558611,3.142809,22.555519,1.022755
cuda,OPTForCausalLM,2,2.347531,6.030789,1.969401,9.419719,3.869298,1.580642,0.276001,2.488668,5.635934
cuda,PLBartForCausalLM,8,1.259888,4.695433,1.448328,6.956706,1.959403,0.814449,0.115846,1.496342,3.764756
cuda,PLBartForConditionalGeneration,4,3.303979,7.698764,3.406226,12.091454,4.633579,1.994542,0.392453,2.530564,7.931687
cuda,PegasusForCausalLM,32,2.568524,6.738401,2.768512,10.330063,3.446797,1.538486,0.292752,2.467610,6.464432
cuda,PegasusForConditionalGeneration,32,6.010703,12.274108,5.596371,20.266545,9.006671,3.739925,0.828990,0.660394,13.848636
cuda,RobertaForCausalLM,16,2.861816,5.964429,2.659956,8.375002,3.342202,1.896688,0.294568,0.708202,5.449756
cuda,RobertaForQuestionAnswering,16,2.870476,5.288480,2.879322,7.172696,3.228515,1.523391,0.290427,4.868780
cuda,Speech2Text2ForCausalLM,256,1.405702,4.890021,1.040455,7.377312,1.494563,0.731488,0.113398,1.339052,3.575341
cuda,T5ForConditionalGeneration,4,3.507544,7.098577,2.304723,11.178758,4.544000,1.584013,0.296081,6.485995,6.506788
cuda,T5Small,4,3.498628,7.089680,2.310154,11.163133,4.543192,1.587184,0.293000,6.412301,6.505383
cuda,TrOCRForCausalLM,32,2.277363,6.273939,2.663584,9.375045,3.376898,1.494811,0.282255,1.342954,5.864010
cuda,XGLMForCausalLM,8,4.924668,12.077456,6.119297,18.280889,7.805496,3.005521,0.784261,32.924321,12.556522
cuda,XLNetLMHeadModel,8,6.721810,98.266639,6.251790,104.929010,10.519399,88.499611,0.908859,8.005432,13.632036
