dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,3.184935
cuda,botnet26t_256,128,1.918970
cuda,coat_lite_mini,128,1.993066
cuda,convit_base,64,2.172200
cuda,crossvit_9_240,128,3.064716
cuda,cspdarknet53,64,3.583180
cuda,deit_base_distilled_patch16_224,64,1.699555
cuda,dla102,128,3.589757
cuda,dm_nfnet_f0,128,3.192171
cuda,eca_botnext26ts_256,128,2.287114
cuda,ese_vovnet19b_dw,128,1.624007
cuda,fbnetc_100,128,3.160439
cuda,gernet_l,128,2.978645
cuda,ghostnet_100,128,4.564830
cuda,gluon_inception_v3,128,3.188093
cuda,gmixer_24_224,128,2.817800
cuda,gmlp_s16_224,128,2.510149
cuda,inception_v3,128,3.150338
cuda,lcnet_050,128,1.637573
cuda,mixer_b16_224,128,1.454007
cuda,mnasnet_100,128,2.576680
cuda,mobilenetv2_100,128,2.665201
cuda,mobilenetv3_large_100,128,2.599470
cuda,nfnet_l0,128,2.966713
cuda,pit_b_224,64,1.991734
cuda,regnety_002,128,2.578092
cuda,repvgg_a2,128,3.005613
cuda,res2net50_14w_8s,128,5.300134
cuda,res2next50,128,3.097186
cuda,resmlp_12_224,128,1.271948
cuda,sebotnet33ts_256,64,2.582631
cuda,selecsls42b,128,1.443296
cuda,spnasnet_100,128,3.105404
cuda,tf_efficientnet_b0,128,3.028762
cuda,tinynet_a,128,3.432533
cuda,vit_base_patch16_224,64,1.866530
