dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.835057
cuda,LearningToPaint,96,0.801546
cuda,alexnet,128,0.238218
cuda,dcgan,32,0.235708
cuda,demucs,4,0.365991
cuda,densenet121,4,4.123489
cuda,dlrm,1024,0.535342
cuda,drq,1,0.404544
cuda,hf_DistilBert,8,1.294396
cuda,hf_GPT2,4,2.572116
cuda,hf_Reformer,4,2.255075
cuda,hf_T5,8,3.664976
cuda,lennard_jones,1000,0.202843
cuda,mnasnet1_0,32,1.695261
cuda,mobilenet_v2,96,1.781480
cuda,mobilenet_v3_large,32,1.833082
cuda,nvidia_deeprecommender,256,0.272644
cuda,pytorch_struct,200,0.397602
cuda,resnet18,16,0.760955
cuda,resnet50,32,1.785500
cuda,resnext50_32x4d,8,1.768159
cuda,shufflenet_v2_x1_0,128,1.966137
cuda,soft_actor_critic,256,0.258746
cuda,speech_transformer,32,3.312009
cuda,squeezenet1_1,32,0.405615
cuda,tacotron2,64,6.797441
cuda,timm_efficientnet,32,2.856293
cuda,timm_nfnet,128,3.060400
cuda,timm_regnet,32,3.739352
cuda,timm_resnest,32,1.068279
cuda,timm_vision_transformer,8,1.660831
cuda,timm_vovnet,32,2.180992
cuda,tts_angular,64,0.203889
cuda,vgg16,64,0.322090
