dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,3.016310,14.123121,4.749792,23.616191,11.391939,4.504299,0.629082,55.986725,14.677307
cuda,beit_base_patch16_224,64,1.984383,6.293835,2.161250,9.865102,3.803303,1.570480,0.245201,1.790393,5.825070
cuda,botnet26t_256,128,1.888153,11.349638,2.581286,17.050198,7.563920,2.851725,0.178485,30.283593,8.353223
cuda,cait_m36_384,4,6.294288,14.344018,8.049364,26.571301,14.872777,5.658075,1.772519,7.206774,20.619053
cuda,coat_lite_mini,128,1.831605,7.878967,2.603550,16.477236,7.506921,2.443989,0.213935,45.094287,11.299669
cuda,convit_base,64,1.948400,6.441413,2.792274,12.854734,5.650435,2.244365,0.281857,6.023189,9.317615
cuda,convmixer_768_32,32,2.252853,6.791718,3.636765,11.107435,4.191990,2.302197,0.345537,6.877826,8.072483
cuda,convnext_base,64,2.464887,9.271089,5.603797,18.314417,9.286624,3.230482,0.538712,32.971394,14.814234
cuda,crossvit_9_240,128,2.929752,8.707828,3.548674,15.130745,7.210543,2.694807,0.408884,9.266749,10.117489
cuda,cspdarknet53,64,3.668320,9.286555,3.360374,14.868661,5.830030,2.580415,0.405899,54.214288,9.077359
cuda,deit_base_distilled_patch16_224,64,1.564281,5.326258,1.993181,12.087065,3.861335,1.477433,0.221350,2.672654,8.838652
cuda,dla102,128,3.423149,13.603273,5.849662,21.282052,9.326446,3.743545,0.705674,46.637783,13.721923
cuda,dm_nfnet_f0,128,3.086214,9.861175,6.624949,16.090043,7.496108,2.450878,0.294317,29.297578,13.041732
cuda,dpn107,32,6.139471,14.492044,5.513973,26.356341,11.781468,5.247526,0.662632,78.480167,17.624489
cuda,eca_botnext26ts_256,128,2.043134,11.954847,3.045839,18.291883,8.067464,2.860693,0.188680,30.145370,9.465076
cuda,ese_vovnet19b_dw,128,1.408120,7.546726,1.596004,12.476541,4.642775,1.663515,0.146418,34.864895,6.582734
cuda,fbnetc_100,128,3.159308,10.376058,3.778081,16.542737,6.463379,2.496552,0.368067,61.032769,10.061563
cuda,fbnetv3_b,128,5.304133,14.268959,5.408065,23.241711,10.748847,4.568311,0.790480,67.397667,14.594175
cuda,gernet_l,128,3.119004,7.759070,2.783832,12.287502,4.181132,1.959854,0.302649,25.300365,7.699160
cuda,ghostnet_100,128,4.410214,13.921871,4.423938,26.094985,11.931006,4.310583,0.540887,149.878470,17.014282
cuda,gluon_inception_v3,128,3.028758,14.301266,5.092578,23.848077,11.135045,4.889749,0.625948,55.849959,14.812526
cuda,gluon_xception65,32,4.030381,13.596712,6.081095,20.104633,8.883759,3.863938,0.933127,29.040752,12.819010
cuda,gmixer_24_224,128,2.923868,7.168848,2.805412,12.960985,5.696849,2.329696,0.379289,10.113914,8.735059
cuda,gmlp_s16_224,128,2.383463,11.179275,4.728330,17.028249,8.575757,3.046685,0.437564,10.165274,11.180688
