dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.1385,42.4569,9.5510,0.3502
cuda,Background_Matting,0,0.0000
cuda,LearningToPaint,96,0.8517,18.4943,2.5470,0.3384
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.8024,15.4921,0.5797,0.4163
cuda,attention_is_all_you_need_pytorch,256,0.7559,95.5977,9.4972,0.2963
cuda,dcgan,32,1.2560,2.1406,0.5934,0.4581
cuda,demucs,4,1.0003,77.7979,0.3074,0.9886
cuda,densenet121,4,2.3361,28.6961,16.7846,0.3439
cuda,dlrm,0,0.0000
cuda,drq,1,1.6341,1.8194,0.8762,0.4252
cuda,fastNLP_Bert,6,0.7515,79.5610,9.0000,0.3384
cuda,functorch_dp_cifar10,64,2.1533,5.4430,1.7740,0.4445
cuda,hf_Albert,8,0.7518,100.3858,7.9490,0.2846
cuda,hf_Bart,4,0.7390,74.8654,10.7619,0.3387
cuda,hf_Bert,4,0.7366,53.4560,8.2819,0.3524
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.6865,56.6314,4.9001,0.3211
cuda,hf_GPT2,4,0.7412,68.3223,8.1491,0.3702
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,2,0.7931,175.8956,55.7102,0.2947
cuda,hf_Reformer,4,0.9882,84.1218,5.0662,0.5934
cuda,hf_T5,0,0.0000
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,1000,1.0108,1.0941,0.4050,0.3711
cuda,mnasnet1_0,32,0.8573,33.5078,5.6469,0.3330
cuda,mobilenet_v2,96,0.7308,98.0478,6.2122,0.3062
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.0275,30.6043,6.1497,0.3277
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.5853,14.6109,0.6108,0.4624
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3399,12.7275,2.4188,0.3920
cuda,pytorch_stargan,16,0.9339,25.9614,2.6250,0.4129
cuda,pytorch_struct,200,0.8857,4.3462,1.2279,0.4824
cuda,pytorch_unet,0,0.0000
cuda,resnet152,32,0.8049,114.0150,18.9057,0.3424
cuda,resnet18,16,1.1762,10.4186,2.3462,0.3589
cuda,resnet50,32,0.7581,51.3754,6.2190,0.3368
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.3286,22.4568,6.0875,0.3595
cuda,shufflenet_v2_x1_0,128,0.8110,46.2882,6.8255,0.3499
cuda,soft_actor_critic,256,1.0435,0.9933,0.5266,0.4356
cuda,speech_transformer,32,1.3531,35.9103,24.4905,0.2739
cuda,squeezenet1_1,32,1.0535,12.1228,1.0474,0.3373
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,1.8669,83.2613,54.0186,0.2889
cuda,timm_efficientnet,32,0.7037,61.3854,13.8124,0.2634
cuda,timm_nfnet,0,0.0000
cuda,timm_regnet,32,0.7772,126.0897,16.6693,0.3327
cuda,timm_resnest,32,0.8038,39.4371,3.3015,0.3235
cuda,timm_vision_transformer,8,1.5352,15.7904,5.2716,0.3307
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.7131,54.0402,8.8071,0.3202
cuda,tts_angular,64,0.9723,9.7465,0.3642,0.9829
cuda,vgg16,64,0.8582,124.0789,0.8139,0.3214
cuda,yolov3,16,0.7903,129.6884,9.4638,0.3341
