dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.0824,149.0572,99.6785,0.9862
cuda,beit_base_patch16_224,64,1.2018,112.5237,22.2704,1.0447
cuda,botnet26t_256,128,0.6689,155.1554,57.1842,0.9434
cuda,cait_m36_384,4,1.4830,117.2306,71.6848,0.9803
cuda,coat_lite_mini,128,1.7946,64.6709,71.7273,1.0066
cuda,convit_base,64,1.3488,134.5757,31.1236,1.1534
cuda,convmixer_768_32,32,0.7270,408.9960,32.7344,0.9678
cuda,convnext_base,64,1.1531,105.0326,69.0239,1.0059
cuda,crossvit_9_240,128,1.2960,84.4677,42.2992,1.1003
cuda,cspdarknet53,64,0.8140,110.9709,85.5073,0.9122
cuda,deit_base_distilled_patch16_224,64,1.2633,74.6602,23.6907,0.8962
cuda,dla102,128,0.8280,215.1912,91.3514,1.0162
cuda,dm_nfnet_f0,128,1.2424,105.7138,67.1063,1.0969
cuda,dpn107,32,0.7826,138.4838,132.7397,0.9440
cuda,eca_botnext26ts_256,128,0.6226,176.3379,59.8712,1.1944
cuda,eca_halonext26ts,0,0.0000
cuda,ese_vovnet19b_dw,128,0.6075,108.5074,53.8167,1.0135
cuda,fbnetc_100,128,1.0733,78.0942,93.1722,0.9306
cuda,fbnetv3_b,128,1.0590,110.5927,115.1803,1.0056
cuda,gernet_l,128,0.8194,92.2610,51.0484,0.9336
cuda,ghostnet_100,128,1.3728,71.4528,195.0224,1.0052
cuda,gluon_inception_v3,128,1.0928,147.4233,98.6797,0.9862
cuda,gluon_xception65,32,0.6395,152.8727,74.8096,0.9650
cuda,gmixer_24_224,128,1.5283,78.5186,36.4307,1.3772
cuda,gmlp_s16_224,128,1.5030,90.6073,44.6643,1.2997
cuda,hrnet_w18,128,1.1370,265.4498,205.5026,0.9415
cuda,inception_v3,128,1.1094,144.8630,99.9040,0.9862
cuda,jx_nest_base,32,1.3562,87.7198,67.4074,0.8553
cuda,lcnet_050,128,1.3373,25.7407,51.7135,0.8352
cuda,mixer_b16_224,128,1.2609,94.4780,25.1472,0.9818
cuda,mixnet_l,128,0.9855,185.8531,100.7305,0.9800
cuda,mnasnet_100,128,1.1260,59.3318,71.4859,0.9233
cuda,mobilenetv2_100,128,0.8625,74.4625,74.3378,1.1046
cuda,mobilenetv3_large_100,128,1.0761,58.5278,83.6281,0.9634
cuda,mobilevit_s,64,0.7446,117.5851,117.7293,1.3028
cuda,nfnet_l0,128,1.2095,87.5398,49.3969,1.1230
cuda,pit_b_224,64,1.2755,121.5078,24.8129,1.2271
cuda,pnasnet5large,16,1.0482,212.6926,193.4542,1.2923
cuda,poolformer_m36,64,0.9630,154.4071,83.2005,0.9842
cuda,regnety_002,128,1.2298,44.2739,67.6899,0.8993
cuda,repvgg_a2,128,0.9016,83.4670,37.0163,0.8383
cuda,res2net101_26w_4s,64,0.7953,157.4914,136.9690,0.9442
cuda,res2net50_14w_8s,128,0.6224,238.0180,197.6905,0.9528
cuda,res2next50,128,0.5767,240.6512,83.3211,0.9414
cuda,resmlp_12_224,128,1.1137,61.3353,23.8408,0.8239
cuda,resnest101e,64,0.7368,223.2233,114.2647,1.1357
cuda,rexnet_100,128,0.6145,142.9364,122.7155,1.2582
cuda,sebotnet33ts_256,64,0.7494,107.3210,78.8513,0.8133
cuda,selecsls42b,128,0.8995,69.9115,52.3738,0.9534
cuda,spnasnet_100,128,0.9684,74.8490,85.2968,0.9294
cuda,swin_base_patch4_window7_224,64,1.4248,103.5070,79.7670,0.9257
cuda,swsl_resnext101_32x16d,32,0.6306,186.1305,71.1239,0.9728
cuda,tf_efficientnet_b0,128,0.8956,97.6734,81.7393,1.2283
cuda,tf_mixnet_l,128,0.9765,195.7643,101.6439,1.0570
cuda,tinynet_a,128,0.7957,97.5708,102.6074,1.4912
cuda,tnt_s_patch16_224,128,1.9617,185.2894,40.7675,1.1492
cuda,twins_pcpvt_base,64,1.7022,78.9381,120.3253,1.0806
cuda,visformer_small,128,0.6913,141.7139,59.9948,0.9846
cuda,vit_base_patch16_224,64,1.1171,108.0676,23.0820,0.8968
cuda,volo_d1_224,64,1.5518,86.7590,41.9778,1.1389
cuda,xcit_large_24_p8_224,5,1.8268,75.4694,85.1672,0.9904
