dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.617078,7.115717,2.984796,10.553739,4.232178,1.648150,0.317935,0.000013,8.924813,6.549307
cuda,Background_Matting,4,1.730594,6.615703,2.456538,12.187933,5.340584,2.207558,0.220515,6.236468,7.963442,14.359040
cuda,LearningToPaint,96,0.711505,4.211383,0.991478,6.738547,1.650495,0.674562,0.078128,13.631037,22.967871,17.187837
cuda,Super_SloMo,6,1.959171,8.066635,3.130505,10.770247,5.798874,2.148575,0.139309,0.376451,6.303443
cuda,alexnet,128,0.132624,1.678386,0.226113,2.921658,0.802503,0.282648,0.015884,0.134519,1.610271
cuda,attention_is_all_you_need_pytorch,256,2.283845,7.441784,2.150061,10.464543,4.507334,1.775587,0.364593,0.383604,9.273692,5.680775
cuda,dcgan,32,0.142729,2.068320,0.194534,2.710240,0.215734,0.090646,0.013014,0.109450,6.576134,0.954121
cuda,demucs,4,0.282231
cuda,densenet121,4,4.137301,20.109060,6.964192,35.446334,18.218919,5.775064,0.774532,177.873114,333.568312,200.434455
cuda,dlrm,1024,0.253461,1.175637,0.172519,2.130144,0.377670,0.124521,0.015188,0.120972,1.256212
cuda,drq,1,0.247996,1.805435,0.147963,2.843368,0.168310,0.084688,0.015000,0.260695,1.455303
cuda,fastNLP_Bert,6,2.744988,8.580547,2.358654,11.431690,3.814026,1.665490,0.307541,0.817459,4.286279,6.136170
cuda,hf_Albert,8,2.264376,3.981528,1.891440,7.336238,3.365103,1.171891,0.144066,3.391027,8.726432,3.038999
cuda,hf_Bart,4,3.214252,9.052808,3.151119,13.068942,4.884617,1.972889,0.398248,3.488521,4.201264,11.036539
cuda,hf_Bert,4,2.691929,5.503603,2.426172,8.228653,3.825711,1.541400,0.289742,0.762409,6.229917,0.404265
