dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.246801,3.818726,2.350568,8.429798,3.110774,1.103463,0.145142,1.323725,8.374402,0.811946
cuda,AlbertForQuestionAnswering,4,2.258965,3.817799,2.247285,8.433953,3.064937,1.090119,0.142349,0.931683,7.882901,0.411502
cuda,BartForCausalLM,4,2.363589,5.826065,2.218232,8.896206,2.864482,1.635072,0.248472,1.468713,1.676710,6.850381
cuda,BartForConditionalGeneration,2,6.457984,13.751771,7.207675,19.520061,8.788245,3.458180,0.997055,1.590330,1.209629,14.833041
cuda,BertForMaskedLM,16,2.924010,4.943233,2.349883,7.686328,3.440320,1.430172,0.285741,1.691999,6.884330,1.428493
cuda,BertForQuestionAnswering,16,2.893693,4.895742,2.289732,7.502958,3.382622,1.423072,0.278730,1.270626,6.265526,0.998833
cuda,BlenderbotSmallForCausalLM,64,1.629597,3.331162,1.442879,5.838588,1.906104,0.969211,0.159465,2.885693,6.901713,2.589946
cuda,BlenderbotSmallForConditionalGeneration,64,4.351680,8.701127,4.409703,12.757493,5.606430,2.411356,0.568638,1.977100,1.863344,10.605372
cuda,CamemBert,16,2.983818,5.053670,2.396922,7.760542,3.483666,1.439974,0.294403,0.629444,5.832228,0.339063
cuda,DebertaForMaskedLM,4,7.266988,14.818448,3.128319,18.797906,4.363535,2.177609,0.337841,16.516735,0.956186,23.866968
cuda,DebertaForQuestionAnswering,8,7.385004,14.856050,3.124663,18.772641,4.363878,2.145706,0.336416,16.994241,1.636938,24.278231
cuda,DebertaV2ForMaskedLM,1,12.520427,18.139809,3.932268,23.365855,5.564083,3.044231,0.597377,37.082867,1.478476,46.649429
cuda,DebertaV2ForQuestionAnswering,2,12.570469,17.712228,4.556359,23.048385,6.347176,3.337047,0.608676,36.269498,0.549731,46.566974
cuda,DistilBertForMaskedLM,128,1.240255,3.251561,1.211747,5.163522,1.735325,0.760000,0.121717,1.388799,4.563549,1.129703
