dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.724915,3.288197,1.644604,7.624699,3.152609,1.048819,0.163094,6.054736,0.927513
cuda,AlbertForQuestionAnswering,4,1.738542,3.291148,1.594165,7.719858,3.044686,1.041262,0.131023,6.094926,0.538706
cuda,BartForCausalLM,4,1.830158,6.519658,1.965033,9.145799,2.747426,1.465414,0.223039,1.417802,4.875430
cuda,BartForConditionalGeneration,2,4.858884,13.980598,4.727872,18.870533,8.111079,2.867845,0.811843,1.100392,9.830280
cuda,BertForMaskedLM,16,2.540771,6.595177,1.974796,9.241360,3.696883,1.352028,0.261496,4.714907,1.436671
cuda,BertForQuestionAnswering,16,2.322586,6.323544,1.859133,8.680361,3.361506,1.274220,0.245703,4.302677,1.032306
cuda,BlenderbotForCausalLM,4,3.751228,11.346359,4.253224,15.560686,6.181765,2.836229,0.598565,4.010173,8.632577
cuda,BlenderbotSmallForCausalLM,64,1.194876,3.611310,1.508519,5.533861,1.967346,0.866742,0.145122,3.647223,2.082421
cuda,BlenderbotSmallForConditionalGeneration,64,3.606302,8.505561,3.198119,12.216645,5.177758,2.347735,0.478845,1.893514,7.052848
cuda,CamemBert,16,2.300735,6.457345,1.918830,8.794461,3.432863,1.298407,0.252144,4.343221,0.378680
cuda,DebertaForMaskedLM,4,6.803041,14.898454,2.529701,18.232857,4.496232,2.014638,0.304694,0.835294,6.057395
cuda,DebertaForQuestionAnswering,8,6.517452,15.727015,2.476072,19.156006,4.835601,2.218028,0.305925,1.702950,6.100173
cuda,DebertaV2ForMaskedLM,1,9.921649,19.097836,3.174587,22.463226,5.031055,2.605732,0.528745,1.454071,7.109195
cuda,DebertaV2ForQuestionAnswering,2,10.134849,19.189638,3.842494,22.407268,6.488252,2.799239,0.519134,0.491838,7.651478
cuda,DistilBertForMaskedLM,128,0.923983,3.440390,1.030890,5.224630,1.847798,0.714576,0.113400,2.860994,1.198385
cuda,DistilBertForQuestionAnswering,256,0.993033,3.412976,1.009381,5.215775,1.817146,0.715291,0.109683,2.856214,0.589994
cuda,DistillGPT2,16,1.109580,4.536260,0.906563,6.520048,1.555996,0.916125,0.096955,2.636364,2.930576
cuda,ElectraForCausalLM,32,2.364481,8.664460,1.911637,12.093231,3.587464,1.362204,0.250651,2.606947,5.432055
cuda,ElectraForQuestionAnswering,64,2.333295,6.346561,1.882810,8.781606,3.399126,1.295789,0.249575,4.405977,1.323538
cuda,GPT2ForSequenceClassification,4,2.343516,4.418097,2.137042,6.648130,2.597136,1.199587,0.211861,4.445257,1.006009
cuda,GoogleFnet,16,1.255591,9.619551,1.057030,12.768896,1.534602,0.649044,0.103942,1.759014,4.476228
cuda,LayoutLMForMaskedLM,16,2.649540,6.512967,1.950225,8.979124,3.524728,1.317950,0.250555,4.506188,1.444665
cuda,LayoutLMForSequenceClassification,16,2.672436,6.431123,1.918738,10.472509,4.143395,1.506278,0.245828,6.049139,6.298361
cuda,M2M100ForConditionalGeneration,16,5.172060,12.624854,4.010414,20.560350,8.108564,3.288062,0.719165,9.251941,12.454958
cuda,MBartForCausalLM,4,1.839325,7.862322,1.954662,10.392553,2.995606,1.180768,0.223964,1.319355,4.769523
cuda,MBartForConditionalGeneration,2,4.963523,13.167334,4.675649,17.958113,8.089437,2.878020,0.834633,0.485270,9.682130
cuda,MT5ForConditionalGeneration,16,4.869216,8.384935,3.287812,13.537404,5.453694,1.892790,0.461152,19.811183,8.603005
cuda,MegatronBertForCausalLM,4,4.592684,9.145850,4.175483,12.386905,6.583131,2.470644,0.656278,7.588617,0.416334
cuda,MegatronBertForQuestionAnswering,8,4.699376,8.937658,4.129536,12.105479,6.449331,2.398967,0.643113,7.467995,0.619354
