dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,2.155874
cuda,LearningToPaint,96,0.698426
cuda,Super_SloMo,6,1.882956
cuda,alexnet,128,0.210721
cuda,attention_is_all_you_need_pytorch,256,1.933948
cuda,dcgan,32,0.219154
cuda,demucs,4,0.317035
cuda,densenet121,4,3.577122
cuda,dlrm,1024,0.314939
cuda,drq,1,0.365812
cuda,fastNLP_Bert,6,2.247785
cuda,hf_Albert,8,1.860771
cuda,hf_Bart,4,2.548015
cuda,hf_Bert,4,2.290968
cuda,hf_DistilBert,8,1.022414
cuda,hf_GPT2,4,2.261178
cuda,hf_Reformer,4,2.157460
cuda,hf_T5,8,3.233150
cuda,lennard_jones,1000,0.160913
cuda,mnasnet1_0,32,1.517135
cuda,mobilenet_v2,96,1.530648
cuda,mobilenet_v2_quantized_qat,96,2.514669
cuda,mobilenet_v3_large,32,1.573298
cuda,nvidia_deeprecommender,256,0.232992
cuda,pytorch_CycleGAN_and_pix2pix,1,0.638826
cuda,pytorch_struct,200,0.326455
cuda,resnet152,32,4.428464
cuda,resnet18,16,0.677574
cuda,resnet50,32,1.550519
cuda,resnet50_quantized_qat,32,2.286060
cuda,resnext50_32x4d,8,1.521157
cuda,shufflenet_v2_x1_0,128,1.757975
cuda,soft_actor_critic,256,0.238822
cuda,speech_transformer,32,2.809424
cuda,squeezenet1_1,32,0.329028
cuda,tacotron2,64,6.727280
cuda,timm_efficientdet,1,13.592444
cuda,timm_efficientnet,32,2.626460
cuda,timm_nfnet,128,2.925280
cuda,timm_regnet,32,3.420176
cuda,timm_resnest,32,0.941369
cuda,timm_vision_transformer,8,1.272826
cuda,timm_vovnet,32,1.969722
cuda,tts_angular,64,0.195782
cuda,vgg16,64,0.250341
cuda,yolov3,16,2.603832
