dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,4,1.852834
cuda,AlbertForQuestionAnswering,4,1.862206
cuda,BartForCausalLM,4,1.894416
cuda,BartForConditionalGeneration,2,4.926270
cuda,BertForMaskedLM,16,2.282310
cuda,BertForQuestionAnswering,16,2.304230
cuda,BlenderbotForCausalLM,4,3.718568
cuda,BlenderbotSmallForCausalLM,64,1.343414
cuda,BlenderbotSmallForConditionalGeneration,64,3.249013
cuda,CamemBert,16,2.313804
cuda,DebertaForMaskedLM,4,6.576875
cuda,DebertaForQuestionAnswering,8,6.171096
cuda,DebertaV2ForQuestionAnswering,2,10.230497
cuda,DistilBertForMaskedLM,128,1.051433
cuda,DistilBertForQuestionAnswering,256,1.093921
cuda,DistillGPT2,16,1.237538
cuda,ElectraForCausalLM,32,2.366811
cuda,ElectraForQuestionAnswering,64,2.313225
cuda,GPT2ForSequenceClassification,4,2.308986
cuda,GoogleFnet,16,1.370269
cuda,LayoutLMForMaskedLM,16,2.725068
cuda,LayoutLMForSequenceClassification,16,2.633460
cuda,M2M100ForConditionalGeneration,16,4.675557
cuda,MBartForCausalLM,4,1.944040
cuda,MBartForConditionalGeneration,2,5.057088
cuda,MT5ForConditionalGeneration,16,4.929159
cuda,MegatronBertForCausalLM,4,4.941340
cuda,MegatronBertForQuestionAnswering,8,4.846615
cuda,OPTForCausalLM,2,2.109020
cuda,PLBartForCausalLM,8,1.112101
cuda,PLBartForConditionalGeneration,4,2.629407
cuda,PegasusForCausalLM,32,2.421195
cuda,PegasusForConditionalGeneration,32,4.755244
cuda,RobertaForCausalLM,16,2.364346
cuda,RobertaForQuestionAnswering,16,2.386096
cuda,Speech2Text2ForCausalLM,256,1.146605
cuda,T5ForConditionalGeneration,4,3.508549
cuda,T5Small,4,3.404513
cuda,TrOCRForCausalLM,32,1.885349
cuda,XGLMForCausalLM,8,4.098277
cuda,YituTechConvBert,16,3.413011
