dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.508279,9.847687,3.630286,2.007858,8.376634,3.000868,1.120561,0.144659,1.322967,8.167938,0.798578
cuda,AlbertForQuestionAnswering,4,2.423683,9.887364,3.824954,2.151087,8.287158,2.927645,1.102864,0.139464,0.929065,7.630952,0.412767
cuda,AllenaiLongformerBase,4,8.923348,121.764412,106.586650,7.268898,112.348320,91.024239,4.496074,0.404219,18.176586,0.676286,31.543227
cuda,BartForCausalLM,4,2.482596,12.256773,5.911571,1.886521,9.124847,3.224860,1.339197,0.264665,2.196328,2.331562,7.390171
cuda,BartForConditionalGeneration,2,6.424926,30.652609,13.874150,5.575698,19.393579,8.608424,3.408740,1.030252,0.976253,1.146173,12.315739
cuda,BertForMaskedLM,16,2.838134,11.499960,4.924423,1.983620,7.824301,3.522944,1.448783,0.288401,1.686056,6.666514,1.446732
cuda,BertForQuestionAnswering,16,2.853709,11.539255,4.945281,1.982043,7.634596,3.476499,1.451604,0.283799,1.373275,6.143555,1.018958
cuda,BlenderbotSmallForCausalLM,64,1.632755,8.254919,3.712644,1.307317,6.065806,2.226597,0.981484,0.165572,2.816571,6.540638,2.534556
cuda,BlenderbotSmallForConditionalGeneration,64,4.229230,19.601149,8.402328,3.281907,12.938759,5.784361,2.424432,0.580091,2.034342,1.888082,10.017028
cuda,CamemBert,16,2.832044,11.506030,4.929137,1.992415,7.769491,3.529199,1.442158,0.289933,0.596907,5.527146,0.334660
cuda,DebertaForMaskedLM,4,7.150020,22.687061,15.090192,3.026932,19.213626,4.558166,2.238838,0.339035,16.214741,0.924080,23.602837
cuda,DebertaForQuestionAnswering,8,7.185136,22.438817,14.790756,2.989304,18.800751,4.562267,2.213519,0.336252,16.439934,1.817771,23.676937
cuda,DebertaV2ForMaskedLM,1,12.463439,30.916565,17.482631,3.717132,22.814800,5.630002,3.070560,0.593890,36.256775,1.486771,45.699024
cuda,DebertaV2ForQuestionAnswering,2,12.509154,30.605406,17.111312,4.278144,22.675797,6.512008,3.410173,0.594362,36.904010,0.574994,47.139323
cuda,DistilBertForMaskedLM,128,1.190483,6.572224,3.124447,1.204890,4.789697,1.584289,0.776973,0.120939,1.383171,4.304732,1.135987
cuda,DistilBertForQuestionAnswering,256,1.225040,6.685737,3.196581,1.201558,4.990054,1.597063,0.788419,0.118018,0.808490,3.854292,0.549567
cuda,DistillGPT2,16,1.321927,7.192208,4.079968,1.329979,5.898387,1.575206,0.757334,0.108990,2.203497,2.363925,5.400633
cuda,ElectraForCausalLM,32,3.005877,13.465800,6.736504,2.014534,10.345490,3.572028,1.497163,0.284972,3.186383,2.528672,8.911108
cuda,ElectraForQuestionAnswering,64,2.971906,11.783602,5.084271,2.025721,7.922735,3.600887,1.475649,0.284759,1.695583,6.659988,1.324927
