dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.737026,8.021342,3.175869,1.805532,7.256048,2.825731,1.013229,0.149697,5.967066,0.903853
cuda,AlbertForQuestionAnswering,4,1.786294,8.007234,3.162731,1.773417,7.094636,2.751719,1.000984,0.145539,5.781626,0.545186
cuda,AllenaiLongformerBase,4,8.810380,92.798194,78.195994,6.926055,84.512186,62.695178,4.921706,0.393595,0.664845,13.538107
cuda,BartForCausalLM,4,1.963489,10.265436,5.437893,2.051978,7.848135,2.307850,1.086166,0.225302,1.419123,4.541205
cuda,BartForConditionalGeneration,2,4.920994,26.058180,13.248611,4.459404,17.999231,7.264329,2.720049,0.836679,1.093170,9.415035
cuda,BertForMaskedLM,16,2.511089,10.940600,5.397768,1.852307,9.339934,2.782223,1.235581,0.270292,6.150723,1.441473
cuda,BertForQuestionAnswering,16,2.356379,10.614755,5.405200,1.838568,9.295048,2.518781,1.512951,0.270802,6.084507,1.031375
cuda,BlenderbotForCausalLM,4,3.762990,17.450159,7.567414,3.329744,12.283178,5.572246,2.328759,0.623606,8.198045,3.669198
cuda,BlenderbotSmallForCausalLM,64,1.229768,6.443648,3.074948,1.302381,5.128205,1.696537,0.824426,0.146759,3.568010,1.989897
cuda,BlenderbotSmallForConditionalGeneration,64,3.264851,14.647630,6.233084,2.992062,10.200361,4.857273,1.950386,0.490890,7.089999,1.364547
cuda,CamemBert,16,2.297379,10.821036,5.680732,1.838275,9.648622,2.514510,1.547032,0.267023,5.889812,0.339154
cuda,DebertaForMaskedLM,4,6.644773,22.229677,15.147522,2.422484,18.905919,4.370431,1.869966,0.309769,0.850992,6.378402
cuda,DebertaForQuestionAnswering,8,6.926583,21.932399,15.225199,2.384791,18.938532,4.208829,2.110273,0.313594,1.752731,6.296889
cuda,DebertaV2ForMaskedLM,1,10.367438,29.846375,18.581800,2.786064,22.630814,4.565635,2.515486,0.529825,1.522474,7.331232
cuda,DebertaV2ForQuestionAnswering,2,10.843250,28.827158,17.954859,3.397886,22.293810,5.308860,2.923023,0.526602,0.508282,8.054403
cuda,DistilBertForMaskedLM,128,0.913087,5.576221,2.856490,1.003893,4.986655,1.558156,0.664505,0.118756,3.179826,1.199042
cuda,DistilBertForQuestionAnswering,256,0.945351,5.722977,2.931872,0.993061,5.105381,1.575070,0.657518,0.114356,3.211327,0.599458
cuda,DistillGPT2,16,1.144044,6.332780,3.678965,1.034707,5.555719,1.593440,0.681568,0.097796,2.283076,2.953792
cuda,ElectraForCausalLM,32,2.491093,12.923916,7.782528,1.836508,12.699736,3.002483,1.626774,0.269726,2.624289,7.073356
cuda,ElectraForQuestionAnswering,64,2.455543,11.033179,5.712198,1.838382,9.450724,2.541178,1.557924,0.274985,5.662484,1.311510
cuda,GPT2ForSequenceClassification,4,2.332843,9.471675,4.531483,2.524622,6.496623,2.412782,1.184754,0.214460,4.572543,1.023401
cuda,GoogleFnet,16,1.254035,12.574843,10.025892,1.043126,13.297548,1.847045,0.629159,0.104347,1.754485,4.372792
cuda,LayoutLMForMaskedLM,16,2.683577,10.742601,5.441705,1.863437,9.379504,2.794965,1.224840,0.273591,6.158186,1.473127
cuda,LayoutLMForSequenceClassification,16,2.684372,10.973381,5.714892,1.840963,16.985511,3.774932,1.448659,0.264247,13.198693,6.287972
cuda,M2M100ForConditionalGeneration,16,4.782979,23.866479,11.826803,5.032940,17.361291,6.060797,2.932893,0.642126,9.584793,10.753537
cuda,MBartForCausalLM,4,2.046637,10.756554,5.869881,1.631978,8.673904,2.582315,1.106311,0.209342,1.346143,4.514110
cuda,MBartForConditionalGeneration,2,4.909012,24.164915,11.344179,4.462799,16.672297,7.749470,2.816853,0.793895,0.495678,10.658126
cuda,MT5ForConditionalGeneration,16,4.974239,18.202738,8.348764,3.359123,12.675512,5.069952,1.825882,0.467597,20.615588,7.855239
cuda,MegatronBertForCausalLM,4,4.651084,17.562967,7.271483,4.152070,12.858174,5.945539,2.377553,0.709876,9.909911,0.383628
cuda,MegatronBertForQuestionAnswering,8,4.753379,17.584634,7.212046,4.096959,12.934755,6.040948,2.349005,0.706983,9.987657,0.537336
cuda,MobileBertForMaskedLM,64,10.687829,24.976696,7.817530,4.545191,16.060208,7.453850,3.535160,1.852256,13.467873,2.499367
cuda,MobileBertForQuestionAnswering,128,10.884458,25.080359,7.821463,5.039214,18.101798,8.648884,4.070659,2.198282,16.032810,1.023433
cuda,OPTForCausalLM,2,2.105839,10.776465,5.794928,2.154987,8.252913,2.920750,1.292746,0.239253,1.694372,4.690680
cuda,PLBartForCausalLM,8,0.981842,7.024144,4.226177,0.910697,6.323318,1.592220,0.660941,0.107025,1.178684,3.049125
cuda,PLBartForConditionalGeneration,4,2.718976,13.561504,6.701304,2.550822,10.308874,3.796835,1.620712,0.356179,1.643533,6.264636
cuda,PegasusForCausalLM,32,1.922087,11.074367,6.108717,2.056866,9.159299,2.615319,1.190880,0.238765,1.599378,5.186622
cuda,PegasusForConditionalGeneration,32,4.692985,23.468110,10.999647,5.037522,15.479473,5.855005,2.865668,0.650393,0.678098,9.716157
cuda,RobertaForCausalLM,16,2.471621,10.921707,5.550959,1.879209,9.485458,2.892822,1.276582,0.273777,0.726064,6.170480
cuda,RobertaForQuestionAnswering,16,2.448054,10.996830,5.692388,1.829631,9.598502,2.519517,1.535660,0.261675,5.820236
cuda,Speech2Text2ForCausalLM,256,1.033269,7.504494,4.985408,0.955162,7.616065,1.451504,0.591894,0.105420,1.103773,3.628061
cuda,T5ForConditionalGeneration,4,3.335761,13.331718,6.803247,2.211287,12.023214,3.596035,1.346627,0.285967,6.159501,7.817194
cuda,T5Small,4,3.369398,13.583036,7.012043,2.233245,12.250177,3.594557,1.353329,0.288634,5.822041,7.580489
cuda,TrOCRForCausalLM,32,2.040355,10.122170,5.311745,2.017132,8.061531,2.421614,1.190546,0.247881,1.058199,4.844778
